__pk_jt_ScreenElement_ScreenElement_ID,_fk_Graphic_ID #override,Embedding Information Level,_fk_ScreenElement_ID #embedded,_fk_ScreenElement_ID #embedding,_fk_ScreenLabel_ID #override,Position
"2365443","","","2163812","2163810","","V03"
"2365446","","","2161467","2163820","","T02"
"2365447","","","2162522","2163820","","T03"
"2365448","","","2162644","2163820","","T04"
"2365450","","","2163812","2163156","","V03"
"2365452","","","2163822","2163812","","G03"
"2365453","","","2163820","2163823","","B01"
"2365454","","","2163823","2163812","","G01"
"2365455","","","2163829","2163821","","B01"
"2365456","","","2163824","2163822","","B01"
"2365457","","","2163830","2163824","","T01"
"2365458","","","2163829","2163820","","T01"
"2365459","","","2163832","2163824","","T02"
"2365460","","","2163833","2163824","","T03"
"2365461","","","2163834","2163824","","T04"
"2365462","","","2161467","2163821","","B02"
"2365463","","","2162522","2163821","","B03"
"2365464","","","2162644","2163821","","B04"
"2365467","","","2163839","2163812","","G02"
"2365473","","","2163843","2163842","","T01"
"2365474","","","2163842","2163812","","G01"
"2365475","","","2163832","2163842","","T02"
"2365478","","","2163841","2163812","","G01"
"2365479","","","2163842","2163841","","B01"
"2365481","","","2163834","2163842","","T03"
"2365482","","","2163845","2163844","","B01"
"2365483","","","2163844","2163812","","G02"
"2365484","","","2162654","2163845","","T01"
"2365485","","","2161399","2163845","","T02"
"2365487","","","2163846","2163812","","G03"
