Textbox8,tbToday,Textbox2
All Instrument Types By Location,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LocationCode,SubsiteName,SiteNumber,SiteCode,NodeTypeName,NodeSequence,SensorInstrumentName,SensorInstrumentClass,SensorCount
CE02SHSM-RI002,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,CTD_bottom_pumped,CTDBP,1
CE02SHSM-RI002,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,oxygen_dissolved_stable,DOSTA,1
CE02SHSM-RI002,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,pH_stable,PHSEN,1
CE02SHSM-RI002,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,Velocity_point,VELPT,1
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Velocity_Profile_Short_Range,ADCPT,1
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Fluorometer_three_wavelength,FLORT,1
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,nutrient_Nitrate,NUTNR,1
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,attenuation_absorption_optical,OPTAA,1
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,spectral_irradiance,SPKIR,1
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,flux_direct_cov_HP,FDCHP,1
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology_bulk,METBK,2
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,pCO2_air-sea,PCO2A,1
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Velocity_point,VELPT,1
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,wave_spectra_surface,WAVSS,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,CTD_profiler,CTDPF,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,oxygen_dissolved_fastresp,DOFST,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,Fluorometer_three_wavelength,FLORT,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,nutrient_Nitrate,NUTNR,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,attenuation_absorption_optical,OPTAA,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,PAR,PARAD,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,pCO2_water,PCO2W,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,spectral_irradiance,SPKIR,1
CE02SHSP-SP001,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,Velocity_point_3D_turb,VEL3D,1
CE04OSBP-BP001,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,Velocity_Profile_Long_Range,ADCPS,1
CE04OSBP-BP001,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,CTD_bottom_pumped,CTDBP,1
CE04OSBP-BP001,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,oxygen_dissolved_stable,DOSTA,1
CE04OSBP-BP001,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,attenuation_absorption_optical,OPTAA,1
CE04OSBP-BP001,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,pCO2_water,PCO2W,1
CE04OSBP-BP001,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,pressure_SF,PRESF,1
CE04OSBP-BP001,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,Velocity_point_3D_turb,VEL3D,1
CE04OSBP-LJ01C,Endurance OR Offshore Benthic Pkg,04,OSBP,LJ (LP Jbox),01C,camera_digital_still_strobe,CAMDS,1
CE04OSBP-LJ01C,Endurance OR Offshore Benthic Pkg,04,OSBP,LJ (LP Jbox),01C,Hydrophone_BB_passive,HYDBB,1
CE04OSHY-DP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,CTD_profiler,CTDPF,1
CE04OSHY-DP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,oxygen_dissolved_fastresp,DOFST,1
CE04OSHY-DP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,Fluorometer_three_wavelength,FLORT,1
CE04OSHY-DP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,Velocity_point_3D_turb,VEL3D,1
CE04OSHY-FJ01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,FJ (200 m Platform),01B,pCO2_water,PCO2W,1
CE04OSHY-FJ01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,FJ (200 m Platform),01B,pH_stable,PHSEN,1
CE04OSHY-FJ01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,FJ (200 m Platform),01B,plankton_ZP_sonar_coastal,ZPLSC,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,CTD_profiler,CTDPF,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,oxygen_dissolved_fastresp,DOFST,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,Fluorometer_three_wavelength,FLORT,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,nutrient_Nitrate,NUTNR,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,attenuation_absorption_optical,OPTAA,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,PAR,PARAD,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,pCO2_water,PCO2W,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,spectral_irradiance,SPKIR,1
CE04OSHY-SP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,Velocity_point_3D_turb,VEL3D,1
CE04OSSM-RI002,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,CTD_bottom_pumped,CTDBP,1
