Textbox8,tbToday,Textbox2
Reference Designators,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,SubsiteName,SitePrefix,SiteSuffix,Textbox11,NodeSiteSequence,PortNumber,InstrumentClass,InstrumentSeries,InstrumentSequence,PortMinDepth,PortMaxDepth
CE02SHBP-BP001-08-VEL3D0999,Endurance OR Shelf Benthic Pkg,02,SHBP,BP (Benthic Package),001,08,VEL3D,0,999,80,80
CE02SHBP-LJ01D-06-ZPLSCA101,Endurance OR Shelf Benthic Pkg,02,SHBP,LJ (LP Jbox),01D,06,ZPLSC,A,101,80,80
CE02SHBP-LJ01D-07-HYDBBA106,Endurance OR Shelf Benthic Pkg,02,SHBP,LJ (LP Jbox),01D,07,HYDBB,A,106,80,80
CE02SHBP-LJ01D-08-CAMDSA107,Endurance OR Shelf Benthic Pkg,02,SHBP,LJ (LP Jbox),01D,08,CAMDS,A,107,80,80
CE02SHSM-RI002-01-DOSTA0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,01,DOSTA,0,999,5,5
CE02SHSM-RI002-02-VELPT0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,02,VELPT,0,999,5,5
CE02SHSM-RI002-03-PHSEN0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,03,PHSEN,0,999,5,5
CE02SHSM-RI002-05-CTDBP0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,05,CTDBP,0,999,5,5
CE02SHSM-RI003-01-ADCPT0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,01,ADCPT,0,999,5,5
CE02SHSM-RI003-02-OPTAA0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,02,OPTAA,0,999,5,5
CE02SHSM-RI003-03-NUTNR0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,03,NUTNR,0,999,5,5
CE02SHSM-RI003-04-SPKIR0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,04,SPKIR,0,999,5,5
CE02SHSM-RI003-05-FLORT0999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,05,FLORT,0,999,5,5
CE02SHSM-SB001-01-METBK0999,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,01,METBK,0,999,3,3
CE02SHSM-SB001-02-METBK0999,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,02,METBK,0,999,3,3
CE02SHSM-SB001-03-PCO2A0999,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,03,PCO2A,0,999,0,0
CE02SHSM-SB001-04-FDCHP0999,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,04,FDCHP,0,999,3,3
CE02SHSM-SB001-05-VELPT0999,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,05,VELPT,0,999,1,1
CE02SHSM-SB001-06-WAVSS0999,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,06,WAVSS,0,999,0,0
CE02SHSP-SP001-01-CTDPF0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,01,CTDPF,0,999,80,80
