Textbox8,tbToday,Textbox2
Reference Designators,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,SubsiteName,SitePrefix,SiteSuffix,Textbox11,NodeSiteSequence,PortNumber,InstrumentClass,InstrumentSeries,InstrumentSequence,PortMinDepth,PortMaxDepth
CE07SHSM-MF004-01-DOSTA0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,01,DOSTA,0,999,80,80
CE07SHSM-MF004-02-PHSEN0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,02,PHSEN,0,999,80,80
CE07SHSM-MF004-03-OPTAA0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,03,OPTAA,0,999,80,80
CE07SHSM-MF004-04-PCO2W0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,04,PCO2W,0,999,80,80
CE07SHSM-MF004-05-CTDBP0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,05,CTDBP,0,999,80,80
CE07SHSM-MF005-01-PRESF0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,01,PRESF,0,999,80,80
CE07SHSM-MF005-02-CAMDS0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,02,CAMDS,0,999,80,80
CE07SHSM-MF005-03-ZPLSC0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,03,ZPLSC,0,999,80,80
CE07SHSM-MF005-04-ADCPT0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,04,ADCPT,0,999,80,80
CE07SHSM-MF005-05-VEL3D0999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,05,VEL3D,0,999,80,80
CE07SHSM-RI002-01-DOSTA0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,01,DOSTA,0,999,5,5
CE07SHSM-RI002-02-VELPT0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,02,VELPT,0,999,5,5
CE07SHSM-RI002-03-PHSEN0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,03,PHSEN,0,999,5,5
CE07SHSM-RI002-05-CTDBP0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,05,CTDBP,0,999,5,5
CE07SHSM-RI003-01-ADCPT0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,01,ADCPT,0,999,5,5
CE07SHSM-RI003-02-OPTAA0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,02,OPTAA,0,999,5,5
CE07SHSM-RI003-03-NUTNR0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,03,NUTNR,0,999,5,5
CE07SHSM-RI003-04-SPKIR0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,04,SPKIR,0,999,5,5
CE07SHSM-RI003-05-FLORT0999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,05,FLORT,0,999,5,5
CE07SHSM-SB001-01-METBK0999,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,01,METBK,0,999,3,3
CE07SHSM-SB001-02-METBK0999,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,02,METBK,0,999,3,3
CE07SHSM-SB001-03-PCO2A0999,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,03,PCO2A,0,999,0,0
CE07SHSM-SB001-04-FDCHP0999,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,04,FDCHP,0,999,3,3
CE07SHSM-SB001-05-VELPT0999,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,05,VELPT,0,999,1,1
CE07SHSM-SB001-06-WAVSS0999,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,06,WAVSS,0,999,0,0
CE07SHSP-SP001-01-DOFST0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,01,DOFST,0,999,80,80
CE07SHSP-SP001-02-VEL3D0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,02,VEL3D,0,999,80,80
CE07SHSP-SP001-03-PCO2W0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,03,PCO2W,0,999,80,80
CE07SHSP-SP001-04-OPTAA0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,04,OPTAA,0,999,80,80
CE07SHSP-SP001-05-NUTNR0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,05,NUTNR,0,999,80,80
CE07SHSP-SP001-06-SPKIR0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,06,SPKIR,0,999,80,80
CE07SHSP-SP001-07-FLORT0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,07,FLORT,0,999,80,80
CE07SHSP-SP001-08-CTDPF0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,08,CTDPF,0,999,80,80
CE07SHSP-SP001-09-PARAD0999,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,09,PARAD,0,999,80,80
CE09OSPM-WF001-01-VEL3D0999,Endurance WA Offshore Profiler Mooring,09,OSPM,WF (Wire-Following Profiler),001,01,VEL3D,0,999,500,500
CE09OSPM-WF001-02-DOFST0999,Endurance WA Offshore Profiler Mooring,09,OSPM,WF (Wire-Following Profiler),001,02,DOFST,0,999,500,500
CE09OSPM-WF001-03-CTDPF0999,Endurance WA Offshore Profiler Mooring,09,OSPM,WF (Wire-Following Profiler),001,03,CTDPF,0,999,500,500
CE09OSPM-WF001-04-FLORT0999,Endurance WA Offshore Profiler Mooring,09,OSPM,WF (Wire-Following Profiler),001,04,FLORT,0,999,500,500
CE09OSPM-WF001-05-PARAD0999,Endurance WA Offshore Profiler Mooring,09,OSPM,WF (Wire-Following Profiler),001,05,PARAD,0,999,500,500
CE09OSSM-MF004-01-DOSTA0999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),004,01,DOSTA,0,999,500,500
CE09OSSM-MF004-02-OPTAA0999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),004,02,OPTAA,0,999,500,500
CE09OSSM-MF004-03-PCO2W0999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),004,03,PCO2W,0,999,500,500
CE09OSSM-MF004-04-ADCPS0999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),004,04,ADCPS,0,999,500,500
CE09OSSM-MF005-01-CTDBP0999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),005,01,CTDBP,0,999,500,500
CE09OSSM-MF005-02-PRESF0999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),005,02,PRESF,0,999,500,500
CE09OSSM-MF005-03-CAMDS0999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),005,03,CAMDS,0,999,500,500
CE09OSSM-MF005-04-VEL3D0999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),005,04,VEL3D,0,999,500,500
CE09OSSM-RI002-01-DOSTA0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),002,01,DOSTA,0,999,5,5
CE09OSSM-RI002-02-VELPT0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),002,02,VELPT,0,999,5,5
CE09OSSM-RI002-03-PHSEN0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),002,03,PHSEN,0,999,5,5
CE09OSSM-RI002-05-CTDBP0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),002,05,CTDBP,0,999,5,5
CE09OSSM-RI003-01-ADCPT0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),003,01,ADCPT,0,999,5,5
CE09OSSM-RI003-02-OPTAA0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),003,02,OPTAA,0,999,5,5
CE09OSSM-RI003-03-NUTNR0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),003,03,NUTNR,0,999,5,5
CE09OSSM-RI003-04-SPKIR0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),003,04,SPKIR,0,999,5,5
CE09OSSM-RI003-05-FLORT0999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),003,05,FLORT,0,999,5,5
CE09OSSM-SB001-01-METBK0999,Endurance WA Offshore Surface Mooring,09,OSSM,SB (Surface Buoy),001,01,METBK,0,999,3,3
CE09OSSM-SB001-02-METBK0999,Endurance WA Offshore Surface Mooring,09,OSSM,SB (Surface Buoy),001,02,METBK,0,999,3,3
CE09OSSM-SB001-03-PCO2A0999,Endurance WA Offshore Surface Mooring,09,OSSM,SB (Surface Buoy),001,03,PCO2A,0,999,0,0
CE09OSSM-SB001-04-FDCHP0999,Endurance WA Offshore Surface Mooring,09,OSSM,SB (Surface Buoy),001,04,FDCHP,0,999,3,3
CE09OSSM-SB001-05-VELPT0999,Endurance WA Offshore Surface Mooring,09,OSSM,SB (Surface Buoy),001,05,VELPT,0,999,1,1
CE09OSSM-SB001-06-WAVSS0999,Endurance WA Offshore Surface Mooring,09,OSSM,SB (Surface Buoy),001,06,WAVSS,0,999,0,0
CP01CNSM-MF004-01-ADCPT0999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),004,01,ADCPT,0,999,150,150
CP01CNSM-MF004-02-OPTAA0999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),004,02,OPTAA,0,999,150,150
CP01CNSM-MF004-03-DOSTA0999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),004,03,DOSTA,0,999,150,150
CP01CNSM-MF004-04-VELPT0999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),004,04,VELPT,0,999,150,150
CP01CNSM-MF005-01-PCO2W0999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),005,01,PCO2W,0,999,150,150
CP01CNSM-MF005-02-CTDBP0999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),005,02,CTDBP,0,999,150,150
CP01CNSM-MF005-03-ZPLSC0999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),005,03,ZPLSC,0,999,150,150
CP01CNSM-MF005-04-PRESF0999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),005,04,PRESF,0,999,150,150
CP01CNSM-RI002-02-OPTAA0999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),002,02,OPTAA,0,999,7,7
CP01CNSM-RI002-03-CTDBP0999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),002,03,CTDBP,0,999,7,7
CP01CNSM-RI002-04-VELPT0999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),002,04,VELPT,0,999,7,7
CP01CNSM-RI003-01-NUTNR0999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),003,01,NUTNR,0,999,7,7
CP01CNSM-RI003-02-DOSTA0999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),003,02,DOSTA,0,999,7,7
CP01CNSM-RI003-03-PHSEN0999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),003,03,PHSEN,0,999,7,7
CP01CNSM-RI003-04-SPKIR0999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),003,04,SPKIR,0,999,7,7
CP01CNSM-RI003-05-FLORT0999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),003,05,FLORT,0,999,7,7
CP01CNSM-SB001-01-METBK0999,Pioneer Central Surface Mooring,01,CNSM,SB (Surface Buoy),001,01,METBK,0,999,3,3
CP01CNSM-SB001-02-METBK0999,Pioneer Central Surface Mooring,01,CNSM,SB (Surface Buoy),001,02,METBK,0,999,3,3
CP01CNSM-SB001-03-PCO2A0999,Pioneer Central Surface Mooring,01,CNSM,SB (Surface Buoy),001,03,PCO2A,0,999,0,0
CP01CNSM-SB001-04-WAVSS0999,Pioneer Central Surface Mooring,01,CNSM,SB (Surface Buoy),001,04,WAVSS,0,999,0,0
CP01CNSM-SB001-05-FDCLP0999,Pioneer Central Surface Mooring,01,CNSM,SB (Surface Buoy),001,05,FDCLP,0,999,3,3
CP01CNSP-SP001-03-NUTNR0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,03,NUTNR,0,999,150,150
CP01CNSP-SP001-04-PCO2W0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,04,PCO2W,0,999,150,150
CP01CNSP-SP001-05-VEL3D0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,05,VEL3D,0,999,150,150
CP01CNSP-SP001-06-DOFST0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,06,DOFST,0,999,150,150
CP01CNSP-SP001-07-SPKIR0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,07,SPKIR,0,999,150,150
CP01CNSP-SP001-08-CTDPF0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,08,CTDPF,0,999,150,150
CP01CNSP-SP001-09-FLORT0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,09,FLORT,0,999,150,150
CP01CNSP-SP001-10-PARAD0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,10,PARAD,0,999,150,150
CP01CNSP-SP001-02-OPTAA0999,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,02,OPTAA,0,999,150,150
CP02PMCI-RI001-01-ADCPT0999,Pioneer Central Inshore Profiler Mooring,02,PMCI,RI (Mooring Riser),001,01,ADCPT,0,999,150,150
CP02PMCI-WF001-01-VEL3D0999,Pioneer Central Inshore Profiler Mooring,02,PMCI,WF (Wire-Following Profiler),001,01,VEL3D,0,999,150,150
CP02PMCI-WF001-02-DOFST0999,Pioneer Central Inshore Profiler Mooring,02,PMCI,WF (Wire-Following Profiler),001,02,DOFST,0,999,150,150
CP02PMCI-WF001-03-CTDPF0999,Pioneer Central Inshore Profiler Mooring,02,PMCI,WF (Wire-Following Profiler),001,03,CTDPF,0,999,150,150
CP02PMCI-WF001-04-FLORT0999,Pioneer Central Inshore Profiler Mooring,02,PMCI,WF (Wire-Following Profiler),001,04,FLORT,0,999,150,150
CP02PMCI-WF001-05-PARAD0999,Pioneer Central Inshore Profiler Mooring,02,PMCI,WF (Wire-Following Profiler),001,05,PARAD,0,999,150,150
CP02PMCO-RI001-01-ADCPT0999,Pioneer Central Offshore Profiler Mooring,02,PMCO,RI (Mooring Riser),001,01,ADCPT,0,999,300,300
CP02PMCO-WF001-01-VEL3D0999,Pioneer Central Offshore Profiler Mooring,02,PMCO,WF (Wire-Following Profiler),001,01,VEL3D,0,999,300,300
CP02PMCO-WF001-02-DOFST0999,Pioneer Central Offshore Profiler Mooring,02,PMCO,WF (Wire-Following Profiler),001,02,DOFST,0,999,300,300
CP02PMCO-WF001-03-CTDPF0999,Pioneer Central Offshore Profiler Mooring,02,PMCO,WF (Wire-Following Profiler),001,03,CTDPF,0,999,300,300
CP02PMCO-WF001-04-FLORT0999,Pioneer Central Offshore Profiler Mooring,02,PMCO,WF (Wire-Following Profiler),001,04,FLORT,0,999,300,300
CP02PMCO-WF001-05-PARAD0999,Pioneer Central Offshore Profiler Mooring,02,PMCO,WF (Wire-Following Profiler),001,05,PARAD,0,999,300,300
CP02PMUI-RI001-01-ADCPT0999,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,RI (Mooring Riser),001,01,ADCPT,0,999,120,120
CP02PMUI-WF001-01-VEL3D0999,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,WF (Wire-Following Profiler),001,01,VEL3D,0,999,120,120
CP02PMUI-WF001-02-DOFST0999,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,WF (Wire-Following Profiler),001,02,DOFST,0,999,120,120
CP02PMUI-WF001-03-CTDPF0999,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,WF (Wire-Following Profiler),001,03,CTDPF,0,999,120,120
CP02PMUI-WF001-04-FLORT0999,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,WF (Wire-Following Profiler),001,04,FLORT,0,999,120,120
CP02PMUI-WF001-05-PARAD0999,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,WF (Wire-Following Profiler),001,05,PARAD,0,999,120,120
CP02PMUO-RI001-01-ADCPS0999,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,RI (Mooring Riser),001,01,ADCPS,0,999,500,500
CP02PMUO-WF001-01-VEL3D0999,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,WF (Wire-Following Profiler),001,01,VEL3D,0,999,500,500
CP02PMUO-WF001-02-DOFST0999,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,WF (Wire-Following Profiler),001,02,DOFST,0,999,500,500
CP02PMUO-WF001-03-CTDPF0999,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,WF (Wire-Following Profiler),001,03,CTDPF,0,999,500,500
CP02PMUO-WF001-04-FLORT0999,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,WF (Wire-Following Profiler),001,04,FLORT,0,999,500,500
CP02PMUO-WF001-05-PARAD0999,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,WF (Wire-Following Profiler),001,05,PARAD,0,999,500,500
CP03ISSM-MF004-01-DOSTA0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),004,01,DOSTA,0,999,120,120
CP03ISSM-MF004-03-VELPT0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),004,03,VELPT,0,999,120,120
CP03ISSM-MF004-04-CTDBP0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),004,04,CTDBP,0,999,120,120
CP03ISSM-MF004-05-PHSEN0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),004,05,PHSEN,0,999,120,120
CP03ISSM-MF005-01-PCO2W0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),005,01,PCO2W,0,999,120,120
CP03ISSM-MF005-02-PRESF0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),005,02,PRESF,0,999,120,120
CP03ISSM-MF005-03-ADCPT0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),005,03,ADCPT,0,999,120,120
CP03ISSM-MF005-04-OPTAA0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),005,04,OPTAA,0,999,120,120
CP03ISSM-MF005-05-ZPLSC0999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),005,05,ZPLSC,0,999,120,120
CP03ISSM-RI002-01-PHSEN0999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),002,01,PHSEN,0,999,7,7
CP03ISSM-RI002-02-OPTAA0999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),002,02,OPTAA,0,999,7,7
CP03ISSM-RI002-03-SPKIR0999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),002,03,SPKIR,0,999,7,7
CP03ISSM-RI002-04-DOSTA0999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),002,04,DOSTA,0,999,7,7
CP03ISSM-RI003-01-NUTNR0999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),003,01,NUTNR,0,999,7,7
CP03ISSM-RI003-03-VELPT0999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),003,03,VELPT,0,999,7,7
CP03ISSM-RI003-04-CTDBP0999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),003,04,CTDBP,0,999,7,7
CP03ISSM-RI003-05-FLORT0999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),003,05,FLORT,0,999,7,7
CP03ISSM-SB001-01-METBK0999,Pioneer Inshore Surface Mooring,03,ISSM,SB (Surface Buoy),001,01,METBK,0,999,3,3
CP03ISSM-SB001-02-FDCLP0999,Pioneer Inshore Surface Mooring,03,ISSM,SB (Surface Buoy),001,02,FDCLP,0,999,3,3
CP03ISSM-SB001-03-PCO2A0999,Pioneer Inshore Surface Mooring,03,ISSM,SB (Surface Buoy),001,03,PCO2A,0,999,0,0
CP03ISSP-SP001-03-NUTNR0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,03,NUTNR,0,999,120,120
CP03ISSP-SP001-04-PCO2W0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,04,PCO2W,0,999,120,120
CP03ISSP-SP001-05-VEL3D0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,05,VEL3D,0,999,120,120
CP03ISSP-SP001-06-DOFST0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,06,DOFST,0,999,120,120
CP03ISSP-SP001-07-SPKIR0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,07,SPKIR,0,999,120,120
CP03ISSP-SP001-08-CTDPF0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,08,CTDPF,0,999,120,120
CP03ISSP-SP001-09-FLORT0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,09,FLORT,0,999,120,120
CP03ISSP-SP001-10-PARAD0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,10,PARAD,0,999,120,120
CP03ISSP-SP001-02-OPTAA0999,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,02,OPTAA,0,999,120,120
CP04OSPM-WF001-01-VEL3D0999,Pioneer Offshore Profiler Mooring,04,OSPM,WF (Wire-Following Profiler),001,01,VEL3D,0,999,500,500
CP04OSPM-WF001-02-DOFST0999,Pioneer Offshore Profiler Mooring,04,OSPM,WF (Wire-Following Profiler),001,02,DOFST,0,999,500,500
CP04OSPM-WF001-03-CTDPF0999,Pioneer Offshore Profiler Mooring,04,OSPM,WF (Wire-Following Profiler),001,03,CTDPF,0,999,500,500
CP04OSPM-WF001-04-FLORT0999,Pioneer Offshore Profiler Mooring,04,OSPM,WF (Wire-Following Profiler),001,04,FLORT,0,999,500,500
CP04OSPM-WF001-05-PARAD0999,Pioneer Offshore Profiler Mooring,04,OSPM,WF (Wire-Following Profiler),001,05,PARAD,0,999,500,500
CP04OSSM-MF004-01-DOSTA0999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),004,01,DOSTA,0,999,500,500
CP04OSSM-MF004-03-VELPT0999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),004,03,VELPT,0,999,500,500
CP04OSSM-MF004-04-CTDBP0999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),004,04,CTDBP,0,999,500,500
CP04OSSM-MF005-01-PCO2W0999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),005,01,PCO2W,0,999,500,500
CP04OSSM-MF005-02-PRESF0999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),005,02,PRESF,0,999,500,500
CP04OSSM-MF005-03-ADCPS0999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),005,03,ADCPS,0,999,500,500
CP04OSSM-MF005-04-OPTAA0999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),005,04,OPTAA,0,999,500,500
CP04OSSM-MF005-05-ZPLSC0999,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),005,05,ZPLSC,0,999,500,500
CP04OSSM-RI002-01-PHSEN0999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,01,PHSEN,0,999,7,7
CP04OSSM-RI002-02-OPTAA0999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,02,OPTAA,0,999,7,7
CP04OSSM-RI002-03-SPKIR0999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,03,SPKIR,0,999,7,7
CP04OSSM-RI002-04-DOSTA0999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,04,DOSTA,0,999,7,7
CP04OSSM-RI003-01-NUTNR0999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,01,NUTNR,0,999,7,7
CP04OSSM-RI003-03-VELPT0999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,03,VELPT,0,999,7,7
CP04OSSM-RI003-04-CTDBP0999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,04,CTDBP,0,999,7,7
CP04OSSM-RI003-05-FLORT0999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,05,FLORT,0,999,7,7
CP04OSSM-SB001-01-FDCLP0999,Pioneer Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,01,FDCLP,0,999,3,3
CP04OSSM-SB001-02-METBK0999,Pioneer Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,02,METBK,0,999,3,3
CP04OSSM-SB001-03-PCO2A0999,Pioneer Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,03,PCO2A,0,999,0,0
CP05MOAS-AV001-01-FLORT0999,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,01,FLORT,0,999,,
CP05MOAS-AV001-02-DOSTA0999,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,02,DOSTA,0,999,,
CP05MOAS-AV001-03-CTDAV0999,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,03,CTDAV,0,999,,
CP05MOAS-AV001-04-NUTR40999,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,04,NUTR4,0,999,,
CP05MOAS-AV001-05-ADCPA0999,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,05,ADCPA,0,999,,
CP05MOAS-AV001-06-PARAD0999,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,06,PARAD,0,999,,
