Textbox8,tbToday,Textbox2
All Instrument Location Counts,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LocationCode,SiteName,SiteNumber,SiteCode,NodeType,Sequence,InstrumentCount
CE07SHSM-RI003,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,5
CE07SHSM-SB001,Endurance WA Shelf Surface Mooring,07,SHSM,SB (Surface Buoy),001,6
CE07SHSP-SP001,Endurance WA Shelf Surface Piercing Profiler Mooring,07,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,9
CE09OSPM-WF001,Endurance WA Offshore Profiler Mooring,09,OSPM,WF (Wire-Following Profiler),001,5
CE09OSSM-MF004,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),004,4
CE09OSSM-MF005,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),005,4
CE09OSSM-RI002,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),002,4
CE09OSSM-RI003,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),003,5
CE09OSSM-SB001,Endurance WA Offshore Surface Mooring,09,OSSM,SB (Surface Buoy),001,6
CP01CNSM-MF004,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),004,4
CP01CNSM-MF005,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),005,4
CP01CNSM-RI002,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),002,3
CP01CNSM-RI003,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),003,5
CP01CNSM-SB001,Pioneer Central Surface Mooring,01,CNSM,SB (Surface Buoy),001,5
CP01CNSP-SP001,Pioneer Central Surface-Piercing Profiler Mooring,01,CNSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,9
CP02PMCI-RI001,Pioneer Central Inshore Profiler Mooring,02,PMCI,RI (Mooring Riser),001,1
CP02PMCI-WF001,Pioneer Central Inshore Profiler Mooring,02,PMCI,WF (Wire-Following Profiler),001,5
CP02PMCO-RI001,Pioneer Central Offshore Profiler Mooring,02,PMCO,RI (Mooring Riser),001,1
CP02PMCO-WF001,Pioneer Central Offshore Profiler Mooring,02,PMCO,WF (Wire-Following Profiler),001,5
CP02PMUI-RI001,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,RI (Mooring Riser),001,1
CP02PMUI-WF001,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,WF (Wire-Following Profiler),001,5
CP02PMUO-RI001,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,RI (Mooring Riser),001,1
CP02PMUO-WF001,Pioneer Upstream Offshore Profiler Mooring,02,PMUO,WF (Wire-Following Profiler),001,5
CP03ISSM-MF004,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),004,4
CP03ISSM-MF005,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),005,5
CP03ISSM-RI002,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),002,4
CP03ISSM-RI003,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),003,4
CP03ISSM-SB001,Pioneer Inshore Surface Mooring,03,ISSM,SB (Surface Buoy),001,3
CP03ISSP-SP001,Pioneer Inshore Surface-Piercing Profiler Mooring,03,ISSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,9
CP04OSPM-WF001,Pioneer Offshore Profiler Mooring,04,OSPM,WF (Wire-Following Profiler),001,5
CP04OSSM-MF004,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),004,3
CP04OSSM-MF005,Pioneer Offshore Surface Mooring,04,OSSM,MF (Multi-Function Node),005,5
CP04OSSM-RI002,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,4
CP04OSSM-RI003,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,4
CP04OSSM-SB001,Pioneer Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,3
CP05MOAS-AV001,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,6
CP05MOAS-AV002,Pioneer Mobile Assets,05,MOAS,AV (AUV),002,6
CP05MOAS-AV003,Pioneer Mobile Assets,05,MOAS,AV (AUV),003,6
CP05MOAS-GL001,Pioneer Mobile Assets,05,MOAS,GL (Gliders),001,5
CP05MOAS-GL002,Pioneer Mobile Assets,05,MOAS,GL (Gliders),002,5
