__pk_jt_ScreenElement_InformationElement_ID,_fk_InformationElement_ID,_fk_ScreenElement_ID,Information Element Type
"2034955","2190014","2163018","Resource Type"
"2034956","2190014","2163019","Resource Type"
"2034957","2190014","2163020","Resource Type"
"2034958","2190014","2163021","Resource Type"
"2034959","2190014","2163022","Resource Type"
"2034960","2190014","2163023","Resource Type"
"2034962","2190011","2163025","Resource Type"
"2034963","2190011","2163026","Resource Type"
"2034964","2190011","2163027","Resource Type"
"2034965","2190011","2163028","Resource Type"
"2034966","2190011","2163029","Resource Type"
"2034967","2190011","2163030","Resource Type"
"2034968","2190011","2163031","Resource Type"
"2034969","2190014","2163032","Resource Type"
"2034970","2190014","2163033","Resource Type"
"2034971","2190045","2163034","Resource Type"
"2034972","2190014","2163035","Resource Type"
"2034973","2190014","2163036","Resource Type"
"2034974","2190014","2163037","Resource Type"
"2034975","2190014","2163038","Resource Type"
"2034976","2190014","2163039","Resource Type"
"2034977","2190014","2163040","Resource Type"
"2034978","2190014","2163041","Resource Type"
"2034979","2190014","2163042","Resource Type"
"2034980","2190014","2163043","Resource Type"
"2034982","2190014","2163045","Resource Type"
"2034983","2190032","2163046","Resource Type"
"2034984","2190032","2163047","Resource Type"
"2034985","2190092","2163048","Resource Type"
"2034986","2190092","2163049","Resource Type"
"2034987","2190092","2163050","Resource Type"
"2034992","2190092","2163055","Resource Type"
"2034994","2190092","2163057","Resource Type"
"2034996","2190092","2163059","Resource Type"
"2034998","2190092","2163061","Resource Type"
"2034999","2190092","2163062","Resource Type"
"2035000","2190092","2163063","Resource Type"
"2035001","2190016","2163064","Resource Type"
"2035009","2190073","2163072","Resource Type"
"2035011","2190016","2163074","Resource Type"
"2035012","2190016","2163075","Resource Type"
"2035013","2190016","2163076","Resource Type"
"2035014","2190016","2163077","Resource Type"
"2035015","2190016","2163078","Resource Type"
"2035017","2190131","2163080","Resource Type"
"2035018","2190016","2163081","Resource Type"
"2035021","2190016","2163084","Resource Type"
"2035022","2190016","2163085","Resource Type"
"2035025","2190017","2163088","Resource Type"
"2035026","2190017","2163089","Resource Type"
"2035027","2190017","2163090","Resource Type"
"2035028","2190017","2163091","Resource Type"
"2035029","2190017","2163092","Resource Type"
"2035030","2190017","2163093","Resource Type"
"2035031","2190017","2163094","Resource Type"
"2035032","2190017","2163095","Resource Type"
"2035033","2190017","2163096","Resource Type"
"2035035","2190017","2163098","Resource Type"
"2035036","2190009","2163099","Resource Type"
"2035037","2190009","2163100","Resource Type"
"2035038","2190009","2163101","Resource Type"
"2035039","2190071","2163102","Resource Type"
"2035040","2190071","2163103","Resource Type"
"2035041","2190071","2163104","Resource Type"
"2035042","2190009","2163105","Resource Type"
"2035043","2190071","2163106","Resource Type"
"2035044","2190009","2163107","Resource Type"
"2035045","2190071","2163108","Resource Type"
"2035046","2190009","2163109","Resource Type"
"2035047","2190071","2163110","Resource Type"
"2035050","2190009","2163113","Resource Type"
"2035051","2190071","2163114","Resource Type"
"2035053","2190017","2163116","Resource Type"
"2035054","2190017","2163117","Resource Type"
"2035055","2190017","2163118","Resource Type"
"2035056","2190017","2163119","Resource Type"
"2035057","2190017","2163120","Resource Type"
"2035058","2190017","2163121","Resource Type"
"2035116","2012010","2163266","Resource Attribute"
"2035122","2010710","2163272","Resource Attribute"
"2035128","2010724","2163278","Resource Attribute"
"2035132","2010711","2163282","Resource Attribute"
"2035133","2010599","2163283","Resource Attribute"
"2035137","2010691","2163287","Resource Attribute"
"2035138","2011969","2163288","Resource Attribute"
"2035139","2012225","2163289","Resource Attribute"
"2035140","2012243","2163290","Resource Attribute"
"2035141","2012261","2163291","Resource Attribute"
"2035143","2010726","2163293","Resource Attribute"
"2035144","2011512","2163294","Resource Attribute"
"2035145","2010007","2163295","Resource Attribute"
"2035146","2010697","2163296","Resource Attribute"
"2035147","2010714","2163297","Resource Attribute"
"2035148","2010752","2163298","Resource Attribute"
"2035149","2010789","2163299","Resource Attribute"
"2035151","2011094","2163301","Resource Attribute"
"2035152","2011956","2163302","Resource Attribute"
"2035153","2012050","2163303","Resource Attribute"
"2035154","2012068","2163304","Resource Attribute"
"2035155","2012086","2163305","Resource Attribute"
"2035160","2010584","2163310","Resource Attribute"
"2035161","2010158","2163311","Resource Attribute"
"2035164","2012845","2163314","Resource Attribute"
"2035165","2010715","2163315","Resource Attribute"
"2035167","2010712","2163317","Resource Attribute"
"2035168","2010713","2163318","Resource Attribute"
"2035169","2010725","2163319","Resource Attribute"
"2035170","2010148","2163320","Resource Attribute"
"2035171","2013171","2163321","Resource Attribute"
"2035172","2013172","2163322","Resource Attribute"
"2035173","2013173","2163323","Resource Attribute"
"2035174","2013174","2163324","Resource Attribute"
"2035175","2013175","2163325","Resource Attribute"
"2035176","2013176","2163326","Resource Attribute"
"2035177","2013177","2163327","Resource Attribute"
"2035178","2013178","2163328","Resource Attribute"
"2035179","2013179","2163329","Resource Attribute"
"2035180","2013180","2163330","Resource Attribute"
"2035181","2013181","2163331","Resource Attribute"
"2035182","2013182","2163332","Resource Attribute"
"2035183","2013183","2163333","Resource Attribute"
"2035185","2013185","2163335","Resource Attribute"
"2035186","2013186","2163336","Resource Attribute"
"2035187","2013187","2163337","Resource Attribute"
"2035188","2013188","2163338","Resource Attribute"
"2035191","2013196","2163341","Resource Attribute"
"2035192","2013197","2163342","Resource Attribute"
"2035193","2013198","2163343","Resource Attribute"
"2035194","2013199","2163344","Resource Attribute"
"2035195","2013200","2163345","Resource Attribute"
"2035196","2013201","2163346","Resource Attribute"
"2035197","2013202","2163347","Resource Attribute"
"2035198","2013203","2163348","Resource Attribute"
"2035199","2013204","2163349","Resource Attribute"
"2035200","2013205","2163350","Resource Attribute"
"2035201","2013206","2163351","Resource Attribute"
"2035202","2013207","2163352","Resource Attribute"
"2035203","2013208","2163353","Resource Attribute"
"2035204","2013209","2163354","Resource Attribute"
"2035205","2013210","2163355","Resource Attribute"
"2035206","2013211","2163356","Resource Attribute"
"2035207","2013212","2163357","Resource Attribute"
"2035208","2013213","2163358","Resource Attribute"
"2035209","2013214","2163359","Resource Attribute"
"2035210","2013215","2163360","Resource Attribute"
"2035211","2013216","2163361","Resource Attribute"
"2035212","2013217","2163362","Resource Attribute"
"2035213","2013218","2163363","Resource Attribute"
"2035214","2013219","2163364","Resource Attribute"
"2035215","2013220","2163365","Resource Attribute"
"2035216","2013221","2163366","Resource Attribute"
"2035217","2013222","2163367","Resource Attribute"
"2035218","2013223","2163368","Resource Attribute"
"2035219","2013224","2163369","Resource Attribute"
"2035220","2013225","2163370","Resource Attribute"
"2035221","2013226","2163371","Resource Attribute"
"2035222","2013227","2163372","Resource Attribute"
"2035226","2013231","2163376","Resource Attribute"
"2035230","2013235","2163380","Resource Attribute"
"2035232","2013237","2163382","Resource Attribute"
"2035233","2013238","2163383","Resource Attribute"
"2035234","2013239","2163384","Resource Attribute"
"2035235","2013240","2163385","Resource Attribute"
"2035236","2013241","2163386","Resource Attribute"
"2035237","2013242","2163387","Resource Attribute"
"2035238","2013243","2163388","Resource Attribute"
"2035239","2013244","2163389","Resource Attribute"
"2035240","2013245","2163390","Resource Attribute"
"2035296","2013301","2163446","Resource Attribute"
"2035297","2013302","2163447","Resource Attribute"
"2035298","2013303","2163448","Resource Attribute"
"2035299","2013304","2163449","Resource Attribute"
"2035300","2013305","2163450","Resource Attribute"
"2035301","2013306","2163451","Resource Attribute"
"2035302","2013307","2163452","Resource Attribute"
"2035303","2013308","2163453","Resource Attribute"
"2035304","2013309","2163454","Resource Attribute"
"2035305","2013310","2163455","Resource Attribute"
"2035306","2013311","2163456","Resource Attribute"
"2035307","2013312","2163457","Resource Attribute"
"2035308","2013313","2163458","Resource Attribute"
"2035309","2013314","2163459","Resource Attribute"
"2035310","2013315","2163460","Resource Attribute"
"2035311","2013316","2163461","Resource Attribute"
"2035312","2013317","2163462","Resource Attribute"
"2035313","2013318","2163463","Resource Attribute"
"2035327","2190022","2163480","Resource Type"
"2035329","2190092","2163483","Resource Type"
"2035330","2190011","2163484","Resource Type"
"2035334","2190011","2163489","Resource Type"
"2035406","2190092","2163565","Resource Type"
"2035407","2190014","2163559","Resource Type"
"2031966","2012002","2160029","Resource Attribute"
"2033007","2010004","2161070","Resource Attribute"
"2033332","2010371","2161395","Resource Attribute"
"2034630","2010088","2162693","Resource Attribute"
"2035408","2013323","2163567","Resource Attribute"
"2035409","2190032","2163568","Resource Type"
"2035410","2190014","2163569","Resource Type"
"2035411","2190014","2163570","Resource Type"
"2035412","2190014","2163571","Resource Type"
"2035413","2190014","2163572","Resource Type"
"2035414","2190014","2163573","Resource Type"
"2035418","2010674","2163581","Resource Attribute"
"2035419","2010435","2163582","Resource Attribute"
"2035422","2010050","2163585","Resource Attribute"
"2035424","2010181","2163587","Resource Attribute"
"2035430","2010268","2163593","Resource Attribute"
"2035432","2010633","2163595","Resource Attribute"
"2035433","2010632","2163596","Resource Attribute"
"2035439","2010477","2163602","Resource Attribute"
"2035442","2010225","2163605","Resource Attribute"
"2035444","2010228","2163607","Resource Attribute"
"2035446","2010223","2163609","Resource Attribute"
"2035473","2010001","2163636","Resource Attribute"
"2035474","2010651","2163637","Resource Attribute"
"2035475","2010983","2163638","Resource Attribute"
"2035476","2011780","2163639","Resource Attribute"
"2035477","2010272","2163640","Resource Attribute"
"2035480","2010078","2163643","Resource Attribute"
"2035482","2010270","2163645","Resource Attribute"
"2035483","2010519","2163646","Resource Attribute"
"2035486","2011285","2163649","Resource Attribute"
"2035497","2010292","2163660","Resource Attribute"
"2035498","2010293","2163661","Resource Attribute"
"2035499","2010294","2163662","Resource Attribute"
"2035500","2010295","2163663","Resource Attribute"
"2035506","2010516","2163669","Resource Attribute"
"2035513","2010231","2163676","Resource Attribute"
"2035515","2010027","2163678","Resource Attribute"
"2035517","2010476","2163680","Resource Attribute"
"2035523","2010510","2163686","Resource Attribute"
"2035525","2010269","2163688","Resource Attribute"
"2035526","2010182","2163689","Resource Attribute"
"2035527","2010512","2163690","Resource Attribute"
"2035528","2010207","2163691","Resource Attribute"
"2035532","2010513","2163695","Resource Attribute"
"2035598","2013322","2163761","Resource Attribute"
"2035599","2190017","2163762","Resource Type"
"2035600","2190017","2163763","Resource Type"
"2035603","2190010","2163767","Resource Type"
"2035604","2190010","2163769","Resource Type"
"2035605","2190010","2163770","Resource Type"
"2035606","2190010","2163771","Resource Type"
"2035607","2190010","2163772","Resource Type"
"2035608","2190010","2163774","Resource Type"
"2035609","2190010","2163775","Resource Type"
"2035610","2190010","2163776","Resource Type"
"2035611","2190010","2163777","Resource Type"
"2035612","2190010","2163778","Resource Type"
"2035613","2190010","2163779","Resource Type"
"2035614","2190010","2163780","Resource Type"
"2035615","2190010","2163781","Resource Type"
"2035616","2190010","2163782","Resource Type"
"2035617","2190010","2163783","Resource Type"
"2035618","2190010","2163784","Resource Type"
"2035619","2190010","2163785","Resource Type"
"2035620","2190010","2163786","Resource Type"
"2035621","2190010","2163787","Resource Type"
"2035622","2190010","2163789","Resource Type"
"2035623","2190010","2163790","Resource Type"
"2035624","2190009","2163791","Resource Type"
"2035625","2190071","2163793","Resource Type"
"2035626","2190009","2163794","Resource Type"
"2035627","2190071","2163795","Resource Type"
"2035628","2190009","2163796","Resource Type"
"2035629","2190071","2163797","Resource Type"
"2035630","2190071","2163798","Resource Type"
"2035631","2190089","2163799","Resource Type"
"2035632","2190009","2163800","Resource Type"
"2035633","2190071","2163801","Resource Type"
"2035634","2190009","2163802","Resource Type"
"2035635","2190071","2163804","Resource Type"
"2035636","2190009","2163805","Resource Type"
"2035637","2190071","2163806","Resource Type"
"2035639","2190071","2163808","Resource Type"
"2035640","2190010","2163809","Resource Type"
"2035641","2190017","2163813","Resource Type"
"2035642","2190017","2163814","Resource Type"
"2035643","2190017","2163817","Resource Type"
"2035644","2190092","2163818","Resource Type"
"2035645","2190032","2163821","Resource Type"
"2035646","2190032","2163820","Resource Type"
"2035647","2190032","2163822","Resource Type"
"2035649","2013324","2163829","Resource Attribute"
"2035650","2190032","2163823","Resource Type"
"2035658","2013332","2163838","Resource Attribute"
"2035659","2480189","2163841","Object Type"
"2035660","2013333","2163843","Object Field"
"2035661","2190073","2163844","Resource Type"
"2035662","2480189","2163846","Object Type"
"2035664","2013334","2163847","Resource Attribute"
"2035665","2190011","2163848","Resource Type"
"2035666","2190011","2163849","Resource Type"
"2035667","2190092","2163850","Resource Type"
"2035668","2190092","2163851","Resource Type"
"2035669","2190092","2163852","Resource Type"
"2035670","2190092","2163853","Resource Type"
"2035671","2190016","2163856","Resource Type"
"2035672","2190016","2163857","Resource Type"
"2035673","2190014","2163859","Resource Type"
"2035674","2190014","2163860","Resource Type"
"2035675","2190092","2163861","Resource Type"
"2035677","2190092","2163862","Resource Type"
"2035678","2190017","2163863","Resource Type"
"2035679","2190017","2163864","Resource Type"
"2035680","2190011","2163865","Resource Type"
"2035681","2190011","2163866","Resource Type"
"2035682","2190014","2163868","Resource Type"
"2035687","2190071","2163876","Resource Type"
"2035688","2190009","2163877","Resource Type"
"2035689","2190092","2163879","Resource Type"
"2035691","2490808","2163885","Object Field"
"2035692","2490809","2163886","Object Field"
"2035693","2490810","2163887","Object Field"
"2035694","2490816","2163888","Object Field"
"2035695","2490819","2163889","Object Field"
"2035696","2490812","2163890","Object Field"
"2035697","2490811","2163891","Object Field"
"2035698","2490854","2163892","Object Field"
"2035699","2490855","2163893","Object Field"
"2035700","2013336","2163894","Resource Attribute"
"2035701","2013337","2163895","Resource Attribute"
"2035702","2013338","2163896","Resource Attribute"
"2035704","2190032","2163839","Resource Type"
"2035705","2013340","2163897","Resource Attribute"
"2035706","2013341","2163898","Resource Attribute"
"2035707","2190011","2163901","Resource Type"
"2035709","2013342","2163905","Resource Attribute"
"2035710","2013342","2163906","Resource Attribute"
"2035711","2013343","2163907","Resource Attribute"
"2035712","2480190","2163765","Object Type"
"2035713","2490826","2163908","Object Field"
"2035714","2013344","2163911","Resource Attribute"
"2035715","2013345","2163912","Resource Attribute"
"2035716","2013346","2163913","Resource Attribute"
"2035717","2013347","2163914","Resource Attribute"
"2035718","2490824","2163915","Object Field"
"2035720","2490882","2163918","Object Field"
"2035721","2490822","2163919","Object Field"
"2035722","2010148","2163920","Resource Attribute"
"2035723","2013353","2163921","Resource Attribute"
"2035724","2013352","2163922","Resource Attribute"
"2035725","2013351","2163923","Resource Attribute"
"2035726","2013350","2163924","Resource Attribute"
"2035727","2013349","2163925","Resource Attribute"
"2035728","2013348","2163926","Resource Attribute"
