__pk_jt_ScreenElement_InformationElement_ID,_fk_InformationElement_ID,_fk_ScreenElement_ID,Information Element Type
"2033010","2010749","2161073","Resource Attribute"
"2033011","2010767","2161074","Resource Attribute"
"2033012","2010786","2161075","Resource Attribute"
"2033016","2010882","2161079","Resource Attribute"
"2033017","2010900","2161080","Resource Attribute"
"2033018","2010918","2161081","Resource Attribute"
"2033019","2010936","2161082","Resource Attribute"
"2033021","2010970","2161084","Resource Attribute"
"2033022","2010987","2161085","Resource Attribute"
"2033023","2011005","2161086","Resource Attribute"
"2033024","2011023","2161087","Resource Attribute"
"2033025","2011041","2161088","Resource Attribute"
"2033026","2011058","2161089","Resource Attribute"
"2033028","2011091","2161091","Resource Attribute"
"2033030","2011126","2161093","Resource Attribute"
"2033031","2011143","2161094","Resource Attribute"
"2033036","2011232","2161099","Resource Attribute"
"2033037","2011249","2161100","Resource Attribute"
"2033039","2011282","2161102","Resource Attribute"
"2033042","2011335","2161105","Resource Attribute"
"2033044","2011371","2161107","Resource Attribute"
"2033046","2011407","2161109","Resource Attribute"
"2033051","2011497","2161114","Resource Attribute"
"2033056","2011587","2161119","Resource Attribute"
"2033058","2011623","2161121","Resource Attribute"
"2033060","2011659","2161123","Resource Attribute"
"2033066","2011767","2161129","Resource Attribute"
"2033068","2011821","2161131","Resource Attribute"
"2033070","2011857","2161133","Resource Attribute"
"2033071","2011883","2161134","Resource Attribute"
"2033072","2011909","2161135","Resource Attribute"
"2033073","2011935","2161136","Resource Attribute"
"2033074","2011953","2161137","Resource Attribute"
"2033075","2011970","2161138","Resource Attribute"
"2033077","2012047","2161140","Resource Attribute"
"2033078","2012065","2161141","Resource Attribute"
"2033079","2012083","2161142","Resource Attribute"
"2033080","2012101","2161143","Resource Attribute"
"2033081","2012119","2161144","Resource Attribute"
"2033082","2012137","2161145","Resource Attribute"
"2033084","2012173","2161147","Resource Attribute"
"2033085","2012191","2161148","Resource Attribute"
"2033086","2012209","2161149","Resource Attribute"
"2033087","2012227","2161150","Resource Attribute"
"2033088","2012245","2161151","Resource Attribute"
"2033089","2012263","2161152","Resource Attribute"
"2033090","2012436","2161153","Resource Attribute"
"2033129","2012834","2161192","Resource Attribute"
"2033131","2010122","2161194","Resource Attribute"
"2033135","2010382","2161198","Resource Attribute"
"2033159","2010290","2161222","Resource Attribute"
"2033172","2010348","2161235","Resource Attribute"
"2033174","2010173","2161237","Resource Attribute"
"2033175","2012920","2161238","Resource Attribute"
"2033176","2012925","2161239","Resource Attribute"
"2033177","2012931","2161240","Resource Attribute"
"2033178","2012937","2161241","Resource Attribute"
"2033179","2012943","2161242","Resource Attribute"
"2033193","2010728","2161256","Resource Attribute"
"2033201","2010535","2161264","Resource Attribute"
"2033213","2010654","2161276","Resource Attribute"
"2033220","2010881","2161283","Resource Attribute"
"2033221","2010898","2161284","Resource Attribute"
"2033222","2010916","2161285","Resource Attribute"
"2033223","2010934","2161286","Resource Attribute"
"2033225","2010969","2161288","Resource Attribute"
"2033226","2010985","2161289","Resource Attribute"
"2033227","2011003","2161290","Resource Attribute"
"2033228","2011021","2161291","Resource Attribute"
"2033229","2011039","2161292","Resource Attribute"
"2033234","2011125","2161297","Resource Attribute"
"2033235","2011141","2161298","Resource Attribute"
"2033240","2011231","2161303","Resource Attribute"
"2033241","2011248","2161304","Resource Attribute"
"2033243","2011280","2161306","Resource Attribute"
"2033246","2011333","2161309","Resource Attribute"
"2033248","2011369","2161311","Resource Attribute"
"2033250","2011405","2161313","Resource Attribute"
"2033254","2011495","2161317","Resource Attribute"
"2033259","2011585","2161322","Resource Attribute"
"2033261","2011621","2161324","Resource Attribute"
"2033263","2011657","2161326","Resource Attribute"
"2033271","2011819","2161334","Resource Attribute"
"2033273","2011855","2161336","Resource Attribute"
"2033278","2012099","2161341","Resource Attribute"
"2033279","2012117","2161342","Resource Attribute"
"2033280","2012135","2161343","Resource Attribute"
"2033282","2012171","2161345","Resource Attribute"
"2033283","2012189","2161346","Resource Attribute"
"2033284","2012207","2161347","Resource Attribute"
"2033288","2012530","2161351","Resource Attribute"
"2033312","2010043","2161375","Resource Attribute"
"2033322","2010783","2161385","Resource Attribute"
"2033328","2010174","2161391","Resource Attribute"
"2033329","2010188","2161392","Resource Attribute"
"2033333","2010372","2161396","Resource Attribute"
"2033334","2010475","2161397","Resource Attribute"
"2033335","2010531","2161398","Resource Attribute"
"2033336","2010690","2161399","Resource Attribute"
"2033337","2010709","2161400","Resource Attribute"
"2033339","2010782","2161402","Resource Attribute"
"2033344","2010897","2161407","Resource Attribute"
"2033345","2010915","2161408","Resource Attribute"
"2033346","2010933","2161409","Resource Attribute"
"2033347","2010950","2161410","Resource Attribute"
"2033349","2011002","2161412","Resource Attribute"
"2033350","2011020","2161413","Resource Attribute"
"2033351","2011038","2161414","Resource Attribute"
"2033352","2011055","2161415","Resource Attribute"
"2033353","2011073","2161416","Resource Attribute"
"2033354","2011106","2161417","Resource Attribute"
"2033356","2011140","2161419","Resource Attribute"
"2033357","2011158","2161420","Resource Attribute"
