__pk_ScreenElement_ID,_fk_Graphic_ID,_fk_HelpTag_ID,_fk_MessageString_ID,_fk_ScreenLabel_ID,_fk_State_ID,_fk_Widget_ID,Default Value,Description,Name
"2162707","","2290494","","2090337","","2130023","","","type_ [UserInfo] (text_short)"
"2162708","","2290494","","2090337","","2130023","","","type_ [DataProduct] (text_short)"
"2162710","","2290494","","2090337","","2130023","","","type_ [Policy] (text_short)"
"2162711","","2290494","","2090337","","2130023","","","type_ [View] (text_short)"
"2162715","","2290494","","2090337","","2130023","","","type_ [Site] (text_short)"
"2162717","","2290494","","2090337","","2130023","","","type_ [Org] (text_short)"
"2162719","","2290494","","2090337","","2130023","","","type_ [ExternalDataset] (text_short)"
"2162720","","2290494","","2090337","","2130023","","","type_ [ExternalDataProvider] (text_short)"
"2162725","","2290494","","2090337","","2130023","","","type_ [DataSet] (text_short)"
"2162726","","2290494","","2090337","","2130023","","","type_ [DataProducer] (text_short)"
"2162731","","2290494","","2090337","","2130023","","","type_ [SensorModel] (text_short)"
"2162740","","2290494","","2090337","","2130023","","","type_ [Collection] (text_short)"
"2162745","","2290494","","2090337","","2130023","","","type_ [DataProcessDefinition] (text_short)"
"2162747","","2290494","","2090337","","2130023","","","type_ [DataSource] (text_short)"
"2162749","","2290494","","2090337","","2130023","","","type_ [DeviceModel] (text_short)"
"2162755","","2290494","","2090337","","2130023","","","type_ [Observatory] (text_short)"
"2162757","","2290494","","2090337","","2130023","","","type_ [UserRole] (text_short)"
"2162759","","2290494","","2090337","","2130023","","","type_ [StreamDefinition] (text_short)"
"2162760","","2290494","","2090337","","2130023","","","type_ [InstrumentSite] (text_short)"
"2162761","","2290494","","2090337","","2130023","","","type_ [PlatformSite] (text_short)"
"2162762","","2290494","","2090337","","2130023","","","type_ [Subsite] (text_short)"
"2162763","","2290494","","2090337","","2130023","","","type_ [InstrumentAgentInstance] (text_short)"
"2162764","","2290494","","2090337","","2130023","","","type_ [InstrumentAgent] (text_short)"
"2162767","","2290494","","2090337","","2130023","","","type_ [ExternalDatasetAgentInstance] (text_short)"
"2162768","","2290494","","2090337","","2130023","","","type_ [PlatformAgentInstance] (text_short)"
"2162769","","2290494","","2090337","","2130023","","","type_ [DataSourceAgentInstance] (text_short)"
"2162770","","2290494","","2090337","","2130023","","","type_ [Attachment] (text_short)"
"2162774","","2290494","","2090337","","2130023","","","type_ [ExecutableResource] (text_short)"
"2162775","","2290494","","2090337","","2130023","","","type_ [ExternalDatasetModel] (text_short)"
"2162776","","2290494","","2090337","","2130023","","","type_ [DataSourceModel] (text_short)"
"2162777","","2290494","","2090337","","2130023","","","type_ [ExternalDatasetAgent] (text_short)"
"2162778","","2290494","","2090337","","2130023","","","type_ [PlatformAgent] (text_short)"
"2162779","","2290494","","2090337","","2130023","","","type_ [DataSourceAgent] (text_short)"
"2162819","","2290674","","2090126","","2130023","","","units [ParameterCharacteristicsReport] (text_short)"
"2162822","","2290477","","2090346","","2130033","","","update_description [ExternalDataset] (text_extended)"
"2162950","","2290487","","2090701","","2130023","","","uuid [Device] (text_short)"
"2162951","","2290487","","2090701","","2130023","","","uuid [InstrumentDevice] (text_short)"
"2162952","","2290487","","2090701","","2130023","","","uuid [PlatformDevice] (text_short)"
"2162955","","2290673","","2090125","","2130023","","","value [ParameterCharacteristicsReport] (text_short)"
"2162966","","2290456","","2090071","","2130023","","","voltage [DeviceModel] (text_short)"
"2162967","","2290456","","2090071","","2130023","","","voltage [InstrumentModel] (text_short)"
"2162968","","2290456","","2090071","","2130023","","","voltage [PlatformModel] (text_short)"
"2162969","","2290456","","2090071","","2130023","","","voltage [SensorModel] (text_short)"
