Scenario,COMMENT,ID,org_ids,sdef/name,sdef/description,param_dict_name,parameter_dictionary,available_fields,reference_designator,Review Status
CW_TEST,,StreamDef86,MF_3,VELPT Identification String,,velpt_identification_string,DICT83,,,
BETA,,StreamDef87,MF_3,PRESF Wave Bursts,,presf_wave_burst,DICT84,,,
BETA,,StreamDef88,MF_3,PRESF Wave Statistics,,presf_wave_statistics,DICT85,,,
BETA,,StreamDef89,MF_3,PREST L1 Seafloor Pressure,Seafloor Pressure (SFLPRES_L1) from PREST,prest_real_time,DICT31,"PD7,PD891",,
SP_TEST,,StreamDef90,MF_3,BOTPT NANO Sample,includes BOTPRES_L1,botpt_nano_sample,DICT87,,,
SP_TEST,,StreamDef91,MF_3,BOTPT LILY Sample,includes BOTTILT_L1,botpt_lily_sample,DICT88,,,
SP_TEST,,StreamDef92,MF_3,BOTPT IRIS Sample,,botpt_iris_sample,DICT89,,,
SP_TEST,,StreamDef93,MF_3,BOTPT HEAT Sample,,botpt_heat_sample,DICT90,,,
BETA,,StreamDef94,MF_3,"CTDBP-C,D,E,F L0",,ctdbp_cdef_L0,DICT91,,,
BETA,,StreamDef95,MF_3,"CTDBP-C,D,E,F L1",,ctdbp_cdef_L1,DICT92,,,
BETA,,StreamDef96,MF_3,"CTDBP-C,D,E,F L2 pracsal",,ctdbp_cdef_L2_pracsal,DICT93,,,
BETA,,StreamDef97,MF_3,"CTDBP-C,D,E,F L2 density",,ctdbp_cdef_L2_density,DICT94,,,
SP_TEST,,StreamDef98,MF_3,VEL3D-B L0,"VELPTTU_L0
",vel3d_b_L0,DICT99,,,
SP_TEST,,StreamDef99,MF_3,VEL3D-B L1,"VELPTTU_L1
",vel3d_b_L1,DICT100,,,
SP_TEST,,StreamDef100,MF_3,"CTDBP-N,O L0",,ctdbp_no_L0,,,,
SP_TEST,,StreamDef101,MF_3,"CTDBP-N,O L1",,ctdbp_no_L1,,,,
SP_TEST,,StreamDef102,MF_3,TMPSF_L1,TMPSFL_L1,tmpsf_L1,DICT103,,,
TMPSF,,StreamDef103,MF_3,TMPSF_SAMPLE,,tmpsf_sample,DICT64,,,
TMPSF,,StreamDef104,MF_3,TMPSF_ENG,,tmpsf_engineering,DICT65,,,
LC_TEST,,StreamDef105,MF_3,Extended CTD LC_TEST,,ctd_LC_TEST,DICT98,,GA01SUMO-RI003-03-CTDMOQ999,
NOSE,,SD_NOSE,MF_3,StreamDef for nose tests,,raw,DICT9,,,
NOSE,,StreamDef106,MF_3,StreamDef for external CTD,,nose_ctd_external,DICT117,,,
BETA,,StreamDef107,MF_3,CTD Simulator LC_TEST,,ctd_simulator,DICT110,,GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef108,MF_3,TEMPWAT Stream Def,,ctd_simulator,DICT110,"PD7,PD6,tempwat_glblrng_qc,tempwat_spketst_qc",GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef109,MF_3,PRESWAT Stream Def,,ctd_simulator,DICT110,"PD7,PD2,preswat_glblrng_qc,preswat_spketst_qc",GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef110,MF_3,CONDWAT Stream Def,,ctd_simulator,DICT110,"PD7,PD1,condwat_glblrng_qc,condwat_spketst_qc",GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef111,MF_3,PRACSAL Stream Def,,ctd_simulator,DICT110,"PD7,PD923,pracsal_glblrng_qc,pracsal_spketst_qc",GA01SUMO-RI003-03-CTDMOQ999,
BETA,,StreamDef112,MF_3,DENSITY Stream Def,,ctd_simulator,DICT110,"PD7,PD924,density_glblrng_qc,density_spketst_qc",GA01SUMO-RI003-03-CTDMOQ999,
CW_TEST,,StreamDef113,MF_3,PHSEN Control Record,,phsen_control_record,DICT111,,,
CW_TEST,,StreamDef114,MF_3,PHSEN Data Record,,phsen_data_record,DICT112,"PD7,PD10,PD11,PD12,PD16,PD353,PD354,PD355,PD356,PD932,PD933,PD934,PD358,PD935,PD333,PD863",,
CW_TEST,,StreamDef115,MF_3,PHSEN Immediate Status,,phsen_immediate_status,DICT113,,,
CW_TEST,,StreamDef116,MF_3,PHSEN Regular Status,,phsen_regular_status,DICT114,,,
CW_TEST,,StreamDef117,MF_3,PHSEN Configuration String,,phsen_configuration,DICT115,,,
CW_TEST,,StreamDef118,MF_3,ADCP PD0 Beam Coordinate Data,includes VELPROF and ECHOINT,adcp_pd0_beam_parsed,DICT118,"PD7,PD8,PD9,PD10,PD11,PD12,PD16,PD698,PD654,PD655,PD656,PD657,PD650,PD651,PD652,PD653,PD709,PD658,PD659,PD728,PD724,PD725,PD726,PD727,PD720,PD721,PD722,PD723,PD621,PD620,PD623,PD622,PD625,PD624,PD627,PD626,PD629,PD628,PD710,PD719,PD718,PD632,PD633,PD630,PD631,PD636,PD637,PD634,PD635,PD638,PD639,PD743,PD701,PD609,PD608,PD607,PD606,PD605,PD687,PD686,PD685,PD684,PD683,PD682,PD681,PD680,PD689,PD688,PD12,PD11,PD10,PD16,PD618,PD619,PD711,PD610,PD611,PD612,PD613,PD614,PD615,PD616,PD617,PD690,PD691,PD692,PD693,PD694,PD695,PD696,PD697,PD7,PD699,PD876,PD648,PD871,PD669,PD668,PD713,PD664,PD667,PD666,PD661,PD660,PD663,PD662,PD708,PD785,PD706,PD707,PD704,PD705,PD702,PD703,PD678,PD679,PD676,PD677,PD674,PD675,PD672,PD673,PD670,PD671,PD869,PD863,PD874,PD875,PD649,PD877,PD870,PD700,PD872,PD873,PD643,PD642,PD641,PD640,PD647,PD646,PD645,PD644,PD863",,
