Scenario,ID,ic/name,ic/description,exchange_point_id,ingestion_queue/name,ingestion_queue/type
LCA_DEMO_PRE,INGCFG1,ingest_config_1,default ingestion config to be used by DataProduct MgmtSvc,science_data,ingested_science_granules,SCIDATA
VIZ_DEMO_PRE,INGCFG2,ingest_config_2,default ingestion config to be used by DataProduct MgmtSvc,science_data,ingested_science_granules,SCIDATA
