__pk_ArchitecturalSource_ID,Name
"2190009","Resource"
"2190010","TaskableResource"
"2190011","InstrumentDevice"
"2190012","InstrumentModel"
"2190013","--Instrument New"
"2190014","PlatformDevice"
"2190015","PlatformModel"
"2190016","UserInfo"
"2190017","DataProduct"
"2190018","--Data Product New"
"2190019","--Documentation New"
"2190020","InstrumentAgent"
"2190021","--Command New"
"2190022","Policy"
"2190023","--Policy New"
"2190024","--Attachment"
"2190025","View"
"2190026","Transform"
"2190027","Subscription"
"2190028","Stream"
"2190029","SIte"
"2190030","Sensor Device"
"2190031","--Process Schedule"
"2190032","Org"
"2190033","NotificationRequest"
"2190034","--Marine Facility"
"2190035","--Logical Platform"
"2190036","--Facility"
"2190037","ExternalDataset"
"2190038","ExternalDataProvider"
"2190039","ExchangePoint"
"2190040","ExchangeName"
"2190041","ExchangeBroker"
"2190042","DataStore"
"2190043","DataSet"
"2190044","DataProducer"
"2190045","DataProcess"
"2190046","New"
"2190047","--Platform New"
"2190048","--Attachment New"
"2190049","--Platform Model New"
"2190050","Agent New"
"2190051","--Event New"
"2190057","--Datum Characterization"
"2190058","Deployment"
"2190059","Device"
"2190060","Frame of Reference"
"2190061","--Registered User"
"2190062","Sensor Model"
"2190063","UserCredentials"
"2190064","VisualizationWorkflow"
"2190065","ResourceType"
"2190066","ResourceLifecycle"
"2190067","ObjectType"
"2190068","Catalog"
"2190069","ProcessDefinition"
"2190071","InformationResource"
"2190072","AgentInstance"
"2190073","Collection"
"2190074","Commitment"
"2190075","Conversation"
"2190076","ConversationRole"
"2190077","ConversionType"
"2190078","DataProcessDefinition"
"2190079","Index"
"2190080","DataSource"
"2190081","DeployableType"
"2190082","DeviceModel"
"2190083","EPU"
"2190084","InstrumentSite"
"2190085","EPUDefinition"
"2190086","ExchangeSpace"
"2190087","ExecutionEngine"
"2190088","ExecutionEngineDefinition"
"2190089","AgentDefinition"
"2190090","InstrumentAgentInstance"
"2190091","Negotiation"
"2190092","Observatory"
"2190093","PersistenceSystem"
"2190094","PlatformSite"
"2190095","Process"
"2190096","ServiceDefinition"
"2190097","Subsite"
"2190098",""
"2190099","TopicTopology"
"2190100","UserRole"
"2190101","ActorIdentity"
"2190102","StreamDefinition"
"2190103","Removed"
