__pk_Representation_ID,Name,Description,_fk_ScreenLabel_ID
"2100004","Attribute Group","","2090098"
"2100005","Table","",""
"2100006","Chart","",""
"2100007","Map","",""
"2100008","Graph","",""
"2100009","Text","",""
"2100010","Text & Icon","",""
