Textbox8,tbToday
Data Product Spreadsheet,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Data_Product_Identifier,Data_Product_Name,Data_Product_Level1,Units,DPS_DCN_s_,Processing_Flow_Diagram_DCN_s_,Instrument_Class,Instrument_Name,First_Deployment_Date,DOORS_L2_Science_Req__,Regime_s_
TEMPSFL,Temperature Array in Spatial Grid,L1,C,DCN 1341-00130,DCN 1342-00130,TMPSF,Temperature seafloor,2014-07,L2-SR-RQ-3101,Seafloor/Crust
TEMPSRF,Sea Surface Temperature,L1,degree C,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,"L2-SR-RQ-3416, L2-SR-RQ-3708","Air-Sea Interface, Surface Water"
TEMPVNT,Vent Fluid Temperature from RASFL,L0,TBD,DCN 1341-00140,DCN 1342-00140,RASFL,Watersample chem trace H2S pH,2014-07,L2-SR-RQ-3408,Seafloor/Crust
TEMPVNT,Vent Fluid Temperature from RASFL,L1,degrees C,DCN 1341-00140,DCN 1342-00140,RASFL,Watersample chem trace H2S pH,2014-07,L2-SR-RQ-3408,Seafloor/Crust
TEMPWAT,Temperature,L0,unitless,DCN 1341-00010,DCN 1342-00010,CTDAV,CTD AUV,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L0,unitless,DCN 1341-00010,DCN 1342-00010,CTDBP,CTD Bottom Pumped,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L0,unitless,DCN 1341-00010,DCN 1342-00010,CTDGV,CTD Glider,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L0,unitless,DCN 1341-00010,DCN 1342-00010,CTDMO,CTD Mooring,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L0,unitless,DCN 1341-00010,DCN 1342-00010,CTDPF,CTD Profiler,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L1,degrees C,DCN 1341-00010,DCN 1342-00010,CTDAV,CTD AUV,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L1,degrees C,DCN 1341-00010,DCN 1342-00010,CTDBP,CTD Bottom Pumped,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L1,degrees C,DCN 1341-00010,DCN 1342-00010,CTDGV,CTD Glider,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L1,degrees C,DCN 1341-00010,DCN 1342-00010,CTDMO,CTD Mooring,2013-07-17,L2-SR-RQ-3044,Water Column
TEMPWAT,Temperature,L1,degrees C,DCN 1341-00010,DCN 1342-00010,CTDPF,CTD Profiler,2013-07-17,L2-SR-RQ-3044,Water Column
THSPHHC,Hydrogen Concentration,L0,V,DCN 1341-00210,DCN 1342-00120,THSPH,Temp H2 H2S pH,2014-07,L2-SR-RQ-3092,Seafloor/Crust
THSPHHC,Hydrogen Concentration,L2,Moles/kg,DCN 1341-00210,DCN 1342-00120,THSPH,Temp H2 H2S pH,2014-07,L2-SR-RQ-3092,Seafloor/Crust
THSPHHS,Hydrogen Sulfide Concentration,L0,V,DCN 1341-00200,DCN 1342-00120,THSPH,Temp H2 H2S pH,2014-07,L2-SR-RQ-3092,Seafloor/Crust
THSPHHS,Hydrogen Sulfide Concentration,L2,Moles/kg,DCN 1341-00200,DCN 1342-00120,THSPH,Temp H2 H2S pH,2014-07,L2-SR-RQ-3092,Seafloor/Crust
THSPHPH,pH,L0,V,DCN 1341-00190,DCN 1342-00120,THSPH,Temp H2 H2S pH,2014-07,L2-SR-RQ-3092,Seafloor/Crust
THSPHPH,pH,L2,pH units,DCN 1341-00190,DCN 1342-00120,THSPH,Temp H2 H2S pH,2014-07,L2-SR-RQ-3092,Seafloor/Crust
THSPHTE,Vent Fluid Temperature from THSPH,L0,V,DCN 1341-00120,DCN 1342-00120,THSPH,Temp H2 H2S pH,2014-07,L2-SR-RQ-3092,Seafloor/Crust
THSPHTE,Vent Fluid Temperature from THSPH,L1,degrees C,DCN 1341-00120,DCN 1342-00120,THSPH,Temp H2 H2S pH,2014-07,L2-SR-RQ-3092,Seafloor/Crust
TMPATUR,Turbulent Air Temperature,L0,TBD ,DCN 1341-00290,DCN 1342-00280,FDCHP,Flux direct covariance,2013-11,L2-SR-RQ-3894,Air-Sea Interface
TMPATUR,Turbulent Air Temperature,L1,degree C,DCN 1341-00290,DCN 1342-00280,FDCHP,Flux direct covariance,2013-11,L2-SR-RQ-3894,Air-Sea Interface
TRHPHCC,Vent Fluid Chloride Concentration,L2,µM,DCN 1341-00160,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
TRHPHEH,Vent Fluid Oxidation-Reduction Potential (ORP),L1,mV,DCN 1341-00170,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
TRHPHR1,Resistivity R1,L0,"Ohm, raw voltage",DCN 1341-00160,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
TRHPHR2,Resistivity R2,L0,"Ohm, raw voltage",DCN 1341-00160,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
TRHPHR3,Resistivity R3,L0,"Ohm, raw voltage",DCN 1341-00160,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
TRHPHTE,Vent Fluid Temperature from TRHPH,L1,C,DCN 1341-00150,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
TRHPHVC,Thermocouple Temperature,L0,V,DCN 1341-00150,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
TRHPHVO,ORP Volts,L0,V,DCN 1341-00170,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
TRHPHVS,Thermistor Temperature,L0,V,DCN 1341-00150,DCN 1342-00150,TRHPH,Temp resist,2014-07,L2-SR-RQ-3090,Seafloor/Crust
VELPROF,Velocity Profile,L0,mm/s,DCN 1341-00750,DCN 1342-00750,ADCPA,Velocity profile Mobile Asset,2013-07-17,L2-SR-RQ-3757,Water Column
VELPROF,Velocity Profile,L0,mm/s,DCN 1341-00750,DCN 1342-00750,ADCPS,Velocity profile Long Range,2013-07-17,L2-SR-RQ-3757,Water Column
VELPROF,Velocity Profile,L0,mm/s,DCN 1341-00750,DCN 1342-00750,ADCPT,Velocity profile Short Range,2013-07-17,L2-SR-RQ-3757,Water Column
VELPROF,Velocity Profile,L1,m/s,DCN 1341-00750,DCN 1342-00750,ADCPA,Velocity profile Mobile Asset,2013-07-17,L2-SR-RQ-3757,Water Column
VELPROF,Velocity Profile,L1,m/s,DCN 1341-00750,DCN 1342-00750,ADCPS,Velocity profile Long Range,2013-07-17,L2-SR-RQ-3757,Water Column
VELPROF,Velocity Profile,L1,m/s,DCN 1341-00750,DCN 1342-00750,ADCPT,Velocity profile Short Range,2013-07-17,L2-SR-RQ-3757,Water Column
VELPTMN,Mean Point Water Velocity,L0,,DCN 1341-00790,DCN 1342-00790,VEL3D,Velocity point 3D turb,2013-07-17, L2-SR-RQ-3085,Water Column
VELPTMN,Mean Point Water Velocity,L0,,DCN 1341-00790,DCN 1342-00790,VELPT,Velocity point,2013-07-17, L2-SR-RQ-3085,Water Column
VELPTMN,Mean Point Water Velocity,L1,m/s,DCN 1341-00790,DCN 1342-00790,VEL3D,Velocity point 3D turb,2013-07-17,L2-SR-RQ-3085,Water Column
VELPTMN,Mean Point Water Velocity,L1,m/s,DCN 1341-00790,DCN 1342-00790,VELPT,Velocity point,2013-07-17,L2-SR-RQ-3085,Water Column
VELPTTU,Turbulent Point Water Velocity,L0,"cm/s (Nobska), mm/s (Nortek)","DCN 1341-00781 (Nobska), DCN 1341-00780 (Nortek)",DCN 1342-00780,VEL3D,Velocity point 3D turb,2013-07-17,L2-SR-RQ-3058,"Water Column, Seafloor/Crust"
VELPTTU,Turbulent Point Water Velocity,L1,m/s,"DCN 1341-00781 (Nobska), DCN 1341-00780 (Nortek)",DCN 1342-00780,VEL3D,Velocity point 3D turb,2013-07-17,L2-SR-RQ-3058,"Water Column, Seafloor/Crust"
VELTURB,Turbulent Velocity Profile,L1,m/s,DCN 1341-00760,DCN 1342-00760,VADCP,Velocity profile 50m turb,2014-07,L2-SR-RQ-3060,Water Column
WAVSTAT,Wave Spectral Properties,L0,m; s; degrees; Hz; m^2 Hz^-1,DCN 1341-00450,DCN 1342-00450,ADCPT,Velocity profile Short Range,2013-11,L2-SR-RQ-3587,"Air-Sea Interface, Surface Water"
WAVSTAT,Wave Spectral Properties,L0,m; s; degrees; Hz; m^2 Hz^-1,DCN 1341-00450,DCN 1342-00450,WAVSS,Wave spectra surface,2013-11,L2-SR-RQ-3587,"Air-Sea Interface, Surface Water"
WAVSTAT,Wave Spectral Properties,L2,m; s; degrees; Hz; m^2 Hz^-1,DCN 1341-00450,DCN 1342-00450,ADCPT,Velocity profile Short Range,2013-11,L2-SR-RQ-3587,"Air-Sea Interface, Surface Water"
WAVSTAT,Wave Spectral Properties,L2,m; s; degrees; Hz; m^2 Hz^-1,DCN 1341-00450,DCN 1342-00450,WAVSS,Wave spectra surface,2013-11,L2-SR-RQ-3587,"Air-Sea Interface, Surface Water"
WIND10M,Wind Velocity at 10 m  ,L2,m/s,,,METBK,Meteorology bulk,2013-11,,
WINDAVG,Mean Wind Velocity,L0,m/s,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3027,"Air-Sea Interface, Surface Water"
WINDAVG,Mean Wind Velocity,L1,m/s,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3027,"Air-Sea Interface, Surface Water"
WINDTUR,Wind Velocity in 3 Dimensions,L0,TBD,DCN 1341-00310,DCN 1342-00280,FDCHP,Flux direct covariance,2013-11,L2-SR-RQ-3028,Air-Sea Interface
WINDTUR,Wind Velocity in 3 Dimensions,L1,m/s,DCN 1341-00310,DCN 1342-00280,FDCHP,Flux direct covariance,2013-11,L2-SR-RQ-3028,Air-Sea Interface
XCO2ATM,CO2 Mole Fraction in Atmosphere,L0,ppm,DCN 1341-00260,DCN 1342-00260,PCO2A,pCO2 air-sea,2013-11,Derived from design to achieve PCO2AIR,Air-Sea Interface
XCO2SSW,CO2 Mole Fraction in Surface Sea Water,L0,ppm,DCN 1341-00260,DCN 1342-00260,PCO2A,pCO2 air-sea,2013-11,Derived from design to achieve PCO2AIR,Air-Sea Interface

