Textbox8,tbToday
Data Product Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Data_Product_Identifier,Data_Product_Name,Data_Product_Level,Attribute,AttributeValue
BOTTILT,Seafloor High-Resolution Tilt,0,Combine QC Flags (CMBNFLG) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3084
BOTTILT,Seafloor High-Resolution Tilt,0,DOORS L2 Science Requirement Text,Coupled near bottom pressure and tilt (Seafloor uplift/deflation)
BOTTILT,Seafloor High-Resolution Tilt,0,DPS DCN(s),DCN 1341-00060
BOTTILT,Seafloor High-Resolution Tilt,0,Global Range Test (GLBLRNG) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Gradient Test (GRADTST) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Local Range Test (LOCLRNG) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Notes,
BOTTILT,Seafloor High-Resolution Tilt,0,Processing Flow Diagram DCN(s),DCN 1342-00060
BOTTILT,Seafloor High-Resolution Tilt,0,Regime(s),Seafloor/Crust
BOTTILT,Seafloor High-Resolution Tilt,0,Spike Test (SPKETST) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Stuck Value Test (STUCKVL) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Trend Test (TRNDTST) QC,not applicable
BOTTILT,Seafloor High-Resolution Tilt,0,Units,microradians
CAMSTIL,Still Image ,1,Combine QC Flags (CMBNFLG) QC,not applicable
CAMSTIL,Still Image ,1,DOORS L2 Science Requirement #(s),L2-SR-RQ-3805
CAMSTIL,Still Image ,1,DOORS L2 Science Requirement Text,"Imagery, Still"
CAMSTIL,Still Image ,1,DPS DCN(s),DCN 1341-00830
CAMSTIL,Still Image ,1,Global Range Test (GLBLRNG) QC,not applicable
CAMSTIL,Still Image ,1,Gradient Test (GRADTST) QC,not applicable
CAMSTIL,Still Image ,1,Local Range Test (LOCLRNG) QC,not applicable
CAMSTIL,Still Image ,1,Notes,
CAMSTIL,Still Image ,1,Processing Flow Diagram DCN(s),n/a
CAMSTIL,Still Image ,1,Regime(s),"Benthic Boundary Layer, Seafloor/Crust"
CAMSTIL,Still Image ,1,Spike Test (SPKETST) QC,not applicable
CAMSTIL,Still Image ,1,Stuck Value Test (STUCKVL) QC,not applicable
CAMSTIL,Still Image ,1,Trend Test (TRNDTST) QC,not applicable
CAMSTIL,Still Image ,1,Units,Lossless compression Image File
CDOMFLO,Fluorometric CDOM Concentration,0,Combine QC Flags (CMBNFLG) QC,not applicable
CDOMFLO,Fluorometric CDOM Concentration,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3187
CDOMFLO,Fluorometric CDOM Concentration,0,DOORS L2 Science Requirement Text,Colored Dissolved Organic Matter (CDOM) fluorescence
CDOMFLO,Fluorometric CDOM Concentration,0,DPS DCN(s),[DCN 1341-00550|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/3a5d525b-59d8-4f1e-b901-20e43e6c8d26/1341-00550_Data_Product_SPEC_CDOMFLO_OOI.pdf]
CDOMFLO,Fluorometric CDOM Concentration,0,Global Range Test (GLBLRNG) QC,not applicable
CDOMFLO,Fluorometric CDOM Concentration,0,Gradient Test (GRADTST) QC,not applicable
CDOMFLO,Fluorometric CDOM Concentration,0,Local Range Test (LOCLRNG) QC,not applicable
CDOMFLO,Fluorometric CDOM Concentration,0,Notes,
CDOMFLO,Fluorometric CDOM Concentration,0,Processing Flow Diagram DCN(s),[DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf]
CDOMFLO,Fluorometric CDOM Concentration,0,Regime(s),Water Column
CDOMFLO,Fluorometric CDOM Concentration,0,Spike Test (SPKETST) QC,not applicable
CDOMFLO,Fluorometric CDOM Concentration,0,Stuck Value Test (STUCKVL) QC,not applicable
CDOMFLO,Fluorometric CDOM Concentration,0,Trend Test (TRNDTST) QC,not applicable
CDOMFLO,Fluorometric CDOM Concentration,0,Units,counts
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Combine QC Flags (CMBNFLG) QC,not applicable
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3185
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,DOORS L2 Science Requirement Text,Chlorophyll-a fluorescence
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,DPS DCN(s),[DCN 1341-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/de7bff13-c7a6-4e50-8a13-8c9e52c9b83f/1341-00530_Data_Product_SPEC_CHLAFLO_OOI.pdf]
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Global Range Test (GLBLRNG) QC,not applicable
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Gradient Test (GRADTST) QC,not applicable
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Local Range Test (LOCLRNG) QC,not applicable
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Notes,
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Processing Flow Diagram DCN(s),"[DCN 1342-00531|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f06ae944-8f55-40c0-a410-3af93cc9f2c6/1342-00531_Data_Processing_Flow_FLORD_OOI.pdf] (FLORD), [DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf] (FLORT)"
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Regime(s),Water Column
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Spike Test (SPKETST) QC,not applicable
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Stuck Value Test (STUCKVL) QC,not applicable
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Trend Test (TRNDTST) QC,not applicable
CHLAFLO,Fluorometric Chlorophyll-a Concentration,0,Units,counts
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Combine QC Flags (CMBNFLG) QC,not applicable
