Textbox8,tbToday
Data Product Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Data_Product_Identifier,Data_Product_Name,Data_Product_Level,Attribute,AttributeValue
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Regime(s),Water Column
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Spike Test (SPKETST) QC,not applicable
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Stuck Value Test (STUCKVL) QC,not applicable
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Trend Test (TRNDTST) QC,not applicable
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Units,angular degrees
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Combine QC Flags (CMBNFLG) QC,not applicable
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3048
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,DOORS L2 Science Requirement Text,Dissolved Oxygen
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,DPS DCN(s),[DCN 1341-00520|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/97f4bfbb-b075-4b1d-993f-b1df24adf369/1341-00520_Data_Product_SPEC_DOCONCS_OOI.pdf]
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Global Range Test (GLBLRNG) QC,applicable
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Gradient Test (GRADTST) QC,not applicable
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Local Range Test (LOCLRNG) QC,applicable
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Notes,
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Processing Flow Diagram DCN(s),[DCN 1342-00520|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/047d2339-e8e3-44c8-b1b7-4b4a575016b9/1342-00520_Data_Processing_Flow_DOSTA_OOI.pdf]
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Regime(s),Water Column
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Spike Test (SPKETST) QC,applicable
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Stuck Value Test (STUCKVL) QC,applicable
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Trend Test (TRNDTST) QC,applicable
DOXYGEN,Oxygen Concentration from Stable DO Instrument,2,Units,µmol/kg 
ECHOINT,Echo Intensity,0,Combine QC Flags (CMBNFLG) QC,not applicable
ECHOINT,Echo Intensity,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3887
ECHOINT,Echo Intensity,0,DOORS L2 Science Requirement Text,Velocity profile measurements shall provide a measure of acoustic backscatter intensity for each depth bin.
ECHOINT,Echo Intensity,0,DPS DCN(s),"[DCN 1341-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/7ea90727-c1b4-4d73-b565-0ae4227da451/1341-00750_Data_Product_SPEC_VELPROF_ECHOINT_OOI.pdf] (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)"
ECHOINT,Echo Intensity,0,Global Range Test (GLBLRNG) QC,not applicable
ECHOINT,Echo Intensity,0,Gradient Test (GRADTST) QC,not applicable
ECHOINT,Echo Intensity,0,Local Range Test (LOCLRNG) QC,not applicable
ECHOINT,Echo Intensity,0,Notes,
ECHOINT,Echo Intensity,0,Processing Flow Diagram DCN(s),"[DCN 1342-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/c1fb71ed-ec32-4035-9d7b-d8228b57f7b0/1342-00750_Data_Processing_Flow_ADCP_OOI.pdf] (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)"
ECHOINT,Echo Intensity,0,Regime(s),Water Column
ECHOINT,Echo Intensity,0,Spike Test (SPKETST) QC,not applicable
ECHOINT,Echo Intensity,0,Stuck Value Test (STUCKVL) QC,not applicable
ECHOINT,Echo Intensity,0,Trend Test (TRNDTST) QC,not applicable
ECHOINT,Echo Intensity,0,Units,dB
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Combine QC Flags (CMBNFLG) QC,not applicable
FLUBSCT,Optical Backscatter (Red Wavelengths),0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3059
FLUBSCT,Optical Backscatter (Red Wavelengths),0,DOORS L2 Science Requirement Text,Optical Backscatter
FLUBSCT,Optical Backscatter (Red Wavelengths),0,DPS DCN(s),[DCN 1341-00540|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/2872f757-3ac4-4401-9728-d6ded25c5fa6/1341-00540_Data_Product_SPEC_FLUBSCT_OOI.pdf]
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Global Range Test (GLBLRNG) QC,not applicable
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Gradient Test (GRADTST) QC,not applicable
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Local Range Test (LOCLRNG) QC,not applicable
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Notes,
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Processing Flow Diagram DCN(s),"[DCN 1342-00531|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f06ae944-8f55-40c0-a410-3af93cc9f2c6/1342-00531_Data_Processing_Flow_FLORD_OOI.pdf] (FLORD), [DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf] (FLORT)"
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Regime(s),Water Column
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Spike Test (SPKETST) QC,not applicable
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Stuck Value Test (STUCKVL) QC,not applicable
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Trend Test (TRNDTST) QC,not applicable
FLUBSCT,Optical Backscatter (Red Wavelengths),0,Units,counts
FLUXHOT,Direct Covariance Flux of Heat,2,Combine QC Flags (CMBNFLG) QC,Applicable
FLUXHOT,Direct Covariance Flux of Heat,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3062
FLUXHOT,Direct Covariance Flux of Heat,2,DOORS L2 Science Requirement Text,
FLUXHOT,Direct Covariance Flux of Heat,2,DPS DCN(s),DCN 1341-00330
FLUXHOT,Direct Covariance Flux of Heat,2,Global Range Test (GLBLRNG) QC,Applicable
FLUXHOT,Direct Covariance Flux of Heat,2,Gradient Test (GRADTST) QC,Applicable
FLUXHOT,Direct Covariance Flux of Heat,2,Local Range Test (LOCLRNG) QC,Applicable
FLUXHOT,Direct Covariance Flux of Heat,2,Notes,
FLUXHOT,Direct Covariance Flux of Heat,2,Processing Flow Diagram DCN(s),DCN 1342-00280
FLUXHOT,Direct Covariance Flux of Heat,2,Regime(s),Air-Sea Interface
FLUXHOT,Direct Covariance Flux of Heat,2,Spike Test (SPKETST) QC,Applicable
FLUXHOT,Direct Covariance Flux of Heat,2,Stuck Value Test (STUCKVL) QC,Applicable
FLUXHOT,Direct Covariance Flux of Heat,2,Trend Test (TRNDTST) QC,Applicable
FLUXHOT,Direct Covariance Flux of Heat,2,Units,J m^(-2) s^(-1)
FLUXMOM,Direct Covariance Flux of Momentum,2,Combine QC Flags (CMBNFLG) QC,Applicable
FLUXMOM,Direct Covariance Flux of Momentum,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3033
FLUXMOM,Direct Covariance Flux of Momentum,2,DOORS L2 Science Requirement Text,
FLUXMOM,Direct Covariance Flux of Momentum,2,DPS DCN(s),DCN 1341-00320
FLUXMOM,Direct Covariance Flux of Momentum,2,Global Range Test (GLBLRNG) QC,Applicable
FLUXMOM,Direct Covariance Flux of Momentum,2,Gradient Test (GRADTST) QC,Applicable
FLUXMOM,Direct Covariance Flux of Momentum,2,Local Range Test (LOCLRNG) QC,Applicable
FLUXMOM,Direct Covariance Flux of Momentum,2,Notes,
FLUXMOM,Direct Covariance Flux of Momentum,2,Processing Flow Diagram DCN(s),DCN 1342-00280
FLUXMOM,Direct Covariance Flux of Momentum,2,Regime(s),Air-Sea Interface
FLUXMOM,Direct Covariance Flux of Momentum,2,Spike Test (SPKETST) QC,Applicable
FLUXMOM,Direct Covariance Flux of Momentum,2,Stuck Value Test (STUCKVL) QC,Applicable
FLUXMOM,Direct Covariance Flux of Momentum,2,Trend Test (TRNDTST) QC,Applicable
FLUXMOM,Direct Covariance Flux of Momentum,2,Units,kg m^(-1) s^(-2)
FLUXWET,Direct Covariance Flux of Moisture,2,Combine QC Flags (CMBNFLG) QC,Applicable
FLUXWET,Direct Covariance Flux of Moisture,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3033
FLUXWET,Direct Covariance Flux of Moisture,2,DOORS L2 Science Requirement Text,
FLUXWET,Direct Covariance Flux of Moisture,2,DPS DCN(s),DCN 1341-00340
FLUXWET,Direct Covariance Flux of Moisture,2,Global Range Test (GLBLRNG) QC,Applicable
FLUXWET,Direct Covariance Flux of Moisture,2,Gradient Test (GRADTST) QC,Applicable
FLUXWET,Direct Covariance Flux of Moisture,2,Local Range Test (LOCLRNG) QC,Applicable
FLUXWET,Direct Covariance Flux of Moisture,2,Notes,
FLUXWET,Direct Covariance Flux of Moisture,2,Processing Flow Diagram DCN(s),DCN 1342-00280
FLUXWET,Direct Covariance Flux of Moisture,2,Regime(s),Air-Sea Interface
FLUXWET,Direct Covariance Flux of Moisture,2,Spike Test (SPKETST) QC,Applicable
FLUXWET,Direct Covariance Flux of Moisture,2,Stuck Value Test (STUCKVL) QC,Applicable
FLUXWET,Direct Covariance Flux of Moisture,2,Trend Test (TRNDTST) QC,Applicable
FLUXWET,Direct Covariance Flux of Moisture,2,Units,kg m^(-1) s^(-1) 
FRSHFLX ,Freshwater Flux,2,Combine QC Flags (CMBNFLG) QC,Applicable
FRSHFLX ,Freshwater Flux,2,DOORS L2 Science Requirement #(s),
FRSHFLX ,Freshwater Flux,2,DOORS L2 Science Requirement Text,
FRSHFLX ,Freshwater Flux,2,DPS DCN(s),
FRSHFLX ,Freshwater Flux,2,Global Range Test (GLBLRNG) QC,Applicable
FRSHFLX ,Freshwater Flux,2,Gradient Test (GRADTST) QC,Applicable
FRSHFLX ,Freshwater Flux,2,Local Range Test (LOCLRNG) QC,Applicable
FRSHFLX ,Freshwater Flux,2,Notes,
FRSHFLX ,Freshwater Flux,2,Processing Flow Diagram DCN(s),
FRSHFLX ,Freshwater Flux,2,Regime(s),
FRSHFLX ,Freshwater Flux,2,Spike Test (SPKETST) QC,Applicable
FRSHFLX ,Freshwater Flux,2,Stuck Value Test (STUCKVL) QC,Applicable
FRSHFLX ,Freshwater Flux,2,Trend Test (TRNDTST) QC,Applicable
FRSHFLX ,Freshwater Flux,2,Units,m3/s
GRNDACC,Broadband Ground Acceleration,1,Combine QC Flags (CMBNFLG) QC,Applicable
GRNDACC,Broadband Ground Acceleration,1,DOORS L2 Science Requirement #(s),L2-SR-RQ-3603
GRNDACC,Broadband Ground Acceleration,1,DOORS L2 Science Requirement Text,Strong motion
GRNDACC,Broadband Ground Acceleration,1,DPS DCN(s),DCN 1341-00100
GRNDACC,Broadband Ground Acceleration,1,Global Range Test (GLBLRNG) QC,Applicable
GRNDACC,Broadband Ground Acceleration,1,Gradient Test (GRADTST) QC,Applicable
GRNDACC,Broadband Ground Acceleration,1,Local Range Test (LOCLRNG) QC,Applicable
GRNDACC,Broadband Ground Acceleration,1,Notes,
GRNDACC,Broadband Ground Acceleration,1,Processing Flow Diagram DCN(s),DCN 1342-00090
GRNDACC,Broadband Ground Acceleration,1,Regime(s),Seafloor/Crust
GRNDACC,Broadband Ground Acceleration,1,Spike Test (SPKETST) QC,Applicable
GRNDACC,Broadband Ground Acceleration,1,Stuck Value Test (STUCKVL) QC,Applicable
GRNDACC,Broadband Ground Acceleration,1,Trend Test (TRNDTST) QC,Applicable
GRNDACC,Broadband Ground Acceleration,1,Units,m/s^2
GRNDVEL,Broadband Ground Velocity,1,Combine QC Flags (CMBNFLG) QC,Not Applicable
GRNDVEL,Broadband Ground Velocity,1,DOORS L2 Science Requirement #(s),L2-SR-RQ-3096
GRNDVEL,Broadband Ground Velocity,1,DOORS L2 Science Requirement Text,Broadband ground motion
GRNDVEL,Broadband Ground Velocity,1,DPS DCN(s),DCN 1341-00090
GRNDVEL,Broadband Ground Velocity,1,Global Range Test (GLBLRNG) QC,Applicable
GRNDVEL,Broadband Ground Velocity,1,Gradient Test (GRADTST) QC,Applicable
GRNDVEL,Broadband Ground Velocity,1,Local Range Test (LOCLRNG) QC,Applicable
GRNDVEL,Broadband Ground Velocity,1,Notes,
GRNDVEL,Broadband Ground Velocity,1,Processing Flow Diagram DCN(s),DCN 1342-00090
GRNDVEL,Broadband Ground Velocity,1,Regime(s),Seafloor/Crust
GRNDVEL,Broadband Ground Velocity,1,Spike Test (SPKETST) QC,Applicable
GRNDVEL,Broadband Ground Velocity,1,Stuck Value Test (STUCKVL) QC,Applicable
GRNDVEL,Broadband Ground Velocity,1,Trend Test (TRNDTST) QC,Applicable
GRNDVEL,Broadband Ground Velocity,1,Units,m/s
HDVIDEO,HD Video ,1,Combine QC Flags (CMBNFLG) QC,not applicable
HDVIDEO,HD Video ,1,DOORS L2 Science Requirement #(s),L2-SR-RQ-3804
HDVIDEO,HD Video ,1,DOORS L2 Science Requirement Text,"Imagery, HD Video"
HDVIDEO,HD Video ,1,DPS DCN(s),DCN 1341-00840
HDVIDEO,HD Video ,1,Global Range Test (GLBLRNG) QC,not applicable
HDVIDEO,HD Video ,1,Gradient Test (GRADTST) QC,not applicable
HDVIDEO,HD Video ,1,Local Range Test (LOCLRNG) QC,not applicable
HDVIDEO,HD Video ,1,Notes,These are not considered data to be archived - only live streaming
HDVIDEO,HD Video ,1,Processing Flow Diagram DCN(s),n/a
HDVIDEO,HD Video ,1,Regime(s),Seafloor/Crust
HDVIDEO,HD Video ,1,Spike Test (SPKETST) QC,not applicable
HDVIDEO,HD Video ,1,Stuck Value Test (STUCKVL) QC,not applicable
HDVIDEO,HD Video ,1,Trend Test (TRNDTST) QC,not applicable
HDVIDEO,HD Video ,1,Units,Lossless compression Image File
HEATFLX ,Net Heat Flux,2,Combine QC Flags (CMBNFLG) QC,Applicable
HEATFLX ,Net Heat Flux,2,DOORS L2 Science Requirement #(s),
HEATFLX ,Net Heat Flux,2,DOORS L2 Science Requirement Text,
HEATFLX ,Net Heat Flux,2,DPS DCN(s),
HEATFLX ,Net Heat Flux,2,Global Range Test (GLBLRNG) QC,Applicable
HEATFLX ,Net Heat Flux,2,Gradient Test (GRADTST) QC,Applicable
HEATFLX ,Net Heat Flux,2,Local Range Test (LOCLRNG) QC,Applicable
HEATFLX ,Net Heat Flux,2,Notes,
HEATFLX ,Net Heat Flux,2,Processing Flow Diagram DCN(s),
HEATFLX ,Net Heat Flux,2,Regime(s),
HEATFLX ,Net Heat Flux,2,Spike Test (SPKETST) QC,Applicable
HEATFLX ,Net Heat Flux,2,Stuck Value Test (STUCKVL) QC,Applicable
HEATFLX ,Net Heat Flux,2,Trend Test (TRNDTST) QC,Applicable
HEATFLX ,Net Heat Flux,2,Units,W/m2
HYDAPBB,Broadband Acoustic pressure waves ,0,Combine QC Flags (CMBNFLG) QC,not applicable
HYDAPBB,Broadband Acoustic pressure waves ,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3086
HYDAPBB,Broadband Acoustic pressure waves ,0,DOORS L2 Science Requirement Text,Acoustic Pressure Waves
HYDAPBB,Broadband Acoustic pressure waves ,0,DPS DCN(s),DCN 1341-00820
HYDAPBB,Broadband Acoustic pressure waves ,0,Global Range Test (GLBLRNG) QC,not applicable
HYDAPBB,Broadband Acoustic pressure waves ,0,Gradient Test (GRADTST) QC,not applicable
HYDAPBB,Broadband Acoustic pressure waves ,0,Local Range Test (LOCLRNG) QC,not applicable
HYDAPBB,Broadband Acoustic pressure waves ,0,Notes,
HYDAPBB,Broadband Acoustic pressure waves ,0,Processing Flow Diagram DCN(s),DCN 1342-00810
HYDAPBB,Broadband Acoustic pressure waves ,0,Regime(s),"Water Column, Seafloor/Crust"
HYDAPBB,Broadband Acoustic pressure waves ,0,Spike Test (SPKETST) QC,not applicable
HYDAPBB,Broadband Acoustic pressure waves ,0,Stuck Value Test (STUCKVL) QC,not applicable
HYDAPBB,Broadband Acoustic pressure waves ,0,Trend Test (TRNDTST) QC,not applicable
HYDAPBB,Broadband Acoustic pressure waves ,0,Units,TBD
HYDAPLF,Low Frequency Acoustic pressure waves,0,Combine QC Flags (CMBNFLG) QC,
HYDAPLF,Low Frequency Acoustic pressure waves,0,DOORS L2 Science Requirement #(s),
HYDAPLF,Low Frequency Acoustic pressure waves,0,DOORS L2 Science Requirement Text,
HYDAPLF,Low Frequency Acoustic pressure waves,0,DPS DCN(s),DCN 1341-00821
HYDAPLF,Low Frequency Acoustic pressure waves,0,Global Range Test (GLBLRNG) QC,
HYDAPLF,Low Frequency Acoustic pressure waves,0,Gradient Test (GRADTST) QC,
HYDAPLF,Low Frequency Acoustic pressure waves,0,Local Range Test (LOCLRNG) QC,
HYDAPLF,Low Frequency Acoustic pressure waves,0,Notes,
HYDAPLF,Low Frequency Acoustic pressure waves,0,Processing Flow Diagram DCN(s),DCN 1341-00821
HYDAPLF,Low Frequency Acoustic pressure waves,0,Regime(s),
HYDAPLF,Low Frequency Acoustic pressure waves,0,Spike Test (SPKETST) QC,
HYDAPLF,Low Frequency Acoustic pressure waves,0,Stuck Value Test (STUCKVL) QC,
HYDAPLF,Low Frequency Acoustic pressure waves,0,Trend Test (TRNDTST) QC,
HYDAPLF,Low Frequency Acoustic pressure waves,0,Units,
HYDFRBB,Broadband Frequency,0,Combine QC Flags (CMBNFLG) QC,not applicable
HYDFRBB,Broadband Frequency,0,DOORS L2 Science Requirement #(s),Derived from design to achieve HYDACR
HYDFRBB,Broadband Frequency,0,DOORS L2 Science Requirement Text,none
HYDFRBB,Broadband Frequency,0,DPS DCN(s),DCN 1341-00810
HYDFRBB,Broadband Frequency,0,Global Range Test (GLBLRNG) QC,not applicable
HYDFRBB,Broadband Frequency,0,Gradient Test (GRADTST) QC,not applicable
HYDFRBB,Broadband Frequency,0,Local Range Test (LOCLRNG) QC,not applicable
HYDFRBB,Broadband Frequency,0,Notes,
HYDFRBB,Broadband Frequency,0,Processing Flow Diagram DCN(s),DCN 1342-00810
HYDFRBB,Broadband Frequency,0,Regime(s),"Water Column, Seafloor/Crust"
HYDFRBB,Broadband Frequency,0,Spike Test (SPKETST) QC,not applicable
HYDFRBB,Broadband Frequency,0,Stuck Value Test (STUCKVL) QC,not applicable
HYDFRBB,Broadband Frequency,0,Trend Test (TRNDTST) QC,not applicable
HYDFRBB,Broadband Frequency,0,Units,TBD
IES_HEF,Horizontal Electric Fields,0,Combine QC Flags (CMBNFLG) QC,not applicable
IES_HEF,Horizontal Electric Fields,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3912
IES_HEF,Horizontal Electric Fields,0,DOORS L2 Science Requirement Text,Horizontal Electrical Field
IES_HEF,Horizontal Electric Fields,0,DPS DCN(s),DCN 1341-00580
IES_HEF,Horizontal Electric Fields,0,Global Range Test (GLBLRNG) QC,not applicable
IES_HEF,Horizontal Electric Fields,0,Gradient Test (GRADTST) QC,not applicable
IES_HEF,Horizontal Electric Fields,0,Local Range Test (LOCLRNG) QC,not applicable
IES_HEF,Horizontal Electric Fields,0,Notes,
IES_HEF,Horizontal Electric Fields,0,Processing Flow Diagram DCN(s),DCN 1342-00560
IES_HEF,Horizontal Electric Fields,0,Regime(s),Water Column
IES_HEF,Horizontal Electric Fields,0,Spike Test (SPKETST) QC,not applicable
IES_HEF,Horizontal Electric Fields,0,Stuck Value Test (STUCKVL) QC,not applicable
IES_HEF,Horizontal Electric Fields,0,Trend Test (TRNDTST) QC,not applicable
IES_HEF,Horizontal Electric Fields,0,Units,TBD
IES_WPP,Water Property Profile Time Series,2,Combine QC Flags (CMBNFLG) QC,Applicable
IES_WPP,Water Property Profile Time Series,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3073
IES_WPP,Water Property Profile Time Series,2,DOORS L2 Science Requirement Text,Water Property Profile Time Series
IES_WPP,Water Property Profile Time Series,2,DPS DCN(s),DCN 1341-00600
IES_WPP,Water Property Profile Time Series,2,Global Range Test (GLBLRNG) QC,Applicable
IES_WPP,Water Property Profile Time Series,2,Gradient Test (GRADTST) QC,Applicable
IES_WPP,Water Property Profile Time Series,2,Local Range Test (LOCLRNG) QC,Applicable
IES_WPP,Water Property Profile Time Series,2,Notes,
IES_WPP,Water Property Profile Time Series,2,Processing Flow Diagram DCN(s),DCN 1342-00560
IES_WPP,Water Property Profile Time Series,2,Regime(s),Water Column
IES_WPP,Water Property Profile Time Series,2,Spike Test (SPKETST) QC,Applicable
IES_WPP,Water Property Profile Time Series,2,Stuck Value Test (STUCKVL) QC,Applicable
IES_WPP,Water Property Profile Time Series,2,Trend Test (TRNDTST) QC,Applicable
IES_WPP,Water Property Profile Time Series,2,Units,"T (degree C), salinity (unitless), density (kgm-3)"
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Combine QC Flags (CMBNFLG) QC,Applicable
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3641
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,DOORS L2 Science Requirement Text,Vertically Averaged Horizontal Water Velocity 
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,DPS DCN(s),DCN 1341-00590
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Global Range Test (GLBLRNG) QC,Applicable
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Gradient Test (GRADTST) QC,Applicable
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Local Range Test (LOCLRNG) QC,Applicable
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Notes,
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Processing Flow Diagram DCN(s),DCN 1342-00560
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Regime(s),Water Column
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Spike Test (SPKETST) QC,Applicable
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Stuck Value Test (STUCKVL) QC,Applicable
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Trend Test (TRNDTST) QC,Applicable
IESAHWV,Vertically Averaged Horizontal Water Velocity (VAHWV) ,2,Units,m/s
IESHEAT,Water Column Heat Content,2,Combine QC Flags (CMBNFLG) QC,Applicable
IESHEAT,Water Column Heat Content,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3073
IESHEAT,Water Column Heat Content,2,DOORS L2 Science Requirement Text,Water Column Heat Content
IESHEAT,Water Column Heat Content,2,DPS DCN(s),DCN 1341-00610
IESHEAT,Water Column Heat Content,2,Global Range Test (GLBLRNG) QC,Applicable
IESHEAT,Water Column Heat Content,2,Gradient Test (GRADTST) QC,Applicable
IESHEAT,Water Column Heat Content,2,Local Range Test (LOCLRNG) QC,Applicable
IESHEAT,Water Column Heat Content,2,Notes,
IESHEAT,Water Column Heat Content,2,Processing Flow Diagram DCN(s),DCN 1342-00560
IESHEAT,Water Column Heat Content,2,Regime(s),Water Column
IESHEAT,Water Column Heat Content,2,Spike Test (SPKETST) QC,Applicable
IESHEAT,Water Column Heat Content,2,Stuck Value Test (STUCKVL) QC,Applicable
IESHEAT,Water Column Heat Content,2,Trend Test (TRNDTST) QC,Applicable
IESHEAT,Water Column Heat Content,2,Units,Jm-2
IESPRES,Bottom Pressure,0,Combine QC Flags (CMBNFLG) QC,not applicable
IESPRES,Bottom Pressure,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3918
IESPRES,Bottom Pressure,0,DOORS L2 Science Requirement Text,HPIES Bottom Pressure
IESPRES,Bottom Pressure,0,DPS DCN(s),DCN 1341-00570
IESPRES,Bottom Pressure,0,Global Range Test (GLBLRNG) QC,not applicable
IESPRES,Bottom Pressure,0,Gradient Test (GRADTST) QC,not applicable
IESPRES,Bottom Pressure,0,Local Range Test (LOCLRNG) QC,not applicable
IESPRES,Bottom Pressure,0,Notes,
IESPRES,Bottom Pressure,0,Processing Flow Diagram DCN(s),DCN 1342-00560
IESPRES,Bottom Pressure,0,Regime(s),Water Column
IESPRES,Bottom Pressure,0,Spike Test (SPKETST) QC,not applicable
IESPRES,Bottom Pressure,0,Stuck Value Test (STUCKVL) QC,not applicable
IESPRES,Bottom Pressure,0,Trend Test (TRNDTST) QC,not applicable
IESPRES,Bottom Pressure,0,Units,TBD
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Combine QC Flags (CMBNFLG) QC,not applicable
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3593
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,DOORS L2 Science Requirement Text,Round Trip Acoustic Travel Time (RATT)
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,DPS DCN(s),DCN 1341-00560
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Global Range Test (GLBLRNG) QC,not applicable
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Gradient Test (GRADTST) QC,not applicable
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Local Range Test (LOCLRNG) QC,not applicable
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Notes,
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Processing Flow Diagram DCN(s),DCN 1342-00560
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Regime(s),Water Column
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Spike Test (SPKETST) QC,not applicable
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Stuck Value Test (STUCKVL) QC,not applicable
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Trend Test (TRNDTST) QC,not applicable
IESRATT,Roundtrip Acoustic Travel Time (RATT),0,Units,TBD
LATNFLX ,Latent Heat Flux,2,Combine QC Flags (CMBNFLG) QC,Applicable
LATNFLX ,Latent Heat Flux,2,DOORS L2 Science Requirement #(s),
LATNFLX ,Latent Heat Flux,2,DOORS L2 Science Requirement Text,
LATNFLX ,Latent Heat Flux,2,DPS DCN(s),
LATNFLX ,Latent Heat Flux,2,Global Range Test (GLBLRNG) QC,Applicable
LATNFLX ,Latent Heat Flux,2,Gradient Test (GRADTST) QC,Applicable
LATNFLX ,Latent Heat Flux,2,Local Range Test (LOCLRNG) QC,Applicable
LATNFLX ,Latent Heat Flux,2,Notes,
LATNFLX ,Latent Heat Flux,2,Processing Flow Diagram DCN(s),
LATNFLX ,Latent Heat Flux,2,Regime(s),
LATNFLX ,Latent Heat Flux,2,Spike Test (SPKETST) QC,Applicable
LATNFLX ,Latent Heat Flux,2,Stuck Value Test (STUCKVL) QC,Applicable
LATNFLX ,Latent Heat Flux,2,Trend Test (TRNDTST) QC,Applicable
LATNFLX ,Latent Heat Flux,2,Units,W/m2
LONGIRR,Downwelling Longwave Irradiance,1,Combine QC Flags (CMBNFLG) QC,Applicable
LONGIRR,Downwelling Longwave Irradiance,1,DOORS L2 Science Requirement #(s),L2-SR-RQ-3021
LONGIRR,Downwelling Longwave Irradiance,1,DOORS L2 Science Requirement Text,Downwelling longwave irradiance
LONGIRR,Downwelling Longwave Irradiance,1,DPS DCN(s),DCN 1341-00360
