Textbox8,tbToday,Total_Count3
Instrument Table (Website) (Detailed),Report Generated: 4/28/2014,Total Instruments: 723

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LArray_PublicID,LSubsite_PublicID,LSubsite_Description,NodeType,SClass_PublicID,AlternateClassName,ClassDescription,MMInstrument_Manufacturer,MMInstrument_PublicID,Data_Product,Relative_Depth,Port_Min_Depth,Port_Max_Depth
CE07SHSP-SP001-05-NUTNRJ999,CE,CE07SHSP,Endurance WA Shelf Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Satlantic,SUNA V2,Nitrate Concentration,Sea surface to 2m above bottom,0,78
CE07SHSP-SP001-06-SPKIRJ999,CE,CE07SHSP,Endurance WA Shelf Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),SPKIR,Spectral Irradiance,Measures downwelling spectral irradiance,Satlantic,OCR507 ICSW,Downwelling Spectral Irradiance ,Sea surface to 2m above bottom,0,78
CE07SHSP-SP001-07-FLORTJ999,CE,CE07SHSP,Endurance WA Shelf Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to 2m above bottom,0,78
CE07SHSP-SP001-08-CTDPFJ999,CE,CE07SHSP,Endurance WA Shelf Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,FastCAT 49 CTD,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to 2m above bottom,0,78
CE07SHSP-SP001-09-PARADJ999,CE,CE07SHSP,Endurance WA Shelf Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,WET Labs,ECO PAR,Photosynthetically Active Radiation (400-700 nm),Sea surface to 2m above bottom,0,78
CE09OSPM-WF001-01-VEL3DK999,CE,CE09OSPM,Endurance WA Offshore Profiler Mooring,WF(Wire-Following Profiler),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Nortek,Aquadopp II,Mean Point Water Velocity; Turbulent Point Water Velocity ,Near bottom to 15m below surface,15,500
CE09OSPM-WF001-02-DOFSTK999,CE,CE09OSPM,Endurance WA Offshore Profiler Mooring,WF(Wire-Following Profiler),DOFST,Dissolved Oxygen Fast Response,Measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients,Sea-Bird,SBE 43F,Oxygen Concentration from Fastrep DO Instrument,Near bottom to 15m below surface,15,500
CE09OSPM-WF001-03-CTDPFK999,CE,CE09OSPM,Endurance WA Offshore Profiler Mooring,WF(Wire-Following Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,SBE 52MP,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Near bottom to 15m below surface,15,500
CE09OSPM-WF001-04-FLORTK999,CE,CE09OSPM,Endurance WA Offshore Profiler Mooring,WF(Wire-Following Profiler),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Near bottom to 15m below surface,15,500
CE09OSPM-WF001-05-PARADK999,CE,CE09OSPM,Endurance WA Offshore Profiler Mooring,WF(Wire-Following Profiler),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,Biospherical Instruments,QSP-2200,Photosynthetically Active Radiation (400-700 nm),Near bottom to 15m below surface,15,500
CE09OSSM-MF004-01-DOSTAD999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,2m above bottom,498,498
CE09OSSM-MF004-02-OPTAAC999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S Deep,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,2m above bottom,498,498
CE09OSSM-MF004-03-PCO2WB999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),PCO2W,pCO2 Water,Measures partial pressure of CO2 in the water column,Sunburst,SAMI-pCO2,Optical Absorbance Ratio at 434nm; Optical Absorbance Ratio at 620nm; PCO2W Thermistor Temperature; Partial Pressure of CO2 in Water,2m above bottom,498,498
CE09OSSM-MF004-04-ADCPSJ999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),ADCPS,Velocity Profiler (long range),ADCPs capable of measuring 500 m or greater from the instrument,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,Echo Intensity; Velocity Profile ,"Bottom mount, uplooking",500,500
CE09OSSM-MF004-05-PHSEND999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,2m above bottom,,
CE09OSSM-MF005-00-ZPLSCC000,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),ZPLSC,Bio-acoustic Sonar (Coastal),Measures acoustic signal of plankton and zooplankton on coastal arrays,,,Multi-Frequency Acoustic Backscatter,,,
CE09OSSM-MF005-01-CTDBPE999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,2m above bottom,498,498
CE09OSSM-MF005-02-PRESFC999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),PRESF,Seafloor Pressure,Measures seafloor pressure,Sea-Bird,SBE 26plus,Seafloor Pressure,2m above bottom,498,498
CE09OSSM-MF005-03-CAMDSA999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),CAMDS,Digital Still Camera with Strobes,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna",Kongsberg,Modified OE14-408,Still Image ,2m above bottom,498,498
CE09OSSM-MF005-04-VEL3DD999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,MF(Multi-Function Node),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Nortek,VECTOR,Mean Point Water Velocity; Turbulent Point Water Velocity ,2m above bottom,498,498
CE09OSSM-RI002-01-DOSTAD999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,5m below sea surface,5,5
CE09OSSM-RI002-02-VELPTA999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp 300m,Mean Point Water Velocity,5m below sea surface,5,5
CE09OSSM-RI002-03-PHSEND999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,5m below sea surface,5,5
CE09OSSM-RI002-05-CTDBPC999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,5m below sea surface,5,5
CE09OSSM-RI003-01-ADCPTC999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Teledyne RDI,WorkHorse Sentinel 300khz,Echo Intensity; Velocity Profile; Wave Spectral Properties ,"Mounted at 5m, downlooking",5,5
CE09OSSM-RI003-02-OPTAAD999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,5m below sea surface,5,5
CE09OSSM-RI003-03-NUTNRB999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Satlantic,ISUS,Nitrate Concentration,5m below sea surface,5,5
CE09OSSM-RI003-04-SPKIRB999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),SPKIR,Spectral Irradiance,Measures downwelling spectral irradiance,Satlantic,OCR507 ICSW,Downwelling Spectral Irradiance ,5m below sea surface,5,5
CE09OSSM-RI003-05-FLORTD999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,RI(Mooring Riser),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,5m below sea surface,5,5
CE09OSSM-SB001-01-METBKA999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,SB(Surface Buoy),METBK,Bulk Meteorology Instrument Package,"Measures surface meteorology and provides the data required to compute air-sea fluxes of heat, freshwater, and momentum",Star Engineering,ASIMET,Barometric Pressure; Sea Surface Conductivity; Freshwater Flux; Net Heat Flux; Latent Heat Flux; Downwelling Longwave Irradiance; Momentum Flux (Wind Stress) ; Net Longwave Irradiance ; Net Shortwave Irradiance ; Precipitation; Rain Heat Flux; Rain rate; Relative Humidity; Sea Surface Salinity ; Sensible Heat Flux ; Downwelling Shortwave Irradiance ; Specific Humidity,~3m above sea surface,-3,-3
CE09OSSM-SB001-03-PCO2AA999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,SB(Surface Buoy),PCO2A,pCO2 Air-Sea,Measures partial pressure of CO2 at the air-sea interface,Pro-Oceanus,pCO2-pro,Flux of CO2 from the Ocean into the Atmosphere; Partial Pressure of CO2 in Atmosphere; Partial Pressure of CO2 in Surface Sea Water; PCO2A Gas Stream Pressure; CO2 Mole Fraction in Atmosphere; CO2 Mole Fraction in Surface Sea Water ,Sea Surface,0,0
CE09OSSM-SB001-05-VELPTA999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,SB(Surface Buoy),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp 300m,Mean Point Water Velocity,1m below sea surface,1,1
CE09OSSM-SB001-06-WAVSSA999,CE,CE09OSSM,Endurance WA Offshore Surface Mooring,SB(Surface Buoy),WAVSS,Surface Wave Spectra,"Non-directional and directional wave characteristics, SurfaceWave Spectra",Axys Technologies,TRIAXYS,Wave Spectral Properties,Sea Surface,0,0
CP01CNSM-MF004-01-ADCPTF999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Teledyne RDI,WorkHorse Sentinel150khz,Echo Intensity; Velocity Profile; Wave Spectral Properties ,"Bottom mount, uplooking",133,133
CP01CNSM-MF004-02-OPTAAD999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,2m above bottom,133,133
CP01CNSM-MF004-03-DOSTAD999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,2m above bottom,133,133
CP01CNSM-MF004-04-VELPTA999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp 300m,Mean Point Water Velocity,2m above bottom,133,133
CP01CNSM-MF004-05-PHSEND999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,2m above bottom,133,133
CP01CNSM-MF005-01-PCO2WB999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),PCO2W,pCO2 Water,Measures partial pressure of CO2 in the water column,Sunburst,SAMI-pCO2,Optical Absorbance Ratio at 434nm; Optical Absorbance Ratio at 620nm; PCO2W Thermistor Temperature; Partial Pressure of CO2 in Water,2m above bottom,133,133
CP01CNSM-MF005-02-CTDBPD999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,2m above bottom,133,133
CP01CNSM-MF005-03-ZPLSCC999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),ZPLSC,Bio-acoustic Sonar (Coastal),Measures acoustic signal of plankton and zooplankton on coastal arrays,,,Multi-Frequency Acoustic Backscatter,"Mounted 2m above bottom, uplooking",133,133
CP01CNSM-MF005-04-PRESFB999,CP,CP01CNSM,Pioneer Central Surface Mooring,MF(Multi-Function Node),PRESF,Seafloor Pressure,Measures seafloor pressure,Sea-Bird,SBE 26plus,Seafloor Pressure,2m above bottom,133,133
CP01CNSM-RI002-02-OPTAAD999,CP,CP01CNSM,Pioneer Central Surface Mooring,RI(Mooring Riser),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,5m below sea surface,5,5
CP01CNSM-RI002-03-CTDBPC999,CP,CP01CNSM,Pioneer Central Surface Mooring,RI(Mooring Riser),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,5m below sea surface,5,5
CP01CNSM-RI002-04-VELPTA999,CP,CP01CNSM,Pioneer Central Surface Mooring,RI(Mooring Riser),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp 300m,Mean Point Water Velocity,5m below sea surface,5,5
CP01CNSM-RI003-01-NUTNRB999,CP,CP01CNSM,Pioneer Central Surface Mooring,RI(Mooring Riser),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Satlantic,ISUS,Nitrate Concentration,5m below sea surface,5,5
CP01CNSM-RI003-02-DOSTAD999,CP,CP01CNSM,Pioneer Central Surface Mooring,RI(Mooring Riser),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,5m below sea surface,5,5
CP01CNSM-RI003-03-PHSEND999,CP,CP01CNSM,Pioneer Central Surface Mooring,RI(Mooring Riser),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,5m below sea surface,5,5
CP01CNSM-RI003-04-SPKIRB999,CP,CP01CNSM,Pioneer Central Surface Mooring,RI(Mooring Riser),SPKIR,Spectral Irradiance,Measures downwelling spectral irradiance,Satlantic,OCR507 ICSW,Downwelling Spectral Irradiance ,5m below sea surface,5,5
CP01CNSM-RI003-05-FLORTD999,CP,CP01CNSM,Pioneer Central Surface Mooring,RI(Mooring Riser),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,5m below sea surface,5,5
CP01CNSM-SB001-01-METBKA999,CP,CP01CNSM,Pioneer Central Surface Mooring,SB(Surface Buoy),METBK,Bulk Meteorology Instrument Package,"Measures surface meteorology and provides the data required to compute air-sea fluxes of heat, freshwater, and momentum",Star Engineering,ASIMET,Barometric Pressure; Sea Surface Conductivity; Freshwater Flux; Net Heat Flux; Latent Heat Flux; Downwelling Longwave Irradiance; Momentum Flux (Wind Stress) ; Net Longwave Irradiance ; Net Shortwave Irradiance ; Precipitation; Rain Heat Flux; Rain rate; Relative Humidity; Sea Surface Salinity ; Sensible Heat Flux ; Downwelling Shortwave Irradiance ; Specific Humidity,~3m above sea surface,-3,-3
CP01CNSM-SB001-02-METBKA999,CP,CP01CNSM,Pioneer Central Surface Mooring,SB(Surface Buoy),METBK,Bulk Meteorology Instrument Package,"Measures surface meteorology and provides the data required to compute air-sea fluxes of heat, freshwater, and momentum",Star Engineering,ASIMET,Barometric Pressure; Sea Surface Conductivity; Freshwater Flux; Net Heat Flux; Latent Heat Flux; Downwelling Longwave Irradiance; Momentum Flux (Wind Stress) ; Net Longwave Irradiance ; Net Shortwave Irradiance ; Precipitation; Rain Heat Flux; Rain rate; Relative Humidity; Sea Surface Salinity ; Sensible Heat Flux ; Downwelling Shortwave Irradiance ; Specific Humidity,~3m above sea surface,-3,-3
CP01CNSM-SB001-03-PCO2AA999,CP,CP01CNSM,Pioneer Central Surface Mooring,SB(Surface Buoy),PCO2A,pCO2 Air-Sea,Measures partial pressure of CO2 at the air-sea interface,Pro-Oceanus,pCO2-pro,Flux of CO2 from the Ocean into the Atmosphere; Partial Pressure of CO2 in Atmosphere; Partial Pressure of CO2 in Surface Sea Water; PCO2A Gas Stream Pressure; CO2 Mole Fraction in Atmosphere; CO2 Mole Fraction in Surface Sea Water ,Sea Surface,0,0
CP01CNSM-SB001-04-WAVSSA999,CP,CP01CNSM,Pioneer Central Surface Mooring,SB(Surface Buoy),WAVSS,Surface Wave Spectra,"Non-directional and directional wave characteristics, SurfaceWave Spectra",Axys Technologies,TRIAXYS,Wave Spectral Properties,Sea Surface,0,0
CP01CNSM-SB001-05-FDCHPA999,CP,CP01CNSM,Pioneer Central Surface Mooring,SB(Surface Buoy),FDCHP,Direct Covariance Flux,Measures vertical fluxes associated with eddies in the flow over the ocean,WHOI,DCFS,Direct Covariance Flux of Heat; Direct Covariance Flux of Momentum; Platform Direction and Tilt (3 axes); Turbulent Air Temperature; Wind Velocity in 3 Dimensions,~3m above sea surface,-3,-3
CP01CNSP-SP001-02-OPTAAJ999,CP,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,SP(Surface-Piercing Profiler),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,Sea surface to 2m above bottom,0,133
CP01CNSP-SP001-03-NUTNRJ999,CP,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,SP(Surface-Piercing Profiler),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Satlantic,SUNA V2,Nitrate Concentration,Sea surface to 2m above bottom,0,133
CP01CNSP-SP001-05-VELPTJ999,CP,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,SP(Surface-Piercing Profiler),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp HR,Mean Point Water Velocity,Sea surface to 2m above bottom,0,133
CP01CNSP-SP001-06-DOSTAJ999,CP,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,SP(Surface-Piercing Profiler),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,Sea surface to 2m above bottom,0,133
CP01CNSP-SP001-07-SPKIRJ999,CP,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,SP(Surface-Piercing Profiler),SPKIR,Spectral Irradiance,Measures downwelling spectral irradiance,Satlantic,OCR507 ICSW,Downwelling Spectral Irradiance ,Sea surface to 2m above bottom,0,133
CP01CNSP-SP001-08-CTDPFJ999,CP,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,SP(Surface-Piercing Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,FastCAT 49 CTD,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to 2m above bottom,0,133
CP01CNSP-SP001-09-FLORTJ999,CP,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,SP(Surface-Piercing Profiler),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to 2m above bottom,0,133
CP01CNSP-SP001-10-PARADJ999,CP,CP01CNSP,Pioneer Central Surface-Piercing Profiler Mooring,SP(Surface-Piercing Profiler),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,WET Labs,ECO PAR,Photosynthetically Active Radiation (400-700 nm),Sea surface to 2m above bottom,0,133
CP02PMCI-RI001-01-ADCPTG999,CP,CP02PMCI,Pioneer Central Inshore Profiler Mooring,RI(Mooring Riser),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Teledyne RDI,WorkHorse Sentinel150khz,Echo Intensity; Velocity Profile; Wave Spectral Properties ,"Bottom mount, uplooking",125,125
CP02PMCI-WF001-01-VEL3DK999,CP,CP02PMCI,Pioneer Central Inshore Profiler Mooring,WF(Wire-Following Profiler),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Nortek,Aquadopp II,Mean Point Water Velocity; Turbulent Point Water Velocity ,15m below sea surface to near bottom,15,125
CP02PMCI-WF001-02-DOFSTK999,CP,CP02PMCI,Pioneer Central Inshore Profiler Mooring,WF(Wire-Following Profiler),DOFST,Dissolved Oxygen Fast Response,Measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients,Sea-Bird,SBE 43F,Oxygen Concentration from Fastrep DO Instrument,15m below sea surface to near bottom,15,125
CP02PMCI-WF001-03-CTDPFK999,CP,CP02PMCI,Pioneer Central Inshore Profiler Mooring,WF(Wire-Following Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,SBE 52MP,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,15m below sea surface to near bottom,15,125
CP02PMCI-WF001-04-FLORTK999,CP,CP02PMCI,Pioneer Central Inshore Profiler Mooring,WF(Wire-Following Profiler),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,15m below sea surface to near bottom,15,125
CP02PMCI-WF001-05-PARADK999,CP,CP02PMCI,Pioneer Central Inshore Profiler Mooring,WF(Wire-Following Profiler),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,Biospherical Instruments,QSP-2200,Photosynthetically Active Radiation (400-700 nm),15m below sea surface to near bottom,15,125
CP02PMCO-RI001-01-ADCPTG999,CP,CP02PMCO,Pioneer Central Offshore Profiler Mooring,RI(Mooring Riser),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Teledyne RDI,WorkHorse Sentinel150khz,Echo Intensity; Velocity Profile; Wave Spectral Properties ,15m below sea surface to near bottom,150,150
CP02PMCO-WF001-01-VEL3DK999,CP,CP02PMCO,Pioneer Central Offshore Profiler Mooring,WF(Wire-Following Profiler),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Nortek,Aquadopp II,Mean Point Water Velocity; Turbulent Point Water Velocity ,15m below sea surface to near bottom,15,150
CP02PMCO-WF001-02-DOFSTK999,CP,CP02PMCO,Pioneer Central Offshore Profiler Mooring,WF(Wire-Following Profiler),DOFST,Dissolved Oxygen Fast Response,Measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients,Sea-Bird,SBE 43F,Oxygen Concentration from Fastrep DO Instrument,15m below sea surface to near bottom,15,150
CP02PMCO-WF001-03-CTDPFK999,CP,CP02PMCO,Pioneer Central Offshore Profiler Mooring,WF(Wire-Following Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,SBE 52MP,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,15m below sea surface to near bottom,15,150
CP02PMCO-WF001-04-FLORTK999,CP,CP02PMCO,Pioneer Central Offshore Profiler Mooring,WF(Wire-Following Profiler),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,15m below sea surface to near bottom,15,150
CP02PMCO-WF001-05-PARADK999,CP,CP02PMCO,Pioneer Central Offshore Profiler Mooring,WF(Wire-Following Profiler),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,Biospherical Instruments,QSP-2200,Photosynthetically Active Radiation (400-700 nm),15m below sea surface to near bottom,15,150
CP02PMUI-RI001-01-ADCPTG999,CP,CP02PMUI,Pioneer Upstream Inshore Profiler Mooring,RI(Mooring Riser),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Teledyne RDI,WorkHorse Sentinel150khz,Echo Intensity; Velocity Profile; Wave Spectral Properties ,15m below sea surface to near bottom,91.5,91.5
