Textbox8,tbToday,Total_Count3
Instrument Table (Website) (Detailed),Report Generated: 4/28/2014,Total Instruments: 723

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LArray_PublicID,LSubsite_PublicID,LSubsite_Description,NodeType,SClass_PublicID,AlternateClassName,ClassDescription,MMInstrument_Manufacturer,MMInstrument_PublicID,Data_Product,Relative_Depth,Port_Min_Depth,Port_Max_Depth
CE01ISSM-RI003-04-NUTNRB999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,RI(Mooring Riser),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Satlantic,ISUS,Nitrate Concentration,5m below sea surface,5,5
CE01ISSM-RI003-05-SPKIRB999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,RI(Mooring Riser),SPKIR,Spectral Irradiance,Measures downwelling spectral irradiance,Satlantic,OCR507 ICSW,Downwelling Spectral Irradiance ,5m below sea surface,5,5
CE01ISSM-SB001-01-VELPTA999,CE,CE01ISSM,Endurance OR Inshore Surface Mooring,SB(Surface Buoy),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp 300m,Mean Point Water Velocity,1m below sea surface,1,1
CE01ISSP-SP001-02-DOSTAJ999,CE,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,Sea surface to 2m above bottom,0,23
CE01ISSP-SP001-04-OPTAAJ999,CE,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,Sea surface to 2m above bottom,0,23
CE01ISSP-SP001-05-VELPTJ999,CE,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp HR,Mean Point Water Velocity,Sea surface to 2m above bottom,0,23
CE01ISSP-SP001-06-NUTNRJ999,CE,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Satlantic,SUNA V2,Nitrate Concentration,Sea surface to 2m above bottom,0,23
CE01ISSP-SP001-07-SPKIRJ999,CE,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),SPKIR,Spectral Irradiance,Measures downwelling spectral irradiance,Satlantic,OCR507 ICSW,Downwelling Spectral Irradiance ,Sea surface to 2m above bottom,0,23
CE01ISSP-SP001-08-FLORTJ999,CE,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to 2m above bottom,0,23
CE01ISSP-SP001-09-CTDPFJ999,CE,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,FastCAT 49 CTD,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to 2m above bottom,0,23
