Textbox8,tbToday
Port Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Port,Attribute,AttributeValue
CE01ISSM-RI003-01,First Deployment Date,2014-04
CE01ISSM-RI003-01,latitude,44.66
CE01ISSM-RI003-01,longitude,124.1
CE01ISSM-RI003-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-01,Relative Depth,5m below sea surface
CE01ISSM-RI003-02,depth_port_max,5
CE01ISSM-RI003-02,depth_port_min,5
CE01ISSM-RI003-02,depth_subsite,24.3
CE01ISSM-RI003-02,First Deployment Date,2014-04
CE01ISSM-RI003-02,latitude,44.66
CE01ISSM-RI003-02,longitude,124.1
CE01ISSM-RI003-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-02,Relative Depth,5m below sea surface
CE01ISSM-RI003-03,depth_port_max,5
CE01ISSM-RI003-03,depth_port_min,5
CE01ISSM-RI003-03,depth_subsite,24.3
CE01ISSM-RI003-03,First Deployment Date,2014-04
CE01ISSM-RI003-03,latitude,44.66
CE01ISSM-RI003-03,longitude,124.1
CE01ISSM-RI003-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-03,Relative Depth,5m below sea surface
CE01ISSM-RI003-04,depth_port_max,5
CE01ISSM-RI003-04,depth_port_min,5
CE01ISSM-RI003-04,depth_subsite,24.3
CE01ISSM-RI003-04,First Deployment Date,2014-04
CE01ISSM-RI003-04,latitude,44.66
CE01ISSM-RI003-04,longitude,124.1
CE01ISSM-RI003-04,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-04,Relative Depth,5m below sea surface
CE01ISSM-RI003-05,depth_port_max,5
CE01ISSM-RI003-05,depth_port_min,5
CE01ISSM-RI003-05,depth_subsite,24.3
CE01ISSM-RI003-05,First Deployment Date,2014-04
CE01ISSM-RI003-05,latitude,44.66
CE01ISSM-RI003-05,longitude,124.1
CE01ISSM-RI003-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-05,Relative Depth,5m below sea surface
CE01ISSM-SB001-01,depth_port_max,1
CE01ISSM-SB001-01,depth_port_min,1
CE01ISSM-SB001-01,depth_subsite,24.3
CE01ISSM-SB001-01,First Deployment Date,2014-04
CE01ISSM-SB001-01,latitude,44.66
CE01ISSM-SB001-01,longitude,124.1
CE01ISSM-SB001-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-SB001-01,Relative Depth,1m below sea surface
CE01ISSP-SP001-02,depth_port_max,23
CE01ISSP-SP001-02,depth_port_min,0
CE01ISSP-SP001-02,depth_subsite,24.3
CE01ISSP-SP001-02,First Deployment Date,2014-10
CE01ISSP-SP001-02,latitude,44.66
CE01ISSP-SP001-02,longitude,124.1
CE01ISSP-SP001-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-02,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-03,depth_port_max,23
CE01ISSP-SP001-03,depth_port_min,0
CE01ISSP-SP001-03,depth_subsite,24.3
CE01ISSP-SP001-03,First Deployment Date,2014-10
CE01ISSP-SP001-03,latitude,44.66
CE01ISSP-SP001-03,longitude,124.1
CE01ISSP-SP001-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-03,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-04,depth_port_max,23
CE01ISSP-SP001-04,depth_port_min,0
CE01ISSP-SP001-04,depth_subsite,24.3
CE01ISSP-SP001-04,First Deployment Date,2014-10
