Textbox8,tbToday
Port Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Port,Attribute,AttributeValue
CE05MOAS-GL005-04,latitude,
CE05MOAS-GL005-04,longitude,
CE05MOAS-GL005-04,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL005-04,Relative Depth,Sea surface to near seafloor or <= 1000m
CE05MOAS-GL005-05,depth_port_max,1000
CE05MOAS-GL005-05,depth_port_min,0
CE05MOAS-GL005-05,depth_subsite,
CE05MOAS-GL005-05,First Deployment Date,2013-10
CE05MOAS-GL005-05,latitude,
CE05MOAS-GL005-05,longitude,
CE05MOAS-GL005-05,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL005-05,Relative Depth,Sea surface to near seafloor or <= 1000m
CE05MOAS-GL006-01,depth_port_max,1000
CE05MOAS-GL006-01,depth_port_min,0
CE05MOAS-GL006-01,depth_subsite,
CE05MOAS-GL006-01,First Deployment Date,2013-10
CE05MOAS-GL006-01,latitude,
CE05MOAS-GL006-01,longitude,
CE05MOAS-GL006-01,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL006-01,Relative Depth,Sea surface to near seafloor or <= 1000m
CE05MOAS-GL006-02,depth_port_max,1000
CE05MOAS-GL006-02,depth_port_min,0
CE05MOAS-GL006-02,depth_subsite,
CE05MOAS-GL006-02,First Deployment Date,2013-10
CE05MOAS-GL006-02,latitude,
CE05MOAS-GL006-02,longitude,
CE05MOAS-GL006-02,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL006-02,Relative Depth,Sea surface to near seafloor or <= 1000m
CE05MOAS-GL006-03,depth_port_max,1000
CE05MOAS-GL006-03,depth_port_min,0
CE05MOAS-GL006-03,depth_subsite,
CE05MOAS-GL006-03,First Deployment Date,2013-10
CE05MOAS-GL006-03,latitude,
CE05MOAS-GL006-03,longitude,
CE05MOAS-GL006-03,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL006-03,Relative Depth,Sea surface to near seafloor or <= 1000m
CE05MOAS-GL006-04,depth_port_max,1000
CE05MOAS-GL006-04,depth_port_min,0
CE05MOAS-GL006-04,depth_subsite,
CE05MOAS-GL006-04,First Deployment Date,2013-10
CE05MOAS-GL006-04,latitude,
CE05MOAS-GL006-04,longitude,
CE05MOAS-GL006-04,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL006-04,Relative Depth,Sea surface to near seafloor or <= 1000m
CE05MOAS-GL006-05,depth_port_max,1000
CE05MOAS-GL006-05,depth_port_min,0
CE05MOAS-GL006-05,depth_subsite,
CE05MOAS-GL006-05,First Deployment Date,2013-10
CE05MOAS-GL006-05,latitude,
CE05MOAS-GL006-05,longitude,
CE05MOAS-GL006-05,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL006-05,Relative Depth,Sea surface to near seafloor or <= 1000m
CE06ISSM-MF004-01,depth_port_max,23
CE06ISSM-MF004-01,depth_port_min,23
CE06ISSM-MF004-01,depth_subsite,29
CE06ISSM-MF004-01,First Deployment Date,2014-10
CE06ISSM-MF004-01,latitude,47.13
CE06ISSM-MF004-01,longitude,124.27
CE06ISSM-MF004-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF004-01,Relative Depth,2m above bottom
CE06ISSM-MF004-02,depth_port_max,23
CE06ISSM-MF004-02,depth_port_min,23
CE06ISSM-MF004-02,depth_subsite,29
CE06ISSM-MF004-02,First Deployment Date,2014-10
CE06ISSM-MF004-02,latitude,47.13
CE06ISSM-MF004-02,longitude,124.27
CE06ISSM-MF004-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF004-02,Relative Depth,2m above bottom
CE06ISSM-MF004-03,depth_port_max,23
CE06ISSM-MF004-03,depth_port_min,23
CE06ISSM-MF004-03,depth_subsite,29
CE06ISSM-MF004-03,First Deployment Date,2014-10
CE06ISSM-MF004-03,latitude,47.13
CE06ISSM-MF004-03,longitude,124.27
CE06ISSM-MF004-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF004-03,Relative Depth,2m above bottom
CE06ISSM-MF004-04,depth_port_max,23
CE06ISSM-MF004-04,depth_port_min,23
CE06ISSM-MF004-04,depth_subsite,29
CE06ISSM-MF004-04,First Deployment Date,2014-10
CE06ISSM-MF004-04,latitude,47.13
CE06ISSM-MF004-04,longitude,124.27
CE06ISSM-MF004-04,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF004-04,Relative Depth,2m above bottom
CE06ISSM-MF004-05,depth_port_max,25
CE06ISSM-MF004-05,depth_port_min,25
CE06ISSM-MF004-05,depth_subsite,29
CE06ISSM-MF004-05,First Deployment Date,2014-10
CE06ISSM-MF004-05,latitude,47.13
CE06ISSM-MF004-05,longitude,124.27
CE06ISSM-MF004-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF004-05,Relative Depth,"Bottom mount, uplooking"
CE06ISSM-MF005-01,depth_port_max,23
CE06ISSM-MF005-01,depth_port_min,23
CE06ISSM-MF005-01,depth_subsite,29
CE06ISSM-MF005-01,First Deployment Date,2014-10
CE06ISSM-MF005-01,latitude,47.13
CE06ISSM-MF005-01,longitude,124.27
CE06ISSM-MF005-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF005-01,Relative Depth,2m above bottom
CE06ISSM-MF005-02,depth_port_max,23
CE06ISSM-MF005-02,depth_port_min,23
CE06ISSM-MF005-02,depth_subsite,29
CE06ISSM-MF005-02,First Deployment Date,2014-10
CE06ISSM-MF005-02,latitude,47.13
CE06ISSM-MF005-02,longitude,124.27
CE06ISSM-MF005-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF005-02,Relative Depth,"Mounted 2m above bottom, uplooking"
CE06ISSM-MF005-03,depth_port_max,23
CE06ISSM-MF005-03,depth_port_min,23
CE06ISSM-MF005-03,depth_subsite,29
CE06ISSM-MF005-03,First Deployment Date,2014-10
CE06ISSM-MF005-03,latitude,47.13
CE06ISSM-MF005-03,longitude,124.27
CE06ISSM-MF005-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF005-03,Relative Depth,2m above bottom
CE06ISSM-MF005-04,depth_port_max,23
CE06ISSM-MF005-04,depth_port_min,23
CE06ISSM-MF005-04,depth_subsite,29
CE06ISSM-MF005-04,First Deployment Date,2014-10
CE06ISSM-MF005-04,latitude,47.13
CE06ISSM-MF005-04,longitude,124.27
CE06ISSM-MF005-04,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF005-04,Relative Depth,2m above bottom
CE06ISSM-MF005-05,depth_port_max,23
CE06ISSM-MF005-05,depth_port_min,23
CE06ISSM-MF005-05,depth_subsite,29
CE06ISSM-MF005-05,First Deployment Date,2014-10
CE06ISSM-MF005-05,latitude,47.13
CE06ISSM-MF005-05,longitude,124.27
CE06ISSM-MF005-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF005-05,Relative Depth,2m above bottom
CE06ISSM-RI002-01,depth_port_max,5
CE06ISSM-RI002-01,depth_port_min,5
CE06ISSM-RI002-01,depth_subsite,29
CE06ISSM-RI002-01,First Deployment Date,2014-10
CE06ISSM-RI002-01,latitude,47.13
CE06ISSM-RI002-01,longitude,124.27
CE06ISSM-RI002-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI002-01,Relative Depth,5m below sea surface
CE06ISSM-RI002-02,depth_port_max,5
CE06ISSM-RI002-02,depth_port_min,5
CE06ISSM-RI002-02,depth_subsite,29
CE06ISSM-RI002-02,First Deployment Date,2014-10
CE06ISSM-RI002-02,latitude,47.13
CE06ISSM-RI002-02,longitude,124.27
CE06ISSM-RI002-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI002-02,Relative Depth,5m below sea surface
CE06ISSM-RI002-03,depth_port_max,5
CE06ISSM-RI002-03,depth_port_min,5
CE06ISSM-RI002-03,depth_subsite,29
CE06ISSM-RI002-03,First Deployment Date,2014-10
CE06ISSM-RI002-03,latitude,47.13
CE06ISSM-RI002-03,longitude,124.27
CE06ISSM-RI002-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI002-03,Relative Depth,5m below sea surface
CE06ISSM-RI002-05,depth_port_max,5
CE06ISSM-RI002-05,depth_port_min,5
CE06ISSM-RI002-05,depth_subsite,29
CE06ISSM-RI002-05,First Deployment Date,2014-10
CE06ISSM-RI002-05,latitude,47.13
CE06ISSM-RI002-05,longitude,124.27
CE06ISSM-RI002-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI002-05,Relative Depth,5m below sea surface
CE06ISSM-RI003-01,depth_port_max,5
CE06ISSM-RI003-01,depth_port_min,5
CE06ISSM-RI003-01,depth_subsite,29
CE06ISSM-RI003-01,First Deployment Date,2014-10
CE06ISSM-RI003-01,latitude,47.13
CE06ISSM-RI003-01,longitude,124.27
CE06ISSM-RI003-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI003-01,Relative Depth,5m below sea surface
CE06ISSM-RI003-02,depth_port_max,5
CE06ISSM-RI003-02,depth_port_min,5
CE06ISSM-RI003-02,depth_subsite,29
CE06ISSM-RI003-02,First Deployment Date,2014-10
CE06ISSM-RI003-02,latitude,47.13
CE06ISSM-RI003-02,longitude,124.27
CE06ISSM-RI003-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI003-02,Relative Depth,5m below sea surface
CE06ISSM-RI003-03,depth_port_max,5
CE06ISSM-RI003-03,depth_port_min,5
CE06ISSM-RI003-03,depth_subsite,29
CE06ISSM-RI003-03,First Deployment Date,2014-10
CE06ISSM-RI003-03,latitude,47.13
CE06ISSM-RI003-03,longitude,124.27
CE06ISSM-RI003-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI003-03,Relative Depth,5m below sea surface
CE06ISSM-RI003-04,depth_port_max,5
CE06ISSM-RI003-04,depth_port_min,5
CE06ISSM-RI003-04,depth_subsite,29
CE06ISSM-RI003-04,First Deployment Date,2014-10
CE06ISSM-RI003-04,latitude,47.13
CE06ISSM-RI003-04,longitude,124.27
CE06ISSM-RI003-04,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI003-04,Relative Depth,5m below sea surface
CE06ISSM-RI003-05,depth_port_max,5
CE06ISSM-RI003-05,depth_port_min,5
CE06ISSM-RI003-05,depth_subsite,29
CE06ISSM-RI003-05,First Deployment Date,2014-10
CE06ISSM-RI003-05,latitude,47.13
CE06ISSM-RI003-05,longitude,124.27
CE06ISSM-RI003-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI003-05,Relative Depth,5m below sea surface
CE06ISSM-SB001-01,depth_port_max,1
CE06ISSM-SB001-01,depth_port_min,1
CE06ISSM-SB001-01,depth_subsite,29
CE06ISSM-SB001-01,First Deployment Date,2014-10
CE06ISSM-SB001-01,latitude,47.13
CE06ISSM-SB001-01,longitude,124.27
CE06ISSM-SB001-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-SB001-01,Relative Depth,1m below sea surface
CE06ISSP-SP001-02,depth_port_max,23
CE06ISSP-SP001-02,depth_port_min,0
CE06ISSP-SP001-02,depth_subsite,29
CE06ISSP-SP001-02,First Deployment Date,2014-04
CE06ISSP-SP001-02,latitude,47.13
CE06ISSP-SP001-02,longitude,124.27
CE06ISSP-SP001-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-02,Relative Depth,Sea surface to 2m above bottom
CE06ISSP-SP001-03,depth_port_max,23
CE06ISSP-SP001-03,depth_port_min,0
CE06ISSP-SP001-03,depth_subsite,29
CE06ISSP-SP001-03,First Deployment Date,2014-04
CE06ISSP-SP001-03,latitude,47.13
CE06ISSP-SP001-03,longitude,124.27
CE06ISSP-SP001-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-03,Relative Depth,Sea surface to 2m above bottom
CE06ISSP-SP001-04,depth_port_max,23
CE06ISSP-SP001-04,depth_port_min,0
CE06ISSP-SP001-04,depth_subsite,29
CE06ISSP-SP001-04,First Deployment Date,2014-04
CE06ISSP-SP001-04,latitude,47.13
CE06ISSP-SP001-04,longitude,124.27
CE06ISSP-SP001-04,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-04,Relative Depth,Sea surface to 2m above bottom
CE06ISSP-SP001-05,depth_port_max,23
CE06ISSP-SP001-05,depth_port_min,0
CE06ISSP-SP001-05,depth_subsite,29
CE06ISSP-SP001-05,First Deployment Date,2014-04
CE06ISSP-SP001-05,latitude,47.13
CE06ISSP-SP001-05,longitude,124.27
CE06ISSP-SP001-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-05,Relative Depth,Sea surface to 2m above bottom
CE06ISSP-SP001-06,depth_port_max,23
CE06ISSP-SP001-06,depth_port_min,0
CE06ISSP-SP001-06,depth_subsite,29
CE06ISSP-SP001-06,First Deployment Date,2014-04
CE06ISSP-SP001-06,latitude,47.13
CE06ISSP-SP001-06,longitude,124.27
CE06ISSP-SP001-06,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-06,Relative Depth,Sea surface to 2m above bottom
CE06ISSP-SP001-07,depth_port_max,23
CE06ISSP-SP001-07,depth_port_min,0
CE06ISSP-SP001-07,depth_subsite,29
CE06ISSP-SP001-07,First Deployment Date,2014-04
CE06ISSP-SP001-07,latitude,47.13
CE06ISSP-SP001-07,longitude,124.27
CE06ISSP-SP001-07,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-07,Relative Depth,Sea surface to 2m above bottom
CE06ISSP-SP001-08,depth_port_max,23
CE06ISSP-SP001-08,depth_port_min,0
CE06ISSP-SP001-08,depth_subsite,29
CE06ISSP-SP001-08,First Deployment Date,2014-04
CE06ISSP-SP001-08,latitude,47.13
CE06ISSP-SP001-08,longitude,124.27
CE06ISSP-SP001-08,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-08,Relative Depth,Sea surface to 2m above bottom
CE06ISSP-SP001-09,depth_port_max,23
CE06ISSP-SP001-09,depth_port_min,0
CE06ISSP-SP001-09,depth_subsite,29
CE06ISSP-SP001-09,First Deployment Date,2014-04
CE06ISSP-SP001-09,latitude,47.13
CE06ISSP-SP001-09,longitude,124.27
CE06ISSP-SP001-09,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-09,Relative Depth,Sea surface to 2m above bottom
CE06ISSP-SP001-10,depth_port_max,23
CE06ISSP-SP001-10,depth_port_min,0
CE06ISSP-SP001-10,depth_subsite,29
CE06ISSP-SP001-10,First Deployment Date,2014-04
CE06ISSP-SP001-10,latitude,47.13
CE06ISSP-SP001-10,longitude,124.27
CE06ISSP-SP001-10,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001-10,Relative Depth,Sea surface to 2m above bottom
CE07SHSM-MF004-01,depth_port_max,78
CE07SHSM-MF004-01,depth_port_min,78
CE07SHSM-MF004-01,depth_subsite,87
CE07SHSM-MF004-01,First Deployment Date,2014-10
CE07SHSM-MF004-01,latitude,46.99
CE07SHSM-MF004-01,longitude,124.57
CE07SHSM-MF004-01,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF004-01,Relative Depth,2m above bottom
CE07SHSM-MF004-02,depth_port_max,78
CE07SHSM-MF004-02,depth_port_min,78
CE07SHSM-MF004-02,depth_subsite,87
CE07SHSM-MF004-02,First Deployment Date,2014-10
CE07SHSM-MF004-02,latitude,46.99
CE07SHSM-MF004-02,longitude,124.57
CE07SHSM-MF004-02,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF004-02,Relative Depth,2m above bottom
CE07SHSM-MF004-03,depth_port_max,78
CE07SHSM-MF004-03,depth_port_min,78
CE07SHSM-MF004-03,depth_subsite,87
CE07SHSM-MF004-03,First Deployment Date,2014-10
CE07SHSM-MF004-03,latitude,46.99
CE07SHSM-MF004-03,longitude,124.57
CE07SHSM-MF004-03,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF004-03,Relative Depth,2m above bottom
CE07SHSM-MF004-04,depth_port_max,78
CE07SHSM-MF004-04,depth_port_min,78
CE07SHSM-MF004-04,depth_subsite,87
CE07SHSM-MF004-04,First Deployment Date,2014-10
CE07SHSM-MF004-04,latitude,46.99
CE07SHSM-MF004-04,longitude,124.57
CE07SHSM-MF004-04,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF004-04,Relative Depth,2m above bottom
CE07SHSM-MF004-05,depth_port_max,78
CE07SHSM-MF004-05,depth_port_min,78
CE07SHSM-MF004-05,depth_subsite,87
CE07SHSM-MF004-05,First Deployment Date,2014-10
CE07SHSM-MF004-05,latitude,46.99
CE07SHSM-MF004-05,longitude,124.57
CE07SHSM-MF004-05,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF004-05,Relative Depth,2m above bottom
CE07SHSM-MF005-01,depth_port_max,78
CE07SHSM-MF005-01,depth_port_min,78
CE07SHSM-MF005-01,depth_subsite,87
CE07SHSM-MF005-01,First Deployment Date,2014-10
CE07SHSM-MF005-01,latitude,46.99
CE07SHSM-MF005-01,longitude,124.57
CE07SHSM-MF005-01,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF005-01,Relative Depth,2m above bottom
CE07SHSM-MF005-02,depth_port_max,78
CE07SHSM-MF005-02,depth_port_min,78
CE07SHSM-MF005-02,depth_subsite,87
CE07SHSM-MF005-02,First Deployment Date,2014-10
CE07SHSM-MF005-02,latitude,46.99
CE07SHSM-MF005-02,longitude,124.57
CE07SHSM-MF005-02,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF005-02,Relative Depth,2m above bottom
CE07SHSM-MF005-03,depth_port_max,78
CE07SHSM-MF005-03,depth_port_min,78
CE07SHSM-MF005-03,depth_subsite,87
CE07SHSM-MF005-03,First Deployment Date,2014-10
CE07SHSM-MF005-03,latitude,46.99
CE07SHSM-MF005-03,longitude,124.57
CE07SHSM-MF005-03,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF005-03,Relative Depth,"Mounted 2m above bottom, uplooking"
CE07SHSM-MF005-04,depth_port_max,78
CE07SHSM-MF005-04,depth_port_min,78
CE07SHSM-MF005-04,depth_subsite,87
CE07SHSM-MF005-04,First Deployment Date,2014-10
CE07SHSM-MF005-04,latitude,46.99
CE07SHSM-MF005-04,longitude,124.57
CE07SHSM-MF005-04,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF005-04,Relative Depth,"Mounted 2m above bottom, uplooking"
CE07SHSM-MF005-05,depth_port_max,78
CE07SHSM-MF005-05,depth_port_min,78
CE07SHSM-MF005-05,depth_subsite,87
CE07SHSM-MF005-05,First Deployment Date,2014-10
CE07SHSM-MF005-05,latitude,46.99
CE07SHSM-MF005-05,longitude,124.57
CE07SHSM-MF005-05,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF005-05,Relative Depth,2m above bottom
CE07SHSM-RI002-01,depth_port_max,5
CE07SHSM-RI002-01,depth_port_min,5
CE07SHSM-RI002-01,depth_subsite,87
CE07SHSM-RI002-01,First Deployment Date,2014-10
CE07SHSM-RI002-01,latitude,46.99
CE07SHSM-RI002-01,longitude,124.57
CE07SHSM-RI002-01,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI002-01,Relative Depth,5m below sea surface
CE07SHSM-RI002-02,depth_port_max,5
CE07SHSM-RI002-02,depth_port_min,5
CE07SHSM-RI002-02,depth_subsite,87
CE07SHSM-RI002-02,First Deployment Date,2014-10
CE07SHSM-RI002-02,latitude,46.99
CE07SHSM-RI002-02,longitude,124.57
CE07SHSM-RI002-02,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI002-02,Relative Depth,5m below sea surface
CE07SHSM-RI002-03,depth_port_max,5
CE07SHSM-RI002-03,depth_port_min,5
CE07SHSM-RI002-03,depth_subsite,87
CE07SHSM-RI002-03,First Deployment Date,2014-10
CE07SHSM-RI002-03,latitude,46.99
CE07SHSM-RI002-03,longitude,124.57
CE07SHSM-RI002-03,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI002-03,Relative Depth,5m below sea surface
CE07SHSM-RI002-05,depth_port_max,5
CE07SHSM-RI002-05,depth_port_min,5
CE07SHSM-RI002-05,depth_subsite,87
CE07SHSM-RI002-05,First Deployment Date,2014-10
CE07SHSM-RI002-05,latitude,46.99
CE07SHSM-RI002-05,longitude,124.57
CE07SHSM-RI002-05,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI002-05,Relative Depth,5m below sea surface
CE07SHSM-RI003-01,depth_port_max,5
CE07SHSM-RI003-01,depth_port_min,5
CE07SHSM-RI003-01,depth_subsite,87
CE07SHSM-RI003-01,First Deployment Date,2014-10
CE07SHSM-RI003-01,latitude,46.99
CE07SHSM-RI003-01,longitude,124.57
CE07SHSM-RI003-01,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI003-01,Relative Depth,"Mounted at 5m, downlooking"
CE07SHSM-RI003-02,depth_port_max,5
CE07SHSM-RI003-02,depth_port_min,5
CE07SHSM-RI003-02,depth_subsite,87
CE07SHSM-RI003-02,First Deployment Date,2014-10
CE07SHSM-RI003-02,latitude,46.99
CE07SHSM-RI003-02,longitude,124.57
CE07SHSM-RI003-02,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI003-02,Relative Depth,5m below sea surface
CE07SHSM-RI003-03,depth_port_max,5
CE07SHSM-RI003-03,depth_port_min,5
CE07SHSM-RI003-03,depth_subsite,87
CE07SHSM-RI003-03,First Deployment Date,2014-10
CE07SHSM-RI003-03,latitude,46.99
CE07SHSM-RI003-03,longitude,124.57
CE07SHSM-RI003-03,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI003-03,Relative Depth,5m below sea surface
CE07SHSM-RI003-04,depth_port_max,5
CE07SHSM-RI003-04,depth_port_min,5
CE07SHSM-RI003-04,depth_subsite,87
CE07SHSM-RI003-04,First Deployment Date,2014-10
CE07SHSM-RI003-04,latitude,46.99
CE07SHSM-RI003-04,longitude,124.57
CE07SHSM-RI003-04,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI003-04,Relative Depth,5m below sea surface
CE07SHSM-RI003-05,depth_port_max,5
CE07SHSM-RI003-05,depth_port_min,5
CE07SHSM-RI003-05,depth_subsite,87
CE07SHSM-RI003-05,First Deployment Date,2014-10
CE07SHSM-RI003-05,latitude,46.99
CE07SHSM-RI003-05,longitude,124.57
CE07SHSM-RI003-05,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI003-05,Relative Depth,5m below sea surface
CE07SHSM-SB001-01,depth_port_max,-3
CE07SHSM-SB001-01,depth_port_min,-3
CE07SHSM-SB001-01,depth_subsite,87
CE07SHSM-SB001-01,First Deployment Date,2014-10
CE07SHSM-SB001-01,latitude,46.99
CE07SHSM-SB001-01,longitude,124.57
CE07SHSM-SB001-01,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-SB001-01,Relative Depth,~3m above sea surface
CE07SHSM-SB001-03,depth_port_max,0
CE07SHSM-SB001-03,depth_port_min,0
CE07SHSM-SB001-03,depth_subsite,87
CE07SHSM-SB001-03,First Deployment Date,2014-10
CE07SHSM-SB001-03,latitude,46.99
CE07SHSM-SB001-03,longitude,124.57
CE07SHSM-SB001-03,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-SB001-03,Relative Depth,Sea Surface
CE07SHSM-SB001-05,depth_port_max,1
CE07SHSM-SB001-05,depth_port_min,1
CE07SHSM-SB001-05,depth_subsite,87
CE07SHSM-SB001-05,First Deployment Date,2014-10
CE07SHSM-SB001-05,latitude,46.99
CE07SHSM-SB001-05,longitude,124.57
CE07SHSM-SB001-05,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-SB001-05,Relative Depth,1m below sea surface
CE07SHSM-SB001-06,depth_port_max,0
CE07SHSM-SB001-06,depth_port_min,0
CE07SHSM-SB001-06,depth_subsite,87
CE07SHSM-SB001-06,First Deployment Date,2014-10
CE07SHSM-SB001-06,latitude,46.99
CE07SHSM-SB001-06,longitude,124.57
CE07SHSM-SB001-06,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-SB001-06,Relative Depth,Sea Surface
CE07SHSP-SP001-01,depth_port_max,78
CE07SHSP-SP001-01,depth_port_min,0
CE07SHSP-SP001-01,depth_subsite,87
CE07SHSP-SP001-01,First Deployment Date,2014-10
CE07SHSP-SP001-01,latitude,46.99
CE07SHSP-SP001-01,longitude,124.57
CE07SHSP-SP001-01,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE07SHSP-SP001-01,Relative Depth,Sea surface to 2m above bottom
CE07SHSP-SP001-02,depth_port_max,78
CE07SHSP-SP001-02,depth_port_min,0
CE07SHSP-SP001-02,depth_subsite,87
CE07SHSP-SP001-02,First Deployment Date,2014-10
CE07SHSP-SP001-02,latitude,46.99
CE07SHSP-SP001-02,longitude,124.57
CE07SHSP-SP001-02,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE07SHSP-SP001-02,Relative Depth,Sea surface to 2m above bottom
CE07SHSP-SP001-03,depth_port_max,78
CE07SHSP-SP001-03,depth_port_min,0
CE07SHSP-SP001-03,depth_subsite,87
CE07SHSP-SP001-03,First Deployment Date,2014-10
CE07SHSP-SP001-03,latitude,46.99
CE07SHSP-SP001-03,longitude,124.57
CE07SHSP-SP001-03,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE07SHSP-SP001-03,Relative Depth,Sea surface to 2m above bottom
CE07SHSP-SP001-04,depth_port_max,78
CE07SHSP-SP001-04,depth_port_min,0
CE07SHSP-SP001-04,depth_subsite,87
CE07SHSP-SP001-04,First Deployment Date,2014-10
CE07SHSP-SP001-04,latitude,46.99
CE07SHSP-SP001-04,longitude,124.57
CE07SHSP-SP001-04,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE07SHSP-SP001-04,Relative Depth,Sea surface to 2m above bottom
CE07SHSP-SP001-05,depth_port_max,78
CE07SHSP-SP001-05,depth_port_min,0
CE07SHSP-SP001-05,depth_subsite,87
CE07SHSP-SP001-05,First Deployment Date,2014-10
CE07SHSP-SP001-05,latitude,46.99
CE07SHSP-SP001-05,longitude,124.57
CE07SHSP-SP001-05,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE07SHSP-SP001-05,Relative Depth,Sea surface to 2m above bottom
CE07SHSP-SP001-06,depth_port_max,78
CE07SHSP-SP001-06,depth_port_min,0
CE07SHSP-SP001-06,depth_subsite,87
CE07SHSP-SP001-06,First Deployment Date,2014-10
CE07SHSP-SP001-06,latitude,46.99
