Textbox8,tbToday
Reference Designator Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Reference_Designator,Class,Attribute,AttributeValue
CE09OSSM-MF005-02-PRESFC999,PRESF,Relative Depth,2m above bottom
CE09OSSM-MF005-03-CAMDSA999,CAMDS,depth_port_max,498
CE09OSSM-MF005-03-CAMDSA999,CAMDS,depth_port_min,498
CE09OSSM-MF005-03-CAMDSA999,CAMDS,depth_subsite,542
CE09OSSM-MF005-03-CAMDSA999,CAMDS,First Deployment Date,2014-10
CE09OSSM-MF005-03-CAMDSA999,CAMDS,latitude,46.85
CE09OSSM-MF005-03-CAMDSA999,CAMDS,longitude,124.97
CE09OSSM-MF005-03-CAMDSA999,CAMDS,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-MF005-03-CAMDSA999,CAMDS,Relative Depth,2m above bottom
CE09OSSM-MF005-04-VEL3DD999,VEL3D,depth_port_max,498
CE09OSSM-MF005-04-VEL3DD999,VEL3D,depth_port_min,498
CE09OSSM-MF005-04-VEL3DD999,VEL3D,depth_subsite,542
CE09OSSM-MF005-04-VEL3DD999,VEL3D,First Deployment Date,2014-10
CE09OSSM-MF005-04-VEL3DD999,VEL3D,latitude,46.85
CE09OSSM-MF005-04-VEL3DD999,VEL3D,longitude,124.97
CE09OSSM-MF005-04-VEL3DD999,VEL3D,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-MF005-04-VEL3DD999,VEL3D,Relative Depth,2m above bottom
CE09OSSM-RI002-01-DOSTAD999,DOSTA,depth_port_max,5
CE09OSSM-RI002-01-DOSTAD999,DOSTA,depth_port_min,5
CE09OSSM-RI002-01-DOSTAD999,DOSTA,depth_subsite,542
CE09OSSM-RI002-01-DOSTAD999,DOSTA,First Deployment Date,2014-10
CE09OSSM-RI002-01-DOSTAD999,DOSTA,latitude,46.85
CE09OSSM-RI002-01-DOSTAD999,DOSTA,longitude,124.97
CE09OSSM-RI002-01-DOSTAD999,DOSTA,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI002-01-DOSTAD999,DOSTA,Relative Depth,5m below sea surface
CE09OSSM-RI002-02-VELPTA999,VELPT,depth_port_max,5
CE09OSSM-RI002-02-VELPTA999,VELPT,depth_port_min,5
CE09OSSM-RI002-02-VELPTA999,VELPT,depth_subsite,542
CE09OSSM-RI002-02-VELPTA999,VELPT,First Deployment Date,2014-10
CE09OSSM-RI002-02-VELPTA999,VELPT,latitude,46.85
CE09OSSM-RI002-02-VELPTA999,VELPT,longitude,124.97
CE09OSSM-RI002-02-VELPTA999,VELPT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI002-02-VELPTA999,VELPT,Relative Depth,5m below sea surface
CE09OSSM-RI002-03-PHSEND999,PHSEN,depth_port_max,5
CE09OSSM-RI002-03-PHSEND999,PHSEN,depth_port_min,5
CE09OSSM-RI002-03-PHSEND999,PHSEN,depth_subsite,542
CE09OSSM-RI002-03-PHSEND999,PHSEN,First Deployment Date,2014-10
CE09OSSM-RI002-03-PHSEND999,PHSEN,latitude,46.85
CE09OSSM-RI002-03-PHSEND999,PHSEN,longitude,124.97
CE09OSSM-RI002-03-PHSEND999,PHSEN,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI002-03-PHSEND999,PHSEN,Relative Depth,5m below sea surface
CE09OSSM-RI002-05-CTDBPC999,CTDBP,depth_port_max,5
CE09OSSM-RI002-05-CTDBPC999,CTDBP,depth_port_min,5
CE09OSSM-RI002-05-CTDBPC999,CTDBP,depth_subsite,542
CE09OSSM-RI002-05-CTDBPC999,CTDBP,First Deployment Date,2014-10
CE09OSSM-RI002-05-CTDBPC999,CTDBP,latitude,46.85
CE09OSSM-RI002-05-CTDBPC999,CTDBP,longitude,124.97
CE09OSSM-RI002-05-CTDBPC999,CTDBP,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI002-05-CTDBPC999,CTDBP,Relative Depth,5m below sea surface
CE09OSSM-RI003-01-ADCPTC999,ADCPT,depth_port_max,5
CE09OSSM-RI003-01-ADCPTC999,ADCPT,depth_port_min,5
CE09OSSM-RI003-01-ADCPTC999,ADCPT,depth_subsite,542
CE09OSSM-RI003-01-ADCPTC999,ADCPT,First Deployment Date,2014-10
CE09OSSM-RI003-01-ADCPTC999,ADCPT,latitude,46.85
CE09OSSM-RI003-01-ADCPTC999,ADCPT,longitude,124.97
CE09OSSM-RI003-01-ADCPTC999,ADCPT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI003-01-ADCPTC999,ADCPT,Relative Depth,"Mounted at 5m, downlooking"
CE09OSSM-RI003-02-OPTAAD999,OPTAA,depth_port_max,5
CE09OSSM-RI003-02-OPTAAD999,OPTAA,depth_port_min,5
CE09OSSM-RI003-02-OPTAAD999,OPTAA,depth_subsite,542
CE09OSSM-RI003-02-OPTAAD999,OPTAA,First Deployment Date,2014-10
CE09OSSM-RI003-02-OPTAAD999,OPTAA,latitude,46.85
CE09OSSM-RI003-02-OPTAAD999,OPTAA,longitude,124.97
CE09OSSM-RI003-02-OPTAAD999,OPTAA,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI003-02-OPTAAD999,OPTAA,Relative Depth,5m below sea surface
CE09OSSM-RI003-03-NUTNRB999,NUTNR,depth_port_max,5
CE09OSSM-RI003-03-NUTNRB999,NUTNR,depth_port_min,5
CE09OSSM-RI003-03-NUTNRB999,NUTNR,depth_subsite,542
CE09OSSM-RI003-03-NUTNRB999,NUTNR,First Deployment Date,2014-10
CE09OSSM-RI003-03-NUTNRB999,NUTNR,latitude,46.85
CE09OSSM-RI003-03-NUTNRB999,NUTNR,longitude,124.97
CE09OSSM-RI003-03-NUTNRB999,NUTNR,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI003-03-NUTNRB999,NUTNR,Relative Depth,5m below sea surface
CE09OSSM-RI003-04-SPKIRB999,SPKIR,depth_port_max,5
CE09OSSM-RI003-04-SPKIRB999,SPKIR,depth_port_min,5
CE09OSSM-RI003-04-SPKIRB999,SPKIR,depth_subsite,542
CE09OSSM-RI003-04-SPKIRB999,SPKIR,First Deployment Date,2014-10
CE09OSSM-RI003-04-SPKIRB999,SPKIR,latitude,46.85
CE09OSSM-RI003-04-SPKIRB999,SPKIR,longitude,124.97
CE09OSSM-RI003-04-SPKIRB999,SPKIR,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI003-04-SPKIRB999,SPKIR,Relative Depth,5m below sea surface
CE09OSSM-RI003-05-FLORTD999,FLORT,depth_port_max,5
CE09OSSM-RI003-05-FLORTD999,FLORT,depth_port_min,5
CE09OSSM-RI003-05-FLORTD999,FLORT,depth_subsite,542
CE09OSSM-RI003-05-FLORTD999,FLORT,First Deployment Date,2014-10
CE09OSSM-RI003-05-FLORTD999,FLORT,latitude,46.85
CE09OSSM-RI003-05-FLORTD999,FLORT,longitude,124.97
CE09OSSM-RI003-05-FLORTD999,FLORT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI003-05-FLORTD999,FLORT,Relative Depth,5m below sea surface
CE09OSSM-SB001-01-METBKA999,METBK,depth_port_max,-3
CE09OSSM-SB001-01-METBKA999,METBK,depth_port_min,-3
CE09OSSM-SB001-01-METBKA999,METBK,depth_subsite,542
CE09OSSM-SB001-01-METBKA999,METBK,First Deployment Date,2014-10
CE09OSSM-SB001-01-METBKA999,METBK,latitude,46.85
CE09OSSM-SB001-01-METBKA999,METBK,longitude,124.97
CE09OSSM-SB001-01-METBKA999,METBK,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-SB001-01-METBKA999,METBK,Relative Depth,~3m above sea surface
CE09OSSM-SB001-03-PCO2AA999,PCO2A,depth_port_max,0
CE09OSSM-SB001-03-PCO2AA999,PCO2A,depth_port_min,0
CE09OSSM-SB001-03-PCO2AA999,PCO2A,depth_subsite,542
CE09OSSM-SB001-03-PCO2AA999,PCO2A,First Deployment Date,2014-10
CE09OSSM-SB001-03-PCO2AA999,PCO2A,latitude,46.85
CE09OSSM-SB001-03-PCO2AA999,PCO2A,longitude,124.97
CE09OSSM-SB001-03-PCO2AA999,PCO2A,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-SB001-03-PCO2AA999,PCO2A,Relative Depth,Sea Surface
CE09OSSM-SB001-05-VELPTA999,VELPT,depth_port_max,1
CE09OSSM-SB001-05-VELPTA999,VELPT,depth_port_min,1
CE09OSSM-SB001-05-VELPTA999,VELPT,depth_subsite,542
CE09OSSM-SB001-05-VELPTA999,VELPT,First Deployment Date,2014-10
CE09OSSM-SB001-05-VELPTA999,VELPT,latitude,46.85
CE09OSSM-SB001-05-VELPTA999,VELPT,longitude,124.97
CE09OSSM-SB001-05-VELPTA999,VELPT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-SB001-05-VELPTA999,VELPT,Relative Depth,1m below sea surface
CE09OSSM-SB001-06-WAVSSA999,WAVSS,depth_port_max,0
CE09OSSM-SB001-06-WAVSSA999,WAVSS,depth_port_min,0
CE09OSSM-SB001-06-WAVSSA999,WAVSS,depth_subsite,542
CE09OSSM-SB001-06-WAVSSA999,WAVSS,First Deployment Date,2014-10
CE09OSSM-SB001-06-WAVSSA999,WAVSS,latitude,46.85
CE09OSSM-SB001-06-WAVSSA999,WAVSS,longitude,124.97
CE09OSSM-SB001-06-WAVSSA999,WAVSS,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-SB001-06-WAVSSA999,WAVSS,Relative Depth,Sea Surface
CP01CNSM-MF004-01-ADCPTF999,ADCPT,depth_port_max,133
CP01CNSM-MF004-01-ADCPTF999,ADCPT,depth_port_min,133
CP01CNSM-MF004-01-ADCPTF999,ADCPT,depth_subsite,133
CP01CNSM-MF004-01-ADCPTF999,ADCPT,First Deployment Date,2013-11
CP01CNSM-MF004-01-ADCPTF999,ADCPT,latitude,40.14
CP01CNSM-MF004-01-ADCPTF999,ADCPT,longitude,70.78
CP01CNSM-MF004-01-ADCPTF999,ADCPT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF004-01-ADCPTF999,ADCPT,Relative Depth,"Bottom mount, uplooking"
CP01CNSM-MF004-02-OPTAAD999,OPTAA,depth_port_max,133
CP01CNSM-MF004-02-OPTAAD999,OPTAA,depth_port_min,133
CP01CNSM-MF004-02-OPTAAD999,OPTAA,depth_subsite,133
CP01CNSM-MF004-02-OPTAAD999,OPTAA,First Deployment Date,2013-11
CP01CNSM-MF004-02-OPTAAD999,OPTAA,latitude,40.14
CP01CNSM-MF004-02-OPTAAD999,OPTAA,longitude,70.78
CP01CNSM-MF004-02-OPTAAD999,OPTAA,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF004-02-OPTAAD999,OPTAA,Relative Depth,2m above bottom
CP01CNSM-MF004-03-DOSTAD999,DOSTA,depth_port_max,133
CP01CNSM-MF004-03-DOSTAD999,DOSTA,depth_port_min,133
CP01CNSM-MF004-03-DOSTAD999,DOSTA,depth_subsite,133
CP01CNSM-MF004-03-DOSTAD999,DOSTA,First Deployment Date,2013-11
CP01CNSM-MF004-03-DOSTAD999,DOSTA,latitude,40.14
CP01CNSM-MF004-03-DOSTAD999,DOSTA,longitude,70.78
CP01CNSM-MF004-03-DOSTAD999,DOSTA,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF004-03-DOSTAD999,DOSTA,Relative Depth,2m above bottom
CP01CNSM-MF004-04-VELPTA999,VELPT,depth_port_max,133
CP01CNSM-MF004-04-VELPTA999,VELPT,depth_port_min,133
CP01CNSM-MF004-04-VELPTA999,VELPT,depth_subsite,133
CP01CNSM-MF004-04-VELPTA999,VELPT,First Deployment Date,2013-11
CP01CNSM-MF004-04-VELPTA999,VELPT,latitude,40.14
CP01CNSM-MF004-04-VELPTA999,VELPT,longitude,70.78
CP01CNSM-MF004-04-VELPTA999,VELPT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF004-04-VELPTA999,VELPT,Relative Depth,2m above bottom
CP01CNSM-MF004-05-PHSEND999,PHSEN,depth_port_max,133
CP01CNSM-MF004-05-PHSEND999,PHSEN,depth_port_min,133
CP01CNSM-MF004-05-PHSEND999,PHSEN,depth_subsite,133
CP01CNSM-MF004-05-PHSEND999,PHSEN,First Deployment Date,2013-11
CP01CNSM-MF004-05-PHSEND999,PHSEN,latitude,40.14
CP01CNSM-MF004-05-PHSEND999,PHSEN,longitude,70.78
CP01CNSM-MF004-05-PHSEND999,PHSEN,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF004-05-PHSEND999,PHSEN,Relative Depth,2m above bottom
CP01CNSM-MF005-01-PCO2WB999,PCO2W,depth_port_max,133
CP01CNSM-MF005-01-PCO2WB999,PCO2W,depth_port_min,133
CP01CNSM-MF005-01-PCO2WB999,PCO2W,depth_subsite,133
CP01CNSM-MF005-01-PCO2WB999,PCO2W,First Deployment Date,2013-11
CP01CNSM-MF005-01-PCO2WB999,PCO2W,latitude,40.14
CP01CNSM-MF005-01-PCO2WB999,PCO2W,longitude,70.78
CP01CNSM-MF005-01-PCO2WB999,PCO2W,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF005-01-PCO2WB999,PCO2W,Relative Depth,2m above bottom
CP01CNSM-MF005-02-CTDBPD999,CTDBP,depth_port_max,133
CP01CNSM-MF005-02-CTDBPD999,CTDBP,depth_port_min,133
CP01CNSM-MF005-02-CTDBPD999,CTDBP,depth_subsite,133
CP01CNSM-MF005-02-CTDBPD999,CTDBP,First Deployment Date,2013-11
CP01CNSM-MF005-02-CTDBPD999,CTDBP,latitude,40.14
CP01CNSM-MF005-02-CTDBPD999,CTDBP,longitude,70.78
CP01CNSM-MF005-02-CTDBPD999,CTDBP,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF005-02-CTDBPD999,CTDBP,Relative Depth,2m above bottom
CP01CNSM-MF005-03-ZPLSCC999,ZPLSC,depth_port_max,133
CP01CNSM-MF005-03-ZPLSCC999,ZPLSC,depth_port_min,133
CP01CNSM-MF005-03-ZPLSCC999,ZPLSC,depth_subsite,133
CP01CNSM-MF005-03-ZPLSCC999,ZPLSC,First Deployment Date,2013-11
CP01CNSM-MF005-03-ZPLSCC999,ZPLSC,latitude,40.14
CP01CNSM-MF005-03-ZPLSCC999,ZPLSC,longitude,70.78
CP01CNSM-MF005-03-ZPLSCC999,ZPLSC,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF005-03-ZPLSCC999,ZPLSC,Relative Depth,"Mounted 2m above bottom, uplooking"
CP01CNSM-MF005-04-PRESFB999,PRESF,depth_port_max,133
CP01CNSM-MF005-04-PRESFB999,PRESF,depth_port_min,133
CP01CNSM-MF005-04-PRESFB999,PRESF,depth_subsite,133
CP01CNSM-MF005-04-PRESFB999,PRESF,First Deployment Date,2013-11
CP01CNSM-MF005-04-PRESFB999,PRESF,latitude,40.14
CP01CNSM-MF005-04-PRESFB999,PRESF,longitude,70.78
CP01CNSM-MF005-04-PRESFB999,PRESF,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF005-04-PRESFB999,PRESF,Relative Depth,2m above bottom
CP01CNSM-RI002-02-OPTAAD999,OPTAA,depth_port_max,5
CP01CNSM-RI002-02-OPTAAD999,OPTAA,depth_port_min,5
CP01CNSM-RI002-02-OPTAAD999,OPTAA,depth_subsite,133
CP01CNSM-RI002-02-OPTAAD999,OPTAA,First Deployment Date,2013-11
CP01CNSM-RI002-02-OPTAAD999,OPTAA,latitude,40.14
CP01CNSM-RI002-02-OPTAAD999,OPTAA,longitude,70.78
CP01CNSM-RI002-02-OPTAAD999,OPTAA,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI002-02-OPTAAD999,OPTAA,Relative Depth,5m below sea surface
CP01CNSM-RI002-03-CTDBPC999,CTDBP,depth_port_max,5
CP01CNSM-RI002-03-CTDBPC999,CTDBP,depth_port_min,5
CP01CNSM-RI002-03-CTDBPC999,CTDBP,depth_subsite,133
CP01CNSM-RI002-03-CTDBPC999,CTDBP,First Deployment Date,2013-11
CP01CNSM-RI002-03-CTDBPC999,CTDBP,latitude,40.14
CP01CNSM-RI002-03-CTDBPC999,CTDBP,longitude,70.78
CP01CNSM-RI002-03-CTDBPC999,CTDBP,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI002-03-CTDBPC999,CTDBP,Relative Depth,5m below sea surface
CP01CNSM-RI002-04-VELPTA999,VELPT,depth_port_max,5
CP01CNSM-RI002-04-VELPTA999,VELPT,depth_port_min,5
CP01CNSM-RI002-04-VELPTA999,VELPT,depth_subsite,133
CP01CNSM-RI002-04-VELPTA999,VELPT,First Deployment Date,2013-11
CP01CNSM-RI002-04-VELPTA999,VELPT,latitude,40.14
CP01CNSM-RI002-04-VELPTA999,VELPT,longitude,70.78
CP01CNSM-RI002-04-VELPTA999,VELPT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI002-04-VELPTA999,VELPT,Relative Depth,5m below sea surface
CP01CNSM-RI003-01-NUTNRB999,NUTNR,depth_port_max,5
CP01CNSM-RI003-01-NUTNRB999,NUTNR,depth_port_min,5
CP01CNSM-RI003-01-NUTNRB999,NUTNR,depth_subsite,133
CP01CNSM-RI003-01-NUTNRB999,NUTNR,First Deployment Date,2013-11
CP01CNSM-RI003-01-NUTNRB999,NUTNR,latitude,40.14
CP01CNSM-RI003-01-NUTNRB999,NUTNR,longitude,70.78
CP01CNSM-RI003-01-NUTNRB999,NUTNR,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI003-01-NUTNRB999,NUTNR,Relative Depth,5m below sea surface
CP01CNSM-RI003-02-DOSTAD999,DOSTA,depth_port_max,5
CP01CNSM-RI003-02-DOSTAD999,DOSTA,depth_port_min,5
CP01CNSM-RI003-02-DOSTAD999,DOSTA,depth_subsite,133
CP01CNSM-RI003-02-DOSTAD999,DOSTA,First Deployment Date,2013-11
CP01CNSM-RI003-02-DOSTAD999,DOSTA,latitude,40.14
CP01CNSM-RI003-02-DOSTAD999,DOSTA,longitude,70.78
CP01CNSM-RI003-02-DOSTAD999,DOSTA,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI003-02-DOSTAD999,DOSTA,Relative Depth,5m below sea surface
CP01CNSM-RI003-03-PHSEND999,PHSEN,depth_port_max,5
CP01CNSM-RI003-03-PHSEND999,PHSEN,depth_port_min,5
CP01CNSM-RI003-03-PHSEND999,PHSEN,depth_subsite,133
CP01CNSM-RI003-03-PHSEND999,PHSEN,First Deployment Date,2013-11
CP01CNSM-RI003-03-PHSEND999,PHSEN,latitude,40.14
CP01CNSM-RI003-03-PHSEND999,PHSEN,longitude,70.78
CP01CNSM-RI003-03-PHSEND999,PHSEN,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI003-03-PHSEND999,PHSEN,Relative Depth,5m below sea surface
CP01CNSM-RI003-04-SPKIRB999,SPKIR,depth_port_max,5
CP01CNSM-RI003-04-SPKIRB999,SPKIR,depth_port_min,5
CP01CNSM-RI003-04-SPKIRB999,SPKIR,depth_subsite,133
CP01CNSM-RI003-04-SPKIRB999,SPKIR,First Deployment Date,2013-11
CP01CNSM-RI003-04-SPKIRB999,SPKIR,latitude,40.14
CP01CNSM-RI003-04-SPKIRB999,SPKIR,longitude,70.78
CP01CNSM-RI003-04-SPKIRB999,SPKIR,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI003-04-SPKIRB999,SPKIR,Relative Depth,5m below sea surface
CP01CNSM-RI003-05-FLORTD999,FLORT,depth_port_max,5
CP01CNSM-RI003-05-FLORTD999,FLORT,depth_port_min,5
CP01CNSM-RI003-05-FLORTD999,FLORT,depth_subsite,133
CP01CNSM-RI003-05-FLORTD999,FLORT,First Deployment Date,2013-11
CP01CNSM-RI003-05-FLORTD999,FLORT,latitude,40.14
CP01CNSM-RI003-05-FLORTD999,FLORT,longitude,70.78
CP01CNSM-RI003-05-FLORTD999,FLORT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI003-05-FLORTD999,FLORT,Relative Depth,5m below sea surface
CP01CNSM-SB001-01-METBKA999,METBK,depth_port_max,-3
CP01CNSM-SB001-01-METBKA999,METBK,depth_port_min,-3
CP01CNSM-SB001-01-METBKA999,METBK,depth_subsite,133
CP01CNSM-SB001-01-METBKA999,METBK,First Deployment Date,2013-11
CP01CNSM-SB001-01-METBKA999,METBK,latitude,40.14
CP01CNSM-SB001-01-METBKA999,METBK,longitude,70.78
CP01CNSM-SB001-01-METBKA999,METBK,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-SB001-01-METBKA999,METBK,Relative Depth,~3m above sea surface
CP01CNSM-SB001-02-METBKA999,METBK,depth_port_max,-3
CP01CNSM-SB001-02-METBKA999,METBK,depth_port_min,-3
CP01CNSM-SB001-02-METBKA999,METBK,depth_subsite,133
CP01CNSM-SB001-02-METBKA999,METBK,First Deployment Date,2013-11
CP01CNSM-SB001-02-METBKA999,METBK,latitude,40.14
CP01CNSM-SB001-02-METBKA999,METBK,longitude,70.78
CP01CNSM-SB001-02-METBKA999,METBK,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-SB001-02-METBKA999,METBK,Relative Depth,~3m above sea surface
CP01CNSM-SB001-03-PCO2AA999,PCO2A,depth_port_max,0
CP01CNSM-SB001-03-PCO2AA999,PCO2A,depth_port_min,0
CP01CNSM-SB001-03-PCO2AA999,PCO2A,depth_subsite,133
CP01CNSM-SB001-03-PCO2AA999,PCO2A,First Deployment Date,2013-11
CP01CNSM-SB001-03-PCO2AA999,PCO2A,latitude,40.14
CP01CNSM-SB001-03-PCO2AA999,PCO2A,longitude,70.78
CP01CNSM-SB001-03-PCO2AA999,PCO2A,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-SB001-03-PCO2AA999,PCO2A,Relative Depth,Sea Surface
CP01CNSM-SB001-04-WAVSSA999,WAVSS,depth_port_max,0
CP01CNSM-SB001-04-WAVSSA999,WAVSS,depth_port_min,0
CP01CNSM-SB001-04-WAVSSA999,WAVSS,depth_subsite,133
CP01CNSM-SB001-04-WAVSSA999,WAVSS,First Deployment Date,2013-11
CP01CNSM-SB001-04-WAVSSA999,WAVSS,latitude,40.14
CP01CNSM-SB001-04-WAVSSA999,WAVSS,longitude,70.78
CP01CNSM-SB001-04-WAVSSA999,WAVSS,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-SB001-04-WAVSSA999,WAVSS,Relative Depth,Sea Surface
CP01CNSM-SB001-05-FDCHPA999,FDCHP,depth_port_max,-3
CP01CNSM-SB001-05-FDCHPA999,FDCHP,depth_port_min,-3
CP01CNSM-SB001-05-FDCHPA999,FDCHP,depth_subsite,133
CP01CNSM-SB001-05-FDCHPA999,FDCHP,First Deployment Date,2013-11
CP01CNSM-SB001-05-FDCHPA999,FDCHP,latitude,40.14
CP01CNSM-SB001-05-FDCHPA999,FDCHP,longitude,70.78
CP01CNSM-SB001-05-FDCHPA999,FDCHP,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-SB001-05-FDCHPA999,FDCHP,Relative Depth,~3m above sea surface
CP01CNSP-SP001-02-OPTAAJ999,OPTAA,depth_port_max,133
CP01CNSP-SP001-02-OPTAAJ999,OPTAA,depth_port_min,0
CP01CNSP-SP001-02-OPTAAJ999,OPTAA,depth_subsite,133
CP01CNSP-SP001-02-OPTAAJ999,OPTAA,First Deployment Date,2014-09
CP01CNSP-SP001-02-OPTAAJ999,OPTAA,latitude,40.14
CP01CNSP-SP001-02-OPTAAJ999,OPTAA,longitude,70.78
CP01CNSP-SP001-02-OPTAAJ999,OPTAA,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP01CNSP-SP001-02-OPTAAJ999,OPTAA,Relative Depth,Sea surface to 2m above bottom
CP01CNSP-SP001-03-NUTNRJ999,NUTNR,depth_port_max,133
CP01CNSP-SP001-03-NUTNRJ999,NUTNR,depth_port_min,0
CP01CNSP-SP001-03-NUTNRJ999,NUTNR,depth_subsite,133
CP01CNSP-SP001-03-NUTNRJ999,NUTNR,First Deployment Date,2014-09
CP01CNSP-SP001-03-NUTNRJ999,NUTNR,latitude,40.14
CP01CNSP-SP001-03-NUTNRJ999,NUTNR,longitude,70.78
CP01CNSP-SP001-03-NUTNRJ999,NUTNR,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP01CNSP-SP001-03-NUTNRJ999,NUTNR,Relative Depth,Sea surface to 2m above bottom
CP01CNSP-SP001-05-VELPTJ999,VELPT,depth_port_max,133
CP01CNSP-SP001-05-VELPTJ999,VELPT,depth_port_min,0
CP01CNSP-SP001-05-VELPTJ999,VELPT,depth_subsite,133
CP01CNSP-SP001-05-VELPTJ999,VELPT,First Deployment Date,2014-09
CP01CNSP-SP001-05-VELPTJ999,VELPT,latitude,40.14
CP01CNSP-SP001-05-VELPTJ999,VELPT,longitude,70.78
CP01CNSP-SP001-05-VELPTJ999,VELPT,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP01CNSP-SP001-05-VELPTJ999,VELPT,Relative Depth,Sea surface to 2m above bottom
CP01CNSP-SP001-06-DOSTAJ999,DOSTA,depth_port_max,133
CP01CNSP-SP001-06-DOSTAJ999,DOSTA,depth_port_min,0
CP01CNSP-SP001-06-DOSTAJ999,DOSTA,depth_subsite,133
CP01CNSP-SP001-06-DOSTAJ999,DOSTA,First Deployment Date,2014-09
CP01CNSP-SP001-06-DOSTAJ999,DOSTA,latitude,40.14
CP01CNSP-SP001-06-DOSTAJ999,DOSTA,longitude,70.78
CP01CNSP-SP001-06-DOSTAJ999,DOSTA,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP01CNSP-SP001-06-DOSTAJ999,DOSTA,Relative Depth,Sea surface to 2m above bottom
CP01CNSP-SP001-07-SPKIRJ999,SPKIR,depth_port_max,133
CP01CNSP-SP001-07-SPKIRJ999,SPKIR,depth_port_min,0
CP01CNSP-SP001-07-SPKIRJ999,SPKIR,depth_subsite,133
CP01CNSP-SP001-07-SPKIRJ999,SPKIR,First Deployment Date,2014-09
CP01CNSP-SP001-07-SPKIRJ999,SPKIR,latitude,40.14
CP01CNSP-SP001-07-SPKIRJ999,SPKIR,longitude,70.78
CP01CNSP-SP001-07-SPKIRJ999,SPKIR,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CP01CNSP-SP001-07-SPKIRJ999,SPKIR,Relative Depth,Sea surface to 2m above bottom
CP01CNSP-SP001-08-CTDPFJ999,CTDPF,depth_port_max,133
CP01CNSP-SP001-08-CTDPFJ999,CTDPF,depth_port_min,0
CP01CNSP-SP001-08-CTDPFJ999,CTDPF,depth_subsite,133
CP01CNSP-SP001-08-CTDPFJ999,CTDPF,First Deployment Date,2014-09
CP01CNSP-SP001-08-CTDPFJ999,CTDPF,latitude,40.14
