Textbox8,tbToday
Reference Designator Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Reference_Designator,Class,Attribute,AttributeValue
CE01ISSM-MF005-05-CAMDSA999,CAMDS,First Deployment Date,2014-04
CE01ISSM-MF005-05-CAMDSA999,CAMDS,latitude,44.66
CE01ISSM-MF005-05-CAMDSA999,CAMDS,longitude,124.1
CE01ISSM-MF005-05-CAMDSA999,CAMDS,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-MF005-05-CAMDSA999,CAMDS,Relative Depth,2m above the bottom
CE01ISSM-RI002-01-DOSTAD999,DOSTA,depth_port_max,5
CE01ISSM-RI002-01-DOSTAD999,DOSTA,depth_port_min,5
CE01ISSM-RI002-01-DOSTAD999,DOSTA,depth_subsite,24.3
CE01ISSM-RI002-01-DOSTAD999,DOSTA,First Deployment Date,2014-04
CE01ISSM-RI002-01-DOSTAD999,DOSTA,latitude,44.66
CE01ISSM-RI002-01-DOSTAD999,DOSTA,longitude,124.1
CE01ISSM-RI002-01-DOSTAD999,DOSTA,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI002-01-DOSTAD999,DOSTA,Relative Depth,5m below sea surface
CE01ISSM-RI002-02-VELPTA999,VELPT,depth_port_max,5
CE01ISSM-RI002-02-VELPTA999,VELPT,depth_port_min,5
CE01ISSM-RI002-02-VELPTA999,VELPT,depth_subsite,24.3
CE01ISSM-RI002-02-VELPTA999,VELPT,First Deployment Date,2014-04
CE01ISSM-RI002-02-VELPTA999,VELPT,latitude,44.66
CE01ISSM-RI002-02-VELPTA999,VELPT,longitude,124.1
CE01ISSM-RI002-02-VELPTA999,VELPT,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI002-02-VELPTA999,VELPT,Relative Depth,5m below sea surface
CE01ISSM-RI002-03-PHSEND999,PHSEN,depth_port_max,5
CE01ISSM-RI002-03-PHSEND999,PHSEN,depth_port_min,5
CE01ISSM-RI002-03-PHSEND999,PHSEN,depth_subsite,24.3
CE01ISSM-RI002-03-PHSEND999,PHSEN,First Deployment Date,2014-04
CE01ISSM-RI002-03-PHSEND999,PHSEN,latitude,44.66
CE01ISSM-RI002-03-PHSEND999,PHSEN,longitude,124.1
CE01ISSM-RI002-03-PHSEND999,PHSEN,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI002-03-PHSEND999,PHSEN,Relative Depth,5m below sea surface
CE01ISSM-RI002-05-PCO2WB999,PCO2W,depth_port_max,5
CE01ISSM-RI002-05-PCO2WB999,PCO2W,depth_port_min,5
CE01ISSM-RI002-05-PCO2WB999,PCO2W,depth_subsite,24.3
CE01ISSM-RI002-05-PCO2WB999,PCO2W,First Deployment Date,2014-04
CE01ISSM-RI002-05-PCO2WB999,PCO2W,latitude,44.66
CE01ISSM-RI002-05-PCO2WB999,PCO2W,longitude,124.1
CE01ISSM-RI002-05-PCO2WB999,PCO2W,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI002-05-PCO2WB999,PCO2W,Relative Depth,5m below sea surface
CE01ISSM-RI003-01-CTDBPC999,CTDBP,depth_port_max,5
CE01ISSM-RI003-01-CTDBPC999,CTDBP,depth_port_min,5
CE01ISSM-RI003-01-CTDBPC999,CTDBP,depth_subsite,24.3
CE01ISSM-RI003-01-CTDBPC999,CTDBP,First Deployment Date,2014-04
CE01ISSM-RI003-01-CTDBPC999,CTDBP,latitude,44.66
CE01ISSM-RI003-01-CTDBPC999,CTDBP,longitude,124.1
CE01ISSM-RI003-01-CTDBPC999,CTDBP,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-01-CTDBPC999,CTDBP,Relative Depth,5m below sea surface
CE01ISSM-RI003-02-FLORTD999,FLORT,depth_port_max,5
CE01ISSM-RI003-02-FLORTD999,FLORT,depth_port_min,5
CE01ISSM-RI003-02-FLORTD999,FLORT,depth_subsite,24.3
CE01ISSM-RI003-02-FLORTD999,FLORT,First Deployment Date,2014-04
CE01ISSM-RI003-02-FLORTD999,FLORT,latitude,44.66
CE01ISSM-RI003-02-FLORTD999,FLORT,longitude,124.1
CE01ISSM-RI003-02-FLORTD999,FLORT,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-02-FLORTD999,FLORT,Relative Depth,5m below sea surface
CE01ISSM-RI003-03-OPTAAD999,OPTAA,depth_port_max,5
CE01ISSM-RI003-03-OPTAAD999,OPTAA,depth_port_min,5
CE01ISSM-RI003-03-OPTAAD999,OPTAA,depth_subsite,24.3
CE01ISSM-RI003-03-OPTAAD999,OPTAA,First Deployment Date,2014-04
CE01ISSM-RI003-03-OPTAAD999,OPTAA,latitude,44.66
CE01ISSM-RI003-03-OPTAAD999,OPTAA,longitude,124.1
CE01ISSM-RI003-03-OPTAAD999,OPTAA,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-03-OPTAAD999,OPTAA,Relative Depth,5m below sea surface
CE01ISSM-RI003-04-NUTNRB999,NUTNR,depth_port_max,5
CE01ISSM-RI003-04-NUTNRB999,NUTNR,depth_port_min,5
CE01ISSM-RI003-04-NUTNRB999,NUTNR,depth_subsite,24.3
CE01ISSM-RI003-04-NUTNRB999,NUTNR,First Deployment Date,2014-04
CE01ISSM-RI003-04-NUTNRB999,NUTNR,latitude,44.66
CE01ISSM-RI003-04-NUTNRB999,NUTNR,longitude,124.1
CE01ISSM-RI003-04-NUTNRB999,NUTNR,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-04-NUTNRB999,NUTNR,Relative Depth,5m below sea surface
CE01ISSM-RI003-05-SPKIRB999,SPKIR,depth_port_max,5
CE01ISSM-RI003-05-SPKIRB999,SPKIR,depth_port_min,5
CE01ISSM-RI003-05-SPKIRB999,SPKIR,depth_subsite,24.3
CE01ISSM-RI003-05-SPKIRB999,SPKIR,First Deployment Date,2014-04
CE01ISSM-RI003-05-SPKIRB999,SPKIR,latitude,44.66
CE01ISSM-RI003-05-SPKIRB999,SPKIR,longitude,124.1
CE01ISSM-RI003-05-SPKIRB999,SPKIR,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-RI003-05-SPKIRB999,SPKIR,Relative Depth,5m below sea surface
CE01ISSM-SB001-01-VELPTA999,VELPT,depth_port_max,1
CE01ISSM-SB001-01-VELPTA999,VELPT,depth_port_min,1
CE01ISSM-SB001-01-VELPTA999,VELPT,depth_subsite,24.3
CE01ISSM-SB001-01-VELPTA999,VELPT,First Deployment Date,2014-04
CE01ISSM-SB001-01-VELPTA999,VELPT,latitude,44.66
CE01ISSM-SB001-01-VELPTA999,VELPT,longitude,124.1
CE01ISSM-SB001-01-VELPTA999,VELPT,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSM-SB001-01-VELPTA999,VELPT,Relative Depth,1m below sea surface
CE01ISSP-SP001-02-DOSTAJ999,DOSTA,depth_port_max,23
CE01ISSP-SP001-02-DOSTAJ999,DOSTA,depth_port_min,0
CE01ISSP-SP001-02-DOSTAJ999,DOSTA,depth_subsite,24.3
CE01ISSP-SP001-02-DOSTAJ999,DOSTA,First Deployment Date,2014-10
CE01ISSP-SP001-02-DOSTAJ999,DOSTA,latitude,44.66
CE01ISSP-SP001-02-DOSTAJ999,DOSTA,longitude,124.1
CE01ISSP-SP001-02-DOSTAJ999,DOSTA,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-02-DOSTAJ999,DOSTA,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-04-OPTAAJ999,OPTAA,depth_port_max,23
CE01ISSP-SP001-04-OPTAAJ999,OPTAA,depth_port_min,0
CE01ISSP-SP001-04-OPTAAJ999,OPTAA,depth_subsite,24.3
CE01ISSP-SP001-04-OPTAAJ999,OPTAA,First Deployment Date,2014-10
CE01ISSP-SP001-04-OPTAAJ999,OPTAA,latitude,44.66
CE01ISSP-SP001-04-OPTAAJ999,OPTAA,longitude,124.1
CE01ISSP-SP001-04-OPTAAJ999,OPTAA,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-04-OPTAAJ999,OPTAA,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-05-VELPTJ999,VELPT,depth_port_max,23
CE01ISSP-SP001-05-VELPTJ999,VELPT,depth_port_min,0
