Textbox8,tbToday
Family Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Family,Family_Name,Attribute,AttributeValue
FDC,Direct Covariance Flux,CGSN P/N,
FDC,Direct Covariance Flux,ClassLongName,
FDC,Direct Covariance Flux,Comments,
FDC,Direct Covariance Flux,CP Spares,
FDC,Direct Covariance Flux,Description,
FDC,Direct Covariance Flux,ECRs that changed the count,
FDC,Direct Covariance Flux,Global Spares,
FDC,Direct Covariance Flux,Instrument Configuration,
FDC,Direct Covariance Flux,Link to the Specification,
FDC,Direct Covariance Flux,Notes,
FDC,Direct Covariance Flux,PrimaryScienceDiscipline,
FDC,Direct Covariance Flux,Produces Acoustic Interference,
FDC,Direct Covariance Flux,Ready for 2013?,
FDC,Direct Covariance Flux,RSN O&M Spares,
FDC,Direct Covariance Flux,RSN Part Number,
FDC,Direct Covariance Flux,Susceptible to Acoustic Interference,
FDC,Direct Covariance Flux,"Vendor CLIN, SubCLIN or Model #",
FLO,Fluorometer,2009 Baseline Price*,
FLO,Fluorometer,2009 Deployed Instrument Count,
FLO,Fluorometer,Alternate Instrument Class Name,
FLO,Fluorometer,CE Spares,
FLO,Fluorometer,CGSN MREFC Spares,
FLO,Fluorometer,CGSN O&M Spares,
FLO,Fluorometer,CGSN P/N,
FLO,Fluorometer,ClassLongName,
FLO,Fluorometer,Comments,
FLO,Fluorometer,CP Spares,
FLO,Fluorometer,Description,
FLO,Fluorometer,ECRs that changed the count,
FLO,Fluorometer,Global Spares,
FLO,Fluorometer,Instrument Configuration,
FLO,Fluorometer,Link to the Specification,
FLO,Fluorometer,Notes,
FLO,Fluorometer,PrimaryScienceDiscipline,
FLO,Fluorometer,Produces Acoustic Interference,
FLO,Fluorometer,Ready for 2013?,
FLO,Fluorometer,RSN O&M Spares,
FLO,Fluorometer,RSN Part Number,
FLO,Fluorometer,Susceptible to Acoustic Interference,
