Textbox8,tbToday,Textbox2
Instrument Catalog (Full Location Detail),Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,Textbox11,LNode_NodeSequence,LPort_PortNumber,SClass_PublicID,SSeries_PublicID,LSlot_InstrumentSequence,SSubseries_PublicID,SSubseries_Description,MMInstrument_Manufacturer,MMInstrument_PublicID,MMInstrument_Description,First_Deployment_Date,Platform_Agent_Type,Ready_For_2013_,Susceptible_to_Acoustic_Interference,Produces_Acoustic_Interference
CE05MOAS-GL003-05-CTDGVM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,05,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,,
CE05MOAS-GL004-05-CTDGVM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,05,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,,
CE05MOAS-GL005-05-CTDGVM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,05,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,,
CE05MOAS-GL006-05-CTDGVM999,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,05,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-10,Shore CyberPoP - Coastal Glider Dock Server,,,
GP05MOAS-GL001-04-CTDGVM999,Station Papa Mobile Assets,05,MOAS,GL (Gliders),001,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP05MOAS-GL002-04-CTDGVM999,Station Papa Mobile Assets,05,MOAS,GL (Gliders),002,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP05MOAS-GL003-04-CTDGVM999,Station Papa Mobile Assets,05,MOAS,GL (Gliders),003,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS05MOAS-GL001-04-CTDGVM999,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),001,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS05MOAS-GL002-04-CTDGVM999,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),002,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS05MOAS-GL003-04-CTDGVM999,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),003,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA05MOAS-GL001-04-CTDGVM999,Argentine Basin Mobile Assets,05,MOAS,GL (Gliders),001,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA05MOAS-GL002-04-CTDGVM999,Argentine Basin Mobile Assets,05,MOAS,GL (Gliders),002,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA05MOAS-GL003-04-CTDGVM999,Argentine Basin Mobile Assets,05,MOAS,GL (Gliders),003,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI05MOAS-GL001-04-CTDGVM999,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),001,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI05MOAS-GL002-04-CTDGVM999,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),002,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI05MOAS-GL003-04-CTDGVM999,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),003,04,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
CP05MOAS-GL001-03-CTDGVM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),001,03,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-11,,,,
CP05MOAS-GL002-03-CTDGVM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),002,03,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-11,,,,
CP05MOAS-GL003-03-CTDGVM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),003,03,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-11,,,,
CP05MOAS-GL004-03-CTDGVM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),004,03,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-11,,,,
CP05MOAS-GL005-03-CTDGVM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),005,03,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-11,,,,
CP05MOAS-GL006-03-CTDGVM999,Pioneer Mobile Assets,05,MOAS,GL (Gliders),006,03,CTDGV,M,999,01,CTDGV Series M Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD,2013-11,,,,
GA03FLMA-RI001-06-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,06,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMA-RI001-07-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,07,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMA-RI001-08-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,08,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMA-RI001-09-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,09,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMA-RI001-10-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,10,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMA-RI001-11-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,11,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-09-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,09,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-10-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,10,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-11-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,11,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-12-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,12,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-13-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,13,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-14-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,14,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-12-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,12,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-13-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,13,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-14-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,14,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-06-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,06,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-07-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,07,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMB-RI001-08-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,08,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-06-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,06,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-07-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,07,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-08-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,08,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-09-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,09,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-10-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,10,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GS03FLMA-RI001-11-CTDMOG999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,11,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-09-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,09,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-10-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,10,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-11-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,11,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-12-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,12,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-13-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,13,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-14-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,14,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-12-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,12,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-13-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,13,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-14-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,14,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-06-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,06,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-07-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,07,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMB-RI001-08-CTDMOG999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,08,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-06-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,06,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-07-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,07,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-08-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,08,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-09-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,09,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-10-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,10,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GP03FLMA-RI001-11-CTDMOG999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,11,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-09-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,09,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-10-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,10,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-11-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,11,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-12-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,12,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-13-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,13,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-14-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,14,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-12-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,12,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-13-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,13,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-14-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,14,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-06-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,06,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-07-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,07,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMB-RI001-08-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,08,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-06-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,06,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-07-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,07,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-08-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,08,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-09-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,09,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-10-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,10,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GI03FLMA-RI001-11-CTDMOG999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,11,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMB-RI001-09-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,09,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMB-RI001-10-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,10,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMB-RI001-11-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,11,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMB-RI001-12-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,12,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMB-RI001-13-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,13,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMB-RI001-14-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,14,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMA-RI001-12-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,12,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
GA03FLMA-RI001-13-CTDMOG999,Argentine Basin Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,13,CTDMO,G,999,01,CTDMO Series G Sub 01,Sea-Bird,SBE 37IM,SBE 37IM,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,,
