Textbox8,tbToday,Textbox2
Instrument Catalog (Full Location Detail),Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,Textbox11,LNode_NodeSequence,LPort_PortNumber,SClass_PublicID,SSeries_PublicID,LSlot_InstrumentSequence,SSubseries_PublicID,SSubseries_Description,MMInstrument_Manufacturer,MMInstrument_PublicID,MMInstrument_Description,First_Deployment_Date,Platform_Agent_Type,Ready_For_2013_,Susceptible_to_Acoustic_Interference,Produces_Acoustic_Interference
GA03FLMB-RI001-04-ADCPSL999,Argentine Basin Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,04,ADCPS,L,999,01,ADCPS Series L Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,,Yes,
GI03FLMA-RI001-04-ADCPSL999,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,04,ADCPS,L,999,01,ADCPS Series L Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,Yes,
GI03FLMB-RI001-04-ADCPSL999,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,04,ADCPS,L,999,01,ADCPS Series L Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2014-09,Shore CyberPoP - Open Ocean Glider Dock Server,,Yes,
GP03FLMA-RI001-04-ADCPSL999,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,04,ADCPS,L,999,01,ADCPS Series L Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,Yes,
GP03FLMB-RI001-04-ADCPSL999,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,04,ADCPS,L,999,01,ADCPS Series L Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2013-07-17,Shore CyberPoP - Open Ocean Glider Dock Server,,Yes,
GS03FLMA-RI001-04-ADCPSL999,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,04,ADCPS,L,999,01,ADCPS Series L Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,Yes,
GS03FLMB-RI001-04-ADCPSL999,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,04,ADCPS,L,999,01,ADCPS Series L Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2014-12,Shore CyberPoP - Open Ocean Glider Dock Server,,Yes,
GA01SUMO-RI002-03-ADCPSN999,Argentine Basin Surface Mooring,01,SUMO,RI (Mooring Riser),002,03,ADCPS,N,999,01,ADCPS Series N Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2015-01,Shore CyberPoP - Global Mooring Server,,Yes,
GI01SUMO-RI002-03-ADCPSN999,Irminger Sea Surface Mooring,01,SUMO,RI (Mooring Riser),002,03,ADCPS,N,999,01,ADCPS Series N Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2014-09,Shore CyberPoP - Global Mooring Server,,Yes,
GS01SUMO-RI002-03-ADCPSN999,Southern Ocean Surface Mooring,01,SUMO,RI (Mooring Riser),002,03,ADCPS,N,999,01,ADCPS Series N Sub 01,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,WorkHorse LongRanger Sentinel 75khz,2014-12,Shore CyberPoP - Global Mooring Server,,Yes,
CE02SHSM-RI003-01-ADCPTA999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,01,ADCPT,A,999,01,ADCPT Series A Sub 01,Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,Yes,
CE07SHSM-RI003-01-ADCPTA999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),003,01,ADCPT,A,999,01,ADCPT Series A Sub 01,Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,Yes,
