Textbox8,tbToday
Series Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Series_Name,Attribute,AttributeValue
ADCPS,K,ADCPS Series K,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,K,ADCPS Series K,ECRs that changed the count,
ADCPS,K,ADCPS Series K,Global Spares,
ADCPS,K,ADCPS Series K,Instrument Configuration,
ADCPS,K,ADCPS Series K,Link to the Specification,
ADCPS,K,ADCPS Series K,Notes,
ADCPS,K,ADCPS Series K,PrimaryScienceDiscipline,P
ADCPS,K,ADCPS Series K,Produces Acoustic Interference,
ADCPS,K,ADCPS Series K,Ready for 2013?,
ADCPS,K,ADCPS Series K,RSN O&M Spares,
ADCPS,K,ADCPS Series K,RSN Part Number,
ADCPS,K,ADCPS Series K,Susceptible to Acoustic Interference,Yes
ADCPS,K,ADCPS Series K,"Vendor CLIN, SubCLIN or Model #",
ADCPS,L,ADCPS Series L,2009 Baseline Price*,"$60,575.00"
ADCPS,L,ADCPS Series L,2009 Deployed Instrument Count,16
ADCPS,L,ADCPS Series L,Alternate Instrument Class Name,Velocity Profiler (long range)
ADCPS,L,ADCPS Series L,CE Spares,
ADCPS,L,ADCPS Series L,CGSN MREFC Spares,
ADCPS,L,ADCPS Series L,CGSN O&M Spares,
ADCPS,L,ADCPS Series L,CGSN P/N,
ADCPS,L,ADCPS Series L,ClassLongName,Velocity_Profile_Long_Range
ADCPS,L,ADCPS Series L,Comments,
ADCPS,L,ADCPS Series L,CP Spares,
ADCPS,L,ADCPS Series L,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,L,ADCPS Series L,ECRs that changed the count,
ADCPS,L,ADCPS Series L,Global Spares,
ADCPS,L,ADCPS Series L,Instrument Configuration,
ADCPS,L,ADCPS Series L,Link to the Specification,
ADCPS,L,ADCPS Series L,Notes,
ADCPS,L,ADCPS Series L,PrimaryScienceDiscipline,P
ADCPS,L,ADCPS Series L,Produces Acoustic Interference,
ADCPS,L,ADCPS Series L,Ready for 2013?,
ADCPS,L,ADCPS Series L,RSN O&M Spares,
ADCPS,L,ADCPS Series L,RSN Part Number,
ADCPS,L,ADCPS Series L,Susceptible to Acoustic Interference,Yes
ADCPS,L,ADCPS Series L,"Vendor CLIN, SubCLIN or Model #",
ADCPS,N,ADCPS Series N,2009 Baseline Price*,"$60,575.00"
ADCPS,N,ADCPS Series N,2009 Deployed Instrument Count,16
ADCPS,N,ADCPS Series N,Alternate Instrument Class Name,Velocity Profiler (long range)
ADCPS,N,ADCPS Series N,CE Spares,
ADCPS,N,ADCPS Series N,CGSN MREFC Spares,
ADCPS,N,ADCPS Series N,CGSN O&M Spares,
ADCPS,N,ADCPS Series N,CGSN P/N,
ADCPS,N,ADCPS Series N,ClassLongName,Velocity_Profile_Long_Range
ADCPS,N,ADCPS Series N,Comments,
ADCPS,N,ADCPS Series N,CP Spares,
ADCPS,N,ADCPS Series N,Description,ADCPs capable of measuring 500 m or greater from the instrument
ADCPS,N,ADCPS Series N,ECRs that changed the count,
ADCPS,N,ADCPS Series N,Global Spares,
ADCPS,N,ADCPS Series N,Instrument Configuration,
ADCPS,N,ADCPS Series N,Link to the Specification,
ADCPS,N,ADCPS Series N,Notes,
ADCPS,N,ADCPS Series N,PrimaryScienceDiscipline,P
ADCPS,N,ADCPS Series N,Produces Acoustic Interference,
ADCPS,N,ADCPS Series N,Ready for 2013?,
ADCPS,N,ADCPS Series N,RSN O&M Spares,
ADCPS,N,ADCPS Series N,RSN Part Number,
ADCPS,N,ADCPS Series N,Susceptible to Acoustic Interference,Yes
ADCPS,N,ADCPS Series N,"Vendor CLIN, SubCLIN or Model #",
ADCPT,A,ADCPT Series A,2009 Baseline Price*,"$38,625.00"
ADCPT,A,ADCPT Series A,2009 Deployed Instrument Count,18
ADCPT,A,ADCPT Series A,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,A,ADCPT Series A,CE Spares,
