Textbox8,tbToday
Series Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Series_Name,Attribute,AttributeValue
CAMHD,A,CAMHD Series A,CGSN MREFC Spares,
CAMHD,A,CAMHD Series A,CGSN O&M Spares,
CAMHD,A,CAMHD Series A,CGSN P/N,
CAMHD,A,CAMHD Series A,ClassLongName,camera_digital_video_HD
CAMHD,A,CAMHD Series A,Comments,
CAMHD,A,CAMHD Series A,CP Spares,
CAMHD,A,CAMHD Series A,Description,"HD Camera with strobes, pan, and tilt for high definition video imagery of vents, diffuse flow, seeps, macrofauna"
CAMHD,A,CAMHD Series A,ECRs that changed the count,
CAMHD,A,CAMHD Series A,Global Spares,
CAMHD,A,CAMHD Series A,Instrument Configuration,
CAMHD,A,CAMHD Series A,Link to the Specification,
CAMHD,A,CAMHD Series A,Notes,
CAMHD,A,CAMHD Series A,PrimaryScienceDiscipline,B
CAMHD,A,CAMHD Series A,Produces Acoustic Interference,
CAMHD,A,CAMHD Series A,Ready for 2013?,
CAMHD,A,CAMHD Series A,RSN O&M Spares,
CAMHD,A,CAMHD Series A,RSN Part Number,
CAMHD,A,CAMHD Series A,Susceptible to Acoustic Interference,
CAMHD,A,CAMHD Series A,"Vendor CLIN, SubCLIN or Model #",
CTDAV,N,CTDAV Series N,2009 Baseline Price*,
CTDAV,N,CTDAV Series N,2009 Deployed Instrument Count,3
CTDAV,N,CTDAV Series N,Alternate Instrument Class Name,CTD AUV
CTDAV,N,CTDAV Series N,CE Spares,
CTDAV,N,CTDAV Series N,CGSN MREFC Spares,
CTDAV,N,CTDAV Series N,CGSN O&M Spares,
CTDAV,N,CTDAV Series N,CGSN P/N,
CTDAV,N,CTDAV Series N,ClassLongName,CTD_AUV
CTDAV,N,CTDAV Series N,Comments,
CTDAV,N,CTDAV Series N,CP Spares,
CTDAV,N,CTDAV Series N,Description,CTDs to be mounted on AUVs
CTDAV,N,CTDAV Series N,ECRs that changed the count,
CTDAV,N,CTDAV Series N,Global Spares,
CTDAV,N,CTDAV Series N,Instrument Configuration,
CTDAV,N,CTDAV Series N,Link to the Specification,
CTDAV,N,CTDAV Series N,Notes,
CTDAV,N,CTDAV Series N,PrimaryScienceDiscipline,P
CTDAV,N,CTDAV Series N,Produces Acoustic Interference,
CTDAV,N,CTDAV Series N,Ready for 2013?,
CTDAV,N,CTDAV Series N,RSN O&M Spares,
CTDAV,N,CTDAV Series N,RSN Part Number,
CTDAV,N,CTDAV Series N,Susceptible to Acoustic Interference,
CTDAV,N,CTDAV Series N,"Vendor CLIN, SubCLIN or Model #",
CTDBP,C,CTDBP Series C,2009 Baseline Price*,"$10,630.00"
CTDBP,C,CTDBP Series C,2009 Deployed Instrument Count,15
CTDBP,C,CTDBP Series C,Alternate Instrument Class Name,CTD Pumped
CTDBP,C,CTDBP Series C,CE Spares,
CTDBP,C,CTDBP Series C,CGSN MREFC Spares,
CTDBP,C,CTDBP Series C,CGSN O&M Spares,
CTDBP,C,CTDBP Series C,CGSN P/N,
CTDBP,C,CTDBP Series C,ClassLongName,CTD_bottom_pumped
CTDBP,C,CTDBP Series C,Comments,
CTDBP,C,CTDBP Series C,CP Spares,
CTDBP,C,CTDBP Series C,Description,CTDs equiped with a bottom pump
CTDBP,C,CTDBP Series C,ECRs that changed the count,
CTDBP,C,CTDBP Series C,Global Spares,
CTDBP,C,CTDBP Series C,Instrument Configuration,
CTDBP,C,CTDBP Series C,Link to the Specification,
CTDBP,C,CTDBP Series C,Notes,
CTDBP,C,CTDBP Series C,PrimaryScienceDiscipline,P
CTDBP,C,CTDBP Series C,Produces Acoustic Interference,
CTDBP,C,CTDBP Series C,Ready for 2013?,
CTDBP,C,CTDBP Series C,RSN O&M Spares,
CTDBP,C,CTDBP Series C,RSN Part Number,
CTDBP,C,CTDBP Series C,Susceptible to Acoustic Interference,
CTDBP,C,CTDBP Series C,"Vendor CLIN, SubCLIN or Model #",
CTDBP,D,CTDBP Series D,2009 Baseline Price*,"$10,630.00"
CTDBP,D,CTDBP Series D,2009 Deployed Instrument Count,15
CTDBP,D,CTDBP Series D,Alternate Instrument Class Name,CTD Pumped
CTDBP,D,CTDBP Series D,CE Spares,
CTDBP,D,CTDBP Series D,CGSN MREFC Spares,
CTDBP,D,CTDBP Series D,CGSN O&M Spares,
CTDBP,D,CTDBP Series D,CGSN P/N,
CTDBP,D,CTDBP Series D,ClassLongName,CTD_bottom_pumped
CTDBP,D,CTDBP Series D,Comments,
CTDBP,D,CTDBP Series D,CP Spares,
CTDBP,D,CTDBP Series D,Description,CTDs equiped with a bottom pump
CTDBP,D,CTDBP Series D,ECRs that changed the count,
CTDBP,D,CTDBP Series D,Global Spares,
CTDBP,D,CTDBP Series D,Instrument Configuration,
CTDBP,D,CTDBP Series D,Link to the Specification,
CTDBP,D,CTDBP Series D,Notes,
CTDBP,D,CTDBP Series D,PrimaryScienceDiscipline,P
CTDBP,D,CTDBP Series D,Produces Acoustic Interference,
CTDBP,D,CTDBP Series D,Ready for 2013?,
CTDBP,D,CTDBP Series D,RSN O&M Spares,
CTDBP,D,CTDBP Series D,RSN Part Number,
CTDBP,D,CTDBP Series D,Susceptible to Acoustic Interference,
CTDBP,D,CTDBP Series D,"Vendor CLIN, SubCLIN or Model #",
CTDBP,E,CTDBP Series E,2009 Baseline Price*,"$10,630.00"
CTDBP,E,CTDBP Series E,2009 Deployed Instrument Count,15
CTDBP,E,CTDBP Series E,Alternate Instrument Class Name,CTD Pumped
CTDBP,E,CTDBP Series E,CE Spares,
CTDBP,E,CTDBP Series E,CGSN MREFC Spares,
CTDBP,E,CTDBP Series E,CGSN O&M Spares,
CTDBP,E,CTDBP Series E,CGSN P/N,
CTDBP,E,CTDBP Series E,ClassLongName,CTD_bottom_pumped
CTDBP,E,CTDBP Series E,Comments,
CTDBP,E,CTDBP Series E,CP Spares,
CTDBP,E,CTDBP Series E,Description,CTDs equiped with a bottom pump
CTDBP,E,CTDBP Series E,ECRs that changed the count,
CTDBP,E,CTDBP Series E,Global Spares,
CTDBP,E,CTDBP Series E,Instrument Configuration,
CTDBP,E,CTDBP Series E,Link to the Specification,
CTDBP,E,CTDBP Series E,Notes,
CTDBP,E,CTDBP Series E,PrimaryScienceDiscipline,P
CTDBP,E,CTDBP Series E,Produces Acoustic Interference,
CTDBP,E,CTDBP Series E,Ready for 2013?,
CTDBP,E,CTDBP Series E,RSN O&M Spares,
CTDBP,E,CTDBP Series E,RSN Part Number,
CTDBP,E,CTDBP Series E,Susceptible to Acoustic Interference,
CTDBP,E,CTDBP Series E,"Vendor CLIN, SubCLIN or Model #",
CTDBP,F,CTDBP Series F,2009 Baseline Price*,"$10,630.00"
CTDBP,F,CTDBP Series F,2009 Deployed Instrument Count,15
CTDBP,F,CTDBP Series F,Alternate Instrument Class Name,CTD Pumped
CTDBP,F,CTDBP Series F,CE Spares,
CTDBP,F,CTDBP Series F,CGSN MREFC Spares,
CTDBP,F,CTDBP Series F,CGSN O&M Spares,
CTDBP,F,CTDBP Series F,CGSN P/N,
CTDBP,F,CTDBP Series F,ClassLongName,CTD_bottom_pumped
CTDBP,F,CTDBP Series F,Comments,
CTDBP,F,CTDBP Series F,CP Spares,
CTDBP,F,CTDBP Series F,Description,CTDs equiped with a bottom pump
CTDBP,F,CTDBP Series F,ECRs that changed the count,
CTDBP,F,CTDBP Series F,Global Spares,
CTDBP,F,CTDBP Series F,Instrument Configuration,
CTDBP,F,CTDBP Series F,Link to the Specification,
CTDBP,F,CTDBP Series F,Notes,
CTDBP,F,CTDBP Series F,PrimaryScienceDiscipline,P
CTDBP,F,CTDBP Series F,Produces Acoustic Interference,
CTDBP,F,CTDBP Series F,Ready for 2013?,
CTDBP,F,CTDBP Series F,RSN O&M Spares,
CTDBP,F,CTDBP Series F,RSN Part Number,
CTDBP,F,CTDBP Series F,Susceptible to Acoustic Interference,
CTDBP,F,CTDBP Series F,"Vendor CLIN, SubCLIN or Model #",
CTDBP,N,CTDBP Series N,2009 Baseline Price*,"$10,630.00"
CTDBP,N,CTDBP Series N,2009 Deployed Instrument Count,15
CTDBP,N,CTDBP Series N,Alternate Instrument Class Name,CTD Pumped
CTDBP,N,CTDBP Series N,CE Spares,
CTDBP,N,CTDBP Series N,CGSN MREFC Spares,
CTDBP,N,CTDBP Series N,CGSN O&M Spares,
CTDBP,N,CTDBP Series N,CGSN P/N,
CTDBP,N,CTDBP Series N,ClassLongName,CTD_bottom_pumped
CTDBP,N,CTDBP Series N,Comments,
CTDBP,N,CTDBP Series N,CP Spares,
CTDBP,N,CTDBP Series N,Description,CTDs equiped with a bottom pump
CTDBP,N,CTDBP Series N,ECRs that changed the count,
CTDBP,N,CTDBP Series N,Global Spares,
CTDBP,N,CTDBP Series N,Instrument Configuration,
CTDBP,N,CTDBP Series N,Link to the Specification,
CTDBP,N,CTDBP Series N,Notes,
CTDBP,N,CTDBP Series N,PrimaryScienceDiscipline,P
CTDBP,N,CTDBP Series N,Produces Acoustic Interference,
CTDBP,N,CTDBP Series N,Ready for 2013?,
CTDBP,N,CTDBP Series N,RSN O&M Spares,
CTDBP,N,CTDBP Series N,RSN Part Number,
CTDBP,N,CTDBP Series N,Susceptible to Acoustic Interference,
CTDBP,N,CTDBP Series N,"Vendor CLIN, SubCLIN or Model #",
CTDBP,O,CTDBP Series O,2009 Baseline Price*,"$10,630.00"
CTDBP,O,CTDBP Series O,2009 Deployed Instrument Count,15
CTDBP,O,CTDBP Series O,Alternate Instrument Class Name,CTD Pumped
CTDBP,O,CTDBP Series O,CE Spares,
CTDBP,O,CTDBP Series O,CGSN MREFC Spares,
CTDBP,O,CTDBP Series O,CGSN O&M Spares,
CTDBP,O,CTDBP Series O,CGSN P/N,
CTDBP,O,CTDBP Series O,ClassLongName,CTD_bottom_pumped
CTDBP,O,CTDBP Series O,Comments,
CTDBP,O,CTDBP Series O,CP Spares,
CTDBP,O,CTDBP Series O,Description,CTDs equiped with a bottom pump
CTDBP,O,CTDBP Series O,ECRs that changed the count,
CTDBP,O,CTDBP Series O,Global Spares,
CTDBP,O,CTDBP Series O,Instrument Configuration,
CTDBP,O,CTDBP Series O,Link to the Specification,
CTDBP,O,CTDBP Series O,Notes,
CTDBP,O,CTDBP Series O,PrimaryScienceDiscipline,P
CTDBP,O,CTDBP Series O,Produces Acoustic Interference,
CTDBP,O,CTDBP Series O,Ready for 2013?,
CTDBP,O,CTDBP Series O,RSN O&M Spares,
CTDBP,O,CTDBP Series O,RSN Part Number,
CTDBP,O,CTDBP Series O,Susceptible to Acoustic Interference,
CTDBP,O,CTDBP Series O,"Vendor CLIN, SubCLIN or Model #",
CTDBP,P,CTDBP Series P,2009 Baseline Price*,"$10,630.00"
CTDBP,P,CTDBP Series P,2009 Deployed Instrument Count,15
CTDBP,P,CTDBP Series P,Alternate Instrument Class Name,CTD Pumped
CTDBP,P,CTDBP Series P,CE Spares,
CTDBP,P,CTDBP Series P,CGSN MREFC Spares,
CTDBP,P,CTDBP Series P,CGSN O&M Spares,
CTDBP,P,CTDBP Series P,CGSN P/N,
CTDBP,P,CTDBP Series P,ClassLongName,CTD_bottom_pumped
CTDBP,P,CTDBP Series P,Comments,
CTDBP,P,CTDBP Series P,CP Spares,
CTDBP,P,CTDBP Series P,Description,CTDs equiped with a bottom pump
CTDBP,P,CTDBP Series P,ECRs that changed the count,
CTDBP,P,CTDBP Series P,Global Spares,
CTDBP,P,CTDBP Series P,Instrument Configuration,
CTDBP,P,CTDBP Series P,Link to the Specification,
CTDBP,P,CTDBP Series P,Notes,
CTDBP,P,CTDBP Series P,PrimaryScienceDiscipline,P
CTDBP,P,CTDBP Series P,Produces Acoustic Interference,
CTDBP,P,CTDBP Series P,Ready for 2013?,
CTDBP,P,CTDBP Series P,RSN O&M Spares,
CTDBP,P,CTDBP Series P,RSN Part Number,
CTDBP,P,CTDBP Series P,Susceptible to Acoustic Interference,
CTDBP,P,CTDBP Series P,"Vendor CLIN, SubCLIN or Model #",
CTDGV,M,CTDGV Series M,2009 Baseline Price*,
CTDGV,M,CTDGV Series M,2009 Deployed Instrument Count,24
CTDGV,M,CTDGV Series M,Alternate Instrument Class Name,CTD Glider
CTDGV,M,CTDGV Series M,CE Spares,
CTDGV,M,CTDGV Series M,CGSN MREFC Spares,
CTDGV,M,CTDGV Series M,CGSN O&M Spares,
CTDGV,M,CTDGV Series M,CGSN P/N,
CTDGV,M,CTDGV Series M,ClassLongName,CTD_glider
CTDGV,M,CTDGV Series M,Comments,
CTDGV,M,CTDGV Series M,CP Spares,
CTDGV,M,CTDGV Series M,Description,CTDs to be mounted on gliders
CTDGV,M,CTDGV Series M,ECRs that changed the count,
CTDGV,M,CTDGV Series M,Global Spares,
CTDGV,M,CTDGV Series M,Instrument Configuration,
CTDGV,M,CTDGV Series M,Link to the Specification,
CTDGV,M,CTDGV Series M,Notes,
CTDGV,M,CTDGV Series M,PrimaryScienceDiscipline,P
CTDGV,M,CTDGV Series M,Produces Acoustic Interference,
CTDGV,M,CTDGV Series M,Ready for 2013?,
CTDGV,M,CTDGV Series M,RSN O&M Spares,
CTDGV,M,CTDGV Series M,RSN Part Number,
CTDGV,M,CTDGV Series M,Susceptible to Acoustic Interference,
CTDGV,M,CTDGV Series M,"Vendor CLIN, SubCLIN or Model #",
CTDMO,G,CTDMO Series G,2009 Baseline Price*,"$5,760.00"
CTDMO,G,CTDMO Series G,2009 Deployed Instrument Count,138
CTDMO,G,CTDMO Series G,Alternate Instrument Class Name,CTD Mooring (Inductive)
CTDMO,G,CTDMO Series G,CE Spares,
CTDMO,G,CTDMO Series G,CGSN MREFC Spares,
CTDMO,G,CTDMO Series G,CGSN O&M Spares,
CTDMO,G,CTDMO Series G,CGSN P/N,
CTDMO,G,CTDMO Series G,ClassLongName,CTD_mooring
CTDMO,G,CTDMO Series G,Comments,
CTDMO,G,CTDMO Series G,CP Spares,
CTDMO,G,CTDMO Series G,Description,CTDs to be used in surface and subsurface moorings
CTDMO,G,CTDMO Series G,ECRs that changed the count,
CTDMO,G,CTDMO Series G,Global Spares,
CTDMO,G,CTDMO Series G,Instrument Configuration,
CTDMO,G,CTDMO Series G,Link to the Specification,
CTDMO,G,CTDMO Series G,Notes,
CTDMO,G,CTDMO Series G,PrimaryScienceDiscipline,P
CTDMO,G,CTDMO Series G,Produces Acoustic Interference,
CTDMO,G,CTDMO Series G,Ready for 2013?,
CTDMO,G,CTDMO Series G,RSN O&M Spares,
CTDMO,G,CTDMO Series G,RSN Part Number,
CTDMO,G,CTDMO Series G,Susceptible to Acoustic Interference,
CTDMO,G,CTDMO Series G,"Vendor CLIN, SubCLIN or Model #",
CTDMO,H,CTDMO Series H,2009 Baseline Price*,"$5,760.00"
CTDMO,H,CTDMO Series H,2009 Deployed Instrument Count,138
CTDMO,H,CTDMO Series H,Alternate Instrument Class Name,CTD Mooring (Inductive)
CTDMO,H,CTDMO Series H,CE Spares,
CTDMO,H,CTDMO Series H,CGSN MREFC Spares,
CTDMO,H,CTDMO Series H,CGSN O&M Spares,
CTDMO,H,CTDMO Series H,CGSN P/N,
CTDMO,H,CTDMO Series H,ClassLongName,CTD_mooring
CTDMO,H,CTDMO Series H,Comments,
CTDMO,H,CTDMO Series H,CP Spares,
CTDMO,H,CTDMO Series H,Description,CTDs to be used in surface and subsurface moorings
CTDMO,H,CTDMO Series H,ECRs that changed the count,
CTDMO,H,CTDMO Series H,Global Spares,
CTDMO,H,CTDMO Series H,Instrument Configuration,
CTDMO,H,CTDMO Series H,Link to the Specification,
CTDMO,H,CTDMO Series H,Notes,
CTDMO,H,CTDMO Series H,PrimaryScienceDiscipline,P
CTDMO,H,CTDMO Series H,Produces Acoustic Interference,
CTDMO,H,CTDMO Series H,Ready for 2013?,
CTDMO,H,CTDMO Series H,RSN O&M Spares,
CTDMO,H,CTDMO Series H,RSN Part Number,
CTDMO,H,CTDMO Series H,Susceptible to Acoustic Interference,
CTDMO,H,CTDMO Series H,"Vendor CLIN, SubCLIN or Model #",
CTDMO,Q,CTDMO Series Q,2009 Baseline Price*,"$5,760.00"
CTDMO,Q,CTDMO Series Q,2009 Deployed Instrument Count,138
CTDMO,Q,CTDMO Series Q,Alternate Instrument Class Name,CTD Mooring (Inductive)
CTDMO,Q,CTDMO Series Q,CE Spares,
CTDMO,Q,CTDMO Series Q,CGSN MREFC Spares,
CTDMO,Q,CTDMO Series Q,CGSN O&M Spares,
CTDMO,Q,CTDMO Series Q,CGSN P/N,
CTDMO,Q,CTDMO Series Q,ClassLongName,CTD_mooring
CTDMO,Q,CTDMO Series Q,Comments,
CTDMO,Q,CTDMO Series Q,CP Spares,
CTDMO,Q,CTDMO Series Q,Description,CTDs to be used in surface and subsurface moorings
CTDMO,Q,CTDMO Series Q,ECRs that changed the count,
CTDMO,Q,CTDMO Series Q,Global Spares,
CTDMO,Q,CTDMO Series Q,Instrument Configuration,
CTDMO,Q,CTDMO Series Q,Link to the Specification,
CTDMO,Q,CTDMO Series Q,Notes,
CTDMO,Q,CTDMO Series Q,PrimaryScienceDiscipline,P
CTDMO,Q,CTDMO Series Q,Produces Acoustic Interference,
CTDMO,Q,CTDMO Series Q,Ready for 2013?,
CTDMO,Q,CTDMO Series Q,RSN O&M Spares,
CTDMO,Q,CTDMO Series Q,RSN Part Number,
CTDMO,Q,CTDMO Series Q,Susceptible to Acoustic Interference,
CTDMO,Q,CTDMO Series Q,"Vendor CLIN, SubCLIN or Model #",
CTDMO,R,CTDMO Series R,2009 Baseline Price*,"$5,760.00"
CTDMO,R,CTDMO Series R,2009 Deployed Instrument Count,138
CTDMO,R,CTDMO Series R,Alternate Instrument Class Name,CTD Mooring (Inductive)
CTDMO,R,CTDMO Series R,CE Spares,
CTDMO,R,CTDMO Series R,CGSN MREFC Spares,
CTDMO,R,CTDMO Series R,CGSN O&M Spares,
CTDMO,R,CTDMO Series R,CGSN P/N,
CTDMO,R,CTDMO Series R,ClassLongName,CTD_mooring
CTDMO,R,CTDMO Series R,Comments,
CTDMO,R,CTDMO Series R,CP Spares,
CTDMO,R,CTDMO Series R,Description,CTDs to be used in surface and subsurface moorings
CTDMO,R,CTDMO Series R,ECRs that changed the count,
CTDMO,R,CTDMO Series R,Global Spares,
CTDMO,R,CTDMO Series R,Instrument Configuration,
CTDMO,R,CTDMO Series R,Link to the Specification,
CTDMO,R,CTDMO Series R,Notes,
CTDMO,R,CTDMO Series R,PrimaryScienceDiscipline,P
CTDMO,R,CTDMO Series R,Produces Acoustic Interference,
CTDMO,R,CTDMO Series R,Ready for 2013?,
CTDMO,R,CTDMO Series R,RSN O&M Spares,
CTDMO,R,CTDMO Series R,RSN Part Number,
CTDMO,R,CTDMO Series R,Susceptible to Acoustic Interference,
CTDMO,R,CTDMO Series R,"Vendor CLIN, SubCLIN or Model #",
CTDPF,A,CTDPF Series A,2009 Baseline Price*,
CTDPF,A,CTDPF Series A,2009 Deployed Instrument Count,30
CTDPF,A,CTDPF Series A,Alternate Instrument Class Name,CTD Profiler
CTDPF,A,CTDPF Series A,CE Spares,
CTDPF,A,CTDPF Series A,CGSN MREFC Spares,
CTDPF,A,CTDPF Series A,CGSN O&M Spares,
CTDPF,A,CTDPF Series A,CGSN P/N,
CTDPF,A,CTDPF Series A,ClassLongName,CTD_profiler
CTDPF,A,CTDPF Series A,Comments,
CTDPF,A,CTDPF Series A,CP Spares,
CTDPF,A,CTDPF Series A,Description,CTDs to be mounted on a profiler
CTDPF,A,CTDPF Series A,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,A,CTDPF Series A,Global Spares,
CTDPF,A,CTDPF Series A,Instrument Configuration,
CTDPF,A,CTDPF Series A,Link to the Specification,
CTDPF,A,CTDPF Series A,Notes,
CTDPF,A,CTDPF Series A,PrimaryScienceDiscipline,P
CTDPF,A,CTDPF Series A,Produces Acoustic Interference,
CTDPF,A,CTDPF Series A,Ready for 2013?,
CTDPF,A,CTDPF Series A,RSN O&M Spares,
CTDPF,A,CTDPF Series A,RSN Part Number,
CTDPF,A,CTDPF Series A,Susceptible to Acoustic Interference,
CTDPF,A,CTDPF Series A,"Vendor CLIN, SubCLIN or Model #",
CTDPF,B,CTDPF Series B,2009 Baseline Price*,
CTDPF,B,CTDPF Series B,2009 Deployed Instrument Count,30
CTDPF,B,CTDPF Series B,Alternate Instrument Class Name,CTD Profiler
CTDPF,B,CTDPF Series B,CE Spares,
CTDPF,B,CTDPF Series B,CGSN MREFC Spares,
CTDPF,B,CTDPF Series B,CGSN O&M Spares,
CTDPF,B,CTDPF Series B,CGSN P/N,
CTDPF,B,CTDPF Series B,ClassLongName,CTD_profiler
CTDPF,B,CTDPF Series B,Comments,
CTDPF,B,CTDPF Series B,CP Spares,
CTDPF,B,CTDPF Series B,Description,CTDs to be mounted on a profiler
CTDPF,B,CTDPF Series B,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,B,CTDPF Series B,Global Spares,
CTDPF,B,CTDPF Series B,Instrument Configuration,
CTDPF,B,CTDPF Series B,Link to the Specification,
CTDPF,B,CTDPF Series B,Notes,
CTDPF,B,CTDPF Series B,PrimaryScienceDiscipline,P
CTDPF,B,CTDPF Series B,Produces Acoustic Interference,
CTDPF,B,CTDPF Series B,Ready for 2013?,
CTDPF,B,CTDPF Series B,RSN O&M Spares,
CTDPF,B,CTDPF Series B,RSN Part Number,
CTDPF,B,CTDPF Series B,Susceptible to Acoustic Interference,
CTDPF,B,CTDPF Series B,"Vendor CLIN, SubCLIN or Model #",
CTDPF,C,CTDPF Series C,2009 Baseline Price*,
CTDPF,C,CTDPF Series C,2009 Deployed Instrument Count,30
CTDPF,C,CTDPF Series C,Alternate Instrument Class Name,CTD Profiler
CTDPF,C,CTDPF Series C,CE Spares,
CTDPF,C,CTDPF Series C,CGSN MREFC Spares,
CTDPF,C,CTDPF Series C,CGSN O&M Spares,
CTDPF,C,CTDPF Series C,CGSN P/N,
CTDPF,C,CTDPF Series C,ClassLongName,CTD_profiler
CTDPF,C,CTDPF Series C,Comments,
CTDPF,C,CTDPF Series C,CP Spares,
CTDPF,C,CTDPF Series C,Description,CTDs to be mounted on a profiler
CTDPF,C,CTDPF Series C,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,C,CTDPF Series C,Global Spares,
CTDPF,C,CTDPF Series C,Instrument Configuration,
CTDPF,C,CTDPF Series C,Link to the Specification,
CTDPF,C,CTDPF Series C,Notes,
CTDPF,C,CTDPF Series C,PrimaryScienceDiscipline,P
CTDPF,C,CTDPF Series C,Produces Acoustic Interference,
CTDPF,C,CTDPF Series C,Ready for 2013?,
CTDPF,C,CTDPF Series C,RSN O&M Spares,
CTDPF,C,CTDPF Series C,RSN Part Number,
CTDPF,C,CTDPF Series C,Susceptible to Acoustic Interference,
CTDPF,C,CTDPF Series C,"Vendor CLIN, SubCLIN or Model #",
CTDPF,J,CTDPF Series J,2009 Baseline Price*,
CTDPF,J,CTDPF Series J,2009 Deployed Instrument Count,30
CTDPF,J,CTDPF Series J,Alternate Instrument Class Name,CTD Profiler
CTDPF,J,CTDPF Series J,CE Spares,
CTDPF,J,CTDPF Series J,CGSN MREFC Spares,
CTDPF,J,CTDPF Series J,CGSN O&M Spares,
CTDPF,J,CTDPF Series J,CGSN P/N,
CTDPF,J,CTDPF Series J,ClassLongName,CTD_profiler
CTDPF,J,CTDPF Series J,Comments,
CTDPF,J,CTDPF Series J,CP Spares,
CTDPF,J,CTDPF Series J,Description,CTDs to be mounted on a profiler
CTDPF,J,CTDPF Series J,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,J,CTDPF Series J,Global Spares,
CTDPF,J,CTDPF Series J,Instrument Configuration,
CTDPF,J,CTDPF Series J,Link to the Specification,
CTDPF,J,CTDPF Series J,Notes,
CTDPF,J,CTDPF Series J,PrimaryScienceDiscipline,P
CTDPF,J,CTDPF Series J,Produces Acoustic Interference,
CTDPF,J,CTDPF Series J,Ready for 2013?,
CTDPF,J,CTDPF Series J,RSN O&M Spares,
CTDPF,J,CTDPF Series J,RSN Part Number,
CTDPF,J,CTDPF Series J,Susceptible to Acoustic Interference,
CTDPF,J,CTDPF Series J,"Vendor CLIN, SubCLIN or Model #",
CTDPF,K,CTDPF Series K,2009 Baseline Price*,
CTDPF,K,CTDPF Series K,2009 Deployed Instrument Count,30
CTDPF,K,CTDPF Series K,Alternate Instrument Class Name,CTD Profiler
CTDPF,K,CTDPF Series K,CE Spares,
CTDPF,K,CTDPF Series K,CGSN MREFC Spares,
CTDPF,K,CTDPF Series K,CGSN O&M Spares,
CTDPF,K,CTDPF Series K,CGSN P/N,
CTDPF,K,CTDPF Series K,ClassLongName,CTD_profiler
CTDPF,K,CTDPF Series K,Comments,
CTDPF,K,CTDPF Series K,CP Spares,
CTDPF,K,CTDPF Series K,Description,CTDs to be mounted on a profiler
CTDPF,K,CTDPF Series K,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,K,CTDPF Series K,Global Spares,
CTDPF,K,CTDPF Series K,Instrument Configuration,
CTDPF,K,CTDPF Series K,Link to the Specification,
CTDPF,K,CTDPF Series K,Notes,
CTDPF,K,CTDPF Series K,PrimaryScienceDiscipline,P
CTDPF,K,CTDPF Series K,Produces Acoustic Interference,
CTDPF,K,CTDPF Series K,Ready for 2013?,
CTDPF,K,CTDPF Series K,RSN O&M Spares,
CTDPF,K,CTDPF Series K,RSN Part Number,
CTDPF,K,CTDPF Series K,Susceptible to Acoustic Interference,
CTDPF,K,CTDPF Series K,"Vendor CLIN, SubCLIN or Model #",
CTDPF,L,CTDPF Series L,2009 Baseline Price*,
CTDPF,L,CTDPF Series L,2009 Deployed Instrument Count,30
CTDPF,L,CTDPF Series L,Alternate Instrument Class Name,CTD Profiler
CTDPF,L,CTDPF Series L,CE Spares,
CTDPF,L,CTDPF Series L,CGSN MREFC Spares,
CTDPF,L,CTDPF Series L,CGSN O&M Spares,
CTDPF,L,CTDPF Series L,CGSN P/N,
CTDPF,L,CTDPF Series L,ClassLongName,CTD_profiler
CTDPF,L,CTDPF Series L,Comments,
CTDPF,L,CTDPF Series L,CP Spares,
CTDPF,L,CTDPF Series L,Description,CTDs to be mounted on a profiler
CTDPF,L,CTDPF Series L,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,L,CTDPF Series L,Global Spares,
CTDPF,L,CTDPF Series L,Instrument Configuration,
CTDPF,L,CTDPF Series L,Link to the Specification,
CTDPF,L,CTDPF Series L,Notes,
CTDPF,L,CTDPF Series L,PrimaryScienceDiscipline,P
CTDPF,L,CTDPF Series L,Produces Acoustic Interference,
CTDPF,L,CTDPF Series L,Ready for 2013?,
CTDPF,L,CTDPF Series L,RSN O&M Spares,
CTDPF,L,CTDPF Series L,RSN Part Number,
CTDPF,L,CTDPF Series L,Susceptible to Acoustic Interference,
CTDPF,L,CTDPF Series L,"Vendor CLIN, SubCLIN or Model #",
CTDPF,O,CTDPF Series O,2009 Baseline Price*,
CTDPF,O,CTDPF Series O,2009 Deployed Instrument Count,30
CTDPF,O,CTDPF Series O,Alternate Instrument Class Name,CTD Profiler
CTDPF,O,CTDPF Series O,CE Spares,
CTDPF,O,CTDPF Series O,CGSN MREFC Spares,
CTDPF,O,CTDPF Series O,CGSN O&M Spares,
CTDPF,O,CTDPF Series O,CGSN P/N,
CTDPF,O,CTDPF Series O,ClassLongName,CTD_profiler
CTDPF,O,CTDPF Series O,Comments,
CTDPF,O,CTDPF Series O,CP Spares,
CTDPF,O,CTDPF Series O,Description,CTDs to be mounted on a profiler
CTDPF,O,CTDPF Series O,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
