Textbox8,tbToday
Data QC Lookup Tables (With DP Levels),Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LArray_PublicID,SClass_PublicID,ReferenceDesignator,Data_Product_With_Level
CE,OPTAA,CE01ISSM-RI003-03-OPTAAD999,OPTAREF (L0)
CE,OPTAA,CE01ISSM-RI003-03-OPTAAD999,OPTASIG (L0)
CE,NUTNR,CE01ISSM-RI003-04-NUTNRB999,NITROPT (L1)
CE,SPKIR,CE01ISSM-RI003-05-SPKIRB999,SPECTIR (L0)
CE,SPKIR,CE01ISSM-RI003-05-SPKIRB999,SPECTIR (L1)
CE,VELPT,CE01ISSM-SB001-01-VELPTA999,VELPTMN (L1)
CE,VELPT,CE01ISSM-SB001-01-VELPTA999,VELPTMN (L0)
CE,DOSTA,CE01ISSP-SP001-02-DOSTAJ999,DOCONCS (L0)
CE,DOSTA,CE01ISSP-SP001-02-DOSTAJ999,DOXYGEN (L2)
CE,DOSTA,CE01ISSP-SP001-02-DOSTAJ999,DOCONCS (L1)
CE,OPTAA,CE01ISSP-SP001-04-OPTAAJ999,OPTABSN (L2)
CE,OPTAA,CE01ISSP-SP001-04-OPTAAJ999,OPTATTN (L2)
CE,OPTAA,CE01ISSP-SP001-04-OPTAAJ999,OPTCREF (L0)
CE,OPTAA,CE01ISSP-SP001-04-OPTAAJ999,OPTCSIG (L0)
CE,OPTAA,CE01ISSP-SP001-04-OPTAAJ999,OPTTEMP (L0)
CE,OPTAA,CE01ISSP-SP001-04-OPTAAJ999,OPTAREF (L0)
CE,OPTAA,CE01ISSP-SP001-04-OPTAAJ999,OPTASIG (L0)
CE,VELPT,CE01ISSP-SP001-05-VELPTJ999,VELPTMN (L1)
CE,VELPT,CE01ISSP-SP001-05-VELPTJ999,VELPTMN (L0)
CE,NUTNR,CE01ISSP-SP001-06-NUTNRJ999,NITROPT (L1)
CE,SPKIR,CE01ISSP-SP001-07-SPKIRJ999,SPECTIR (L0)
CE,SPKIR,CE01ISSP-SP001-07-SPKIRJ999,SPECTIR (L1)
CE,FLORT,CE01ISSP-SP001-08-FLORTJ999,CDOMFLO (L0)
CE,FLORT,CE01ISSP-SP001-08-FLORTJ999,CDOMFLO (L1)
CE,FLORT,CE01ISSP-SP001-08-FLORTJ999,CHLAFLO (L0)
CE,FLORT,CE01ISSP-SP001-08-FLORTJ999,CHLAFLO (L1)
CE,FLORT,CE01ISSP-SP001-08-FLORTJ999,FLUBSCT (L0)
CE,FLORT,CE01ISSP-SP001-08-FLORTJ999,FLUBSCT (L1)
CE,CTDPF,CE01ISSP-SP001-09-CTDPFJ999,CONDWAT (L0)
CE,CTDPF,CE01ISSP-SP001-09-CTDPFJ999,CONDWAT (L1)
CE,CTDPF,CE01ISSP-SP001-09-CTDPFJ999,DENSITY (L2)
CE,CTDPF,CE01ISSP-SP001-09-CTDPFJ999,PRACSAL (L2)
CE,CTDPF,CE01ISSP-SP001-09-CTDPFJ999,PRESWAT (L0)
CE,CTDPF,CE01ISSP-SP001-09-CTDPFJ999,PRESWAT (L1)
CE,CTDPF,CE01ISSP-SP001-09-CTDPFJ999,TEMPWAT (L0)
CE,CTDPF,CE01ISSP-SP001-09-CTDPFJ999,TEMPWAT (L1)
CE,PARAD,CE01ISSP-SP001-10-PARADJ999,OPTPARW (L0)
CE,PARAD,CE01ISSP-SP001-10-PARADJ999,OPTPARW (L1)
CE,ADCPT,CE02SHBP-LJ01D-05-ADCPTB104,ECHOINT (L0)
CE,ADCPT,CE02SHBP-LJ01D-05-ADCPTB104,ECHOINT (L1)
