Textbox8,tbToday
Instrument Counts Per Class,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class_Name,Class,Class_Description,Family,Count,Textbox15,Textbox19,Textbox18
spectral irradiance,SPKIR,Measures downwelling spectral irradiance,OPT,18,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Temp H2 H2S pH,THSPH,"Measures hydrothermal vent fluid temperature, hydrogen, hydrogen sulfide and pH",SFL,1,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Temperature seafloor,TMPSF,Measures temperatures of diffuse flow across the seafloor,SFL,1,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Temp resist,TRHPH,"Measures hydrothermal vent fluid temperature, resistivity, and eH",SFL,1,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Velocity profile 50m turb,VADCP,"3-D (U,V,W) velocity profile at resolutions that are appropriate to estimate turbulence parameters",VEL,2,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Velocity point 3D turb,VEL3D,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",VEL,26,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Velocity point,VELPT,Measures Mean U and V single point velocity,VEL,30,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Wave spectra surface,WAVSS,"Non-directional and directional wave characteristics, SurfaceWave Spectra",WAV,8,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Plankton ZP sonar coastal,ZPLSC,Measures acoustic signal of plankton and zooplankton on coastal arrays,ZPL,9,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)
Plankton ZP sonar global,ZPLSG,Measures acoustic signal of plankton and zooplankton on global arrays,ZPL,4,Total Classes (49),Total Classes With Instruments (46),Total Instruments (723)

